[00:00] 我在外面的話,
[00:01] 可不可以去叫我
[00:02] 電腦版的claude的Cowork
[00:04] 來去工作幫我出一張
[00:07] 七年級下學期第一次段考
[00:10] 範圍的考卷是第一章的內容
[00:13] 數學我要有16題選擇題
[00:16] 4題非選題按照我平常的格式
[00:20] 去配分完成之後按輸入
[00:23] 這個技能我已經寫好了
[00:25] 所以我只要交代好工作
[00:26] 之後我就去做其他的事情
[00:28] 回到家之後應該就有考卷
[00:31] 躺好在我的硬碟裡面
[00:32] 我們去看一下大家有看到嗎
[00:35] 我的三份檔案就存在這個地方
[00:37] claude的最近更新的一個功能
[00:40] 在你的桌面版claude程式裡面
[00:43] 你要選Cowork在左側
[00:45] 就會多出一個新功能叫Dispatch
[00:47] 點他這邊會介紹怎麼樣
[00:49] 去使用這個功能那原則上
[00:52] 就是可以讓你透過你的手機
[00:54] 去跟claude的桌面版程式做連動
[00:57] 所以你只要利用這個功能
[00:59] 傳訊息在這一台有安裝
[01:01] claude桌面版程式的電腦
[01:03] 就會自動去執行你交辦他的工作
[01:07] 所以等於是他擁有
[01:08] 跟龍蝦一樣的功能
[01:10] 你可以傳訊叫你的電腦來做工作
[01:12] 他可以控制你的電腦控制你的瀏覽器
[01:15] 當然你必須要保持你的電腦
[01:17] 是開啟的狀態把所有你使用的帳號
[01:20] 都登錄因為他在開啟瀏覽器操作的時候
[01:23] 沒辦法登錄你的帳號
[01:24] 所以你必須要先把帳號登錄
[01:26] 他才能夠去做操作
[01:28] 要開啟的功能選擇Get Started
[01:30] 接下來手機掃描QR Code
[01:32] 可以到商店去安裝手機的claude的APP
[01:36] 安裝之後登錄接下來這邊
[01:38] 有一個開關必須要把他打開
[01:40] 打開之後你的電腦才不會進入休眠模式
[01:44] 允許claude去操控你的瀏覽器
[01:46] 所有你連接過的應用程式
[01:49] 都會保持開啟打開完成設定
[01:52] 把這兩個功能都打開
[01:53] 保持電腦開機跟允許使用瀏覽器
[01:56] 你的瀏覽器必須要去安裝
[01:58] 這個claude的應用程式
[02:02] 安裝之後claude就可以去操控你的瀏覽器
[02:04] 在控制的時候瀏覽器這邊
[02:06] 會有一個分頁上面會出現
[02:08] 橘色的視窗代表他正在操控這個瀏覽器
[02:11] 所以他可以在上面去自動操作
[02:13] 一些你要他完成的任務
[02:14] 接下來這個聊天的介面
[02:16] 跟你的手機是連動的
[02:18] 所以你在你的手機上面
[02:19] 打開claude的這個APP
[02:21] 所以一樣在APP裡面
