[00:02] 哈囉 大家好安因為剛剛電腦非常delay
[00:06] 所以再找一下原因好 那如果等一下播到一半當機的話
[00:11] 大家就知道是怎麼回事了
[00:13] 因為真的是非常delay 可能是程式開太多了暫
[00:19] 時無法處理 我們就先這樣吧好
[00:23] 今天來跟大家聊聊就是A
[00:25] gin我舉三個範例 讓大家知道什麼叫Agin
[00:29] 為什麼會這麼做?
[00:30] 是因為我覺得在我的目前
[00:37] 的生活周遭裡面,我覺得大部分的人可能還不是很清楚
[00:41] 說我們的生成士AI跟我們的代理人AI
[00:45] 是不一樣的。
[00:46] 那大部分的使用者還是停留在生成士AI。
[00:50] 那實際上生成士AI的話就如同我現在標題上面所說的。
[00:55] 生成4AI就是聊天。
[00:57] 那產出的內容的話大概就是文字或圖片。
[01:01] 那aging的話就是動手。
[01:04] 那簡單講它不是只有對話而已,
[01:07] 它是動手。動手意思是說它會真的去做事情。
[01:11] 做事情的意思是說它可以去處理你的檔案。
[01:15] 因為我們在數位世界裡面,
[01:16] 處理你的檔案是跟我們生成4AI最大的不同。
[01:22] 所以一般來說,如果你使用Agent跟聊
[01:28] 天的AI,最大不同在於說,
[01:31] 你現在使用的AI能不能處理你的本地端檔案?
[01:36] 這是最大最大最大的差別。
[01:38] 好,那我現在就做一下簡單的調查。
[01:42] 你現在有在使用Agent的,
[01:44] 那請在聊天室打個1。
[01:47] 目前的agent的話就是目前兩家啦,
[01:50] 就是Claude Code跟ChatGPT的Codex
[01:54] 這兩家。
[01:55] 所以你現在有在使用agent的,
[01:57] 請在聊天室打個E。
[02:02] 好,那我們來看一下有多少人。
[02:05] 欸,蠻多的嗎?
[02:10] 這樣算蠻多的啊,我覺得蠻多的。
[02:13] 因為大部分人都還停留在聖誓師AI,
[02:15] 可是我也老實跟大家說,
[02:17] 現在Agent已經蠻成熟的,
[02:19] 大家應該要往下一個階段去走。
[02:21] 你要開始去使用我們的Agent來去幫助你工作。
[02:26] 真的差很多,真的差很多。
[02:28] 那生成式AI跟代理人的AI是完全是不同層次的東西。
[02:33] 那當然很多使用上面的習慣,
[02:36] 大家要重新去學習。
[02:37] 大家還記得嗎?
[02:39] 當你們一開始在學AI的時候,
[02:41] 原本你們原本你們是不會
[02:45] AI,完全不會AI。
[02:46] 後來大家在很多社群媒體或是在我自己的教學場域裡面,
[02:51] 就是有很多的,非常多的研習。
[02:56] 然後我們在學的大部分的
[03:00] AI就是屬於深層式的AI。
[03:02] Google的話,Google它現在正在跟,
[03:05] 我覺得Google正在跟,
[03:07] 就是Google你要做到的就是能夠處理本地端檔案的
[03:11] AI,現在。
[03:12] 暫時還沒有一個整合的工具出來。
[03:16] 我現在看到Google有在處
[03:22] 理。用AntiGravity是ID,
[03:25] 它是一個接口,然後去使用我們這些
[03:29] AI的語言去處理。
[03:31] 如果是使用ID的話,那當然是另外一件事情。
[03:35] 好,那我現在講的是,你Google你可能不透過
[03:38] ID,你原生可能還沒有Agen出來。
[03:41] 好,那我現在在講的是,
[03:44] 如果說你現在要無痛去使用Agen
[03:48] 的話,那原則上最簡單最簡單的兩個工具就是
[03:52] Claude Code跟OpenAI的Codex。
[03:57] 它使用起來它的介面非常的簡單,
[04:00] 然後也不會很複雜。
[04:02] 它就跟你使用我們現在聊天的介面非常的像。
[04:06] 只不過我們使用的邏輯就是不太一樣。
[04:10] 有夥伴提到
[04:15] ID,ID的話像Cursor,
[04:18] VSCode,Anti-Gravity。
[04:20] ID就是一個介面,介面來去串我們這些AI
[04:24] 工具。
[04:24] 難度是比較高的啦。
[04:27] 我今天講的就是我們原生的工具,
[04:30] 就是Claude Code原生的,
[04:32] 然後跟OpenAI的Codex原生的,
[04:35] 就是它原生的aging的工具。
[04:37] 所以為什麼我會鼓勵大家去學這兩個工具是因為這兩個
[04:41] 工具是相對來說簡單的。
[04:46] 大家只是要改變你的思考習慣就好了,
[04:50] 你大家不用把這些東西想的太難。
[04:53] 它就是你要用不同的方式去學習它思考它的
[04:59] 工具而已。
[05:00] 它的本質當然還是AI,只不過我們就是用它的邏輯思考
[05:05] 方式要改變。
[05:06] 用起來其實沒有相當難,
[05:09] 但是真的是不同層次的東西。
[05:12] 好,那大家現在看到了我的Claude Code,
[05:16] 因為我剛剛就請他去幫我清我的記憶體,
[05:22] 所以我不確定說他現在是清了怎麼樣?
[05:28] 我現在非常的delay,我也不確定為什麼會那麼
[05:31] delay,我請他去幫我清記憶體。
[05:35] 好那今天最主要就是聊這些內容。
[05:37] 那當然在座可能有很多是高手啦。
[05:40] 那我本人也是資訊小白。
[05:42] 我就是把我最近做的事情做一個簡單的分享。
[05:46] 讓大家知道說原來現在aging的話可以做到這些事情。
[05:51] OK 好 那我就開始啦。
[05:54] 你看我的電腦動彈不得。
[05:57] 我電腦現在動不了啊。
[06:00] 大家看到我直播畫面但是我是動不了的。
[06:02] 你看我的畫面不見了。
[06:04] 我隨便Claude Code不見了。
[06:05] 不見了。
[06:11] 好,那我們就直接來示範一下好了。
[06:15] 那比如說,各位現在看到的是OpenAI的ChatGPT
[06:20] 的Codex。
[06:20] Codex的介面是這樣的,
[06:22] 它是一個桌面版的程式。
[06:24] 那在這裡的話,聊天,像聊天的話,
[06:28] 就跟我們一般使用ChatGPT聊天是一樣的。
[06:31] 你就是可以在那邊聊天。
[06:33] 可是你會發現說在聊天的時候啊,
[06:35] 它是沒有辦法動到我們本地端檔案。
[06:37] 所以所有的東西都在雲端。
[06:39] 像這個的話就是屬於比較是生成式的AI。
[06:43] 當然這邊也可以生成圖片,
[06:45] 也可以去幫你去讀你的文件,
[06:47] 去生成一些文件。
[06:49] 但大部分本質上都是生成的東西都是在雲端。
[06:52] 然後你要把它下載下來,
[06:55] 它沒辦法去改你本地端的檔案。
[06:57] 所以大原則我們就是這樣分的。
[06:59] 如果是Agin的話,就是可以去更改你本地端的檔案,
[07:04] 我們叫Agin。
[07:04] 像這個就是屬於生存室AI,
[07:08] 就是在聊天視窗裡面。
[07:10] 所以你能夠做的事情已經很多了。
[07:13] 但是因為你不能夠去改本地端的檔案,
[07:16] 所以實際上它能夠做的事情很多,
[07:18] 但是也有限。
[07:19] 有限的地方是你在於那些我等一下要講的事情,
[07:23] 大部分它不能做。
[07:25] 好,那在這個Codex
[07:29] 裡面,它會有所謂的專案。
[07:31] 所以你看到這邊有聊天嘛,
[07:32] 這邊有專案。
[07:33] 當你點專案,
[07:35] 專案的話它是一個資料夾。
[07:38] 那你點進來之後你會發現它下面就是會有一個本機作
[07:42] 業。
[07:43] 它就是會在你的電腦上面的一個資料夾,
[07:47] 然後來去工作。
[07:48] 那你工作的話不管沒有生成檔案,
[07:50] 它就是會在這個資料夾裡面生成檔案,
[07:52] 然後讀檔案。
[07:53] 所以像這樣子的就是Agent。
[07:56] 那Agent的話它是可以幫你做事值的,
[07:58] 做事值的是說它可以在本地端處理檔案相關的事情。
[08:03] 所以你在對話內容裡面可以做的事情,
[08:07] 這邊通通都可以做。
[08:09] 你也可以在這邊像以前在生成士AI裡面去跟它對話,
[08:13] 是沒有問題的。
[08:14] 你直接在那邊跟它對話,
[08:15] 使用上去跟你以前使用GPT、
[08:19] Gemini對話師完全是一樣的。
[08:21] 但是多了一個功能是它可以去操控你的電腦,
[08:27] 然後可以去控制你可以去生成你現在這個資料夾裡面
[08:31] 的內容。
[08:32] 它可以去操控你電腦上面的幾乎任何的功能。
[08:36] 所以差別就差別在這邊。
[08:39] 我覺得engine跟代理人跟對
[08:45] 話師的AI就差別在這邊。
[08:47] 一個是對話,一個是做事。
[08:48] 所以當你可以做到這件事的時候,
[08:51] 就代表說你的AI可以幫你做事,
[08:54] 不再是只有對話而已。
[08:56] 這樣大家能夠分得清楚這個差別嗎?
[09:00] 好那當然不是只有這樣而已好那
[09:05] A群的話我的Claude掛點了我把它重開一下
[09:11] 我剛剛都準備好的時候就有掛點真的
[09:20] 掛掉了應該
[09:29] 蝦蝦嗎?
[09:32] 龍蝦的話,你看是從什麼本質去看的龍蝦也是一
[09:39] 種aging龍蝦的操控方式是我們對話然後
[09:45] 給他一台電腦那台電腦就是由他全全去操控電腦
[09:51] 但是能做的事情,你在Claude Code、
[09:53] Codex裡面能做的事情跟在龍蝦上面能做的事情幾乎是
[09:57] 一樣的。
[10:00] 所以差別在於說龍蝦就是你給他一台電腦,
[10:04] 然後那台電腦全全拿去控制。
[10:05] 你本人是不控制那台電腦的。
[10:08] 那你要怎麼樣控制那台電
[10:09] 腦呢?你就是傳訊給龍蝦,
[10:11] 龍蝦就是住在那台電腦裡面的AI代理人的作業系統。
[10:16] 我用作業系統來形容。
[10:18] 龍蝦它就是一個作業系統。
[10:20] 你給他一台新電腦,他那個作業系統在裡面,
[10:23] 他會去串一個AI,
[10:26] 然後串一些工具在裡面,
[10:29] 然後完完全去操控那台電腦。
[10:31] 所以當你要做事情的時候,
[10:32] 你是傳訊給龍蝦,然後龍蝦在操控那台電腦來去做事情。
[10:36] 那像我們的Claude Code或是ChatGPT的Codex,
[10:40] 的差別在於說,我們是使用我們現在這台電腦來去做事情。
[10:46] 那你可以使用排程,自動排程的方式,
[10:49] 你也可以使用
[10:50] 自然語言的方式在對話空中輸入,
[10:53] 你也可以使用遠端周面的方式連進來電腦輸入。
[10:57] 但是龍蝦能做的事情在Claude Code跟Codex
[11:01] 能做的事情幾乎是一樣的。
[11:03] 所以大家也不要覺得龍蝦是超級厲害,
[11:08] 龍蝦真的超級厲害沒有錯,
[11:10] 可是他厲害是厲害在於說你必須要給他接上夠聰明的
[11:14] 大腦。比如說像Claude Code,
[11:16] 像Opus 4.7,或者像現在最新
[11:20] 的電腦。你給他接上夠聰明的大腦,
[11:24] 他就能夠變得很厲害。
[11:26] 所以他力不厲害還是取決於說他接了什麼
[11:29] AI。
[11:30] 當然接了這AI之後,你叫他做事情,
[11:32] 他就是會像代理人一樣去做事情。
[11:35] 他在雲端完成,他就是一樣用訊息的方式同步回來給你。
[11:39] 所以感覺起來像是一個助理跟夥伴。
[11:42] 但是就是你給他額外一台電腦,
[11:44] 他自己去控制。
[11:45] 那Claude Code跟GPT的Codex,
[11:49] 就是電腦就是
[11:50] 這個AI群就是在你的電腦上面。
[11:53] 那你就是在電腦上面去控制它。
[11:55] 差別在這邊就好。
[11:56] 可是如果以能力來說是一樣的。
[11:59] 幾乎是一樣的。
[12:00] 就是龍蝦能做的事情。
[12:01] 在Claude Code裡面。
[12:02] 在Codex裡面基本上都能做。
[12:05] 現在就是只要是電腦上面的事情。
[12:08] 你AI代理基本上不能做啦。
[12:12] 好 我的這個我先把它關掉。
[12:16] 我先把我的Claude Code關掉。
[12:21] 我的Claude Code請
[12:45] 忘了,請記入口找美器才
[12:51] 能訮視 messed報室和
[13:00] 외統網機上翻訪證 to all直謀찰集療除色 worn
[13:00] 他
[13:04] beim類似的打開作業的有沒有si應護照 Pandem
[13:05] mult önce節
[13:11] 約 fizer有做法 Ready?
[13:19] 公
[13:24] compactrukt musclechin密什麽關於你對
[13:29] 最主題的導演是曾經這關訊都做到最再次拍到批評一下。
[13:29] 我先 Nina很 samb shimmer到 cyclone 開始呆
[13:32] Pakistan,到台語臺人出啦。
[13:36] 大家就上來聊聊,沒關系有問題你們就問。
[13:40] 我能夠回答盡量回答。
[13:42] 我的Claude Code一直盪掉欸。
[13:47] 看一下。
[13:48] 是大家的Claude Code會這樣嗎?
[13:52] 我今天特別不乖。
[14:13] 對啊!誒!我剛剛的內容不見了!
[14:15] 不會吧!OK!
[14:31] 好!
[14:36] 剛剛當機了!
[14:37] 小克你繼續簡報!
[14:39] 然後我們已經開始直播了。
[14:47] 好吧,我把助手叫一下。
[14:50] 暫時沒錢買,確實啊。
[14:51] Claude Code 的話,它是目前最貴的
[14:56] AI。那我們現在就是Token的能力就
[15:01] 決定你的能力。
[15:03] 那Token貴的話,你就是沒辦法做事情了。
[15:06] 所以現在Claude Code 是很貴的。
[15:08] 算貴的。
[15:10] 如果說你只是20美金Pro版本,
[15:13] 原理上做不了什麼事情。
[15:15] 所以我現在正在錄另外一個系列,
[15:17] 就是Codex。
[15:18] Codex的話,它能夠做的事情跟Claude Code
[15:21] 基本上是一模一樣的。
[15:24] Agin就是一樣的東西。
[15:28] 所以等一下我會示範用Codex稍微做一下事情給大家看。
[15:32] 它的使用上它不會那麼快把你的額度用完。
[15:38] 我這邊我也給大家一些嘗試。
[15:41] 我們在用Agen的時候,我們的用量是這樣子算的。
[15:44] 各位,如果你甚至是AI跟用Agen,
[15:47] 用量是不一樣的。
[15:48] 來大家看一下這邊,
[15:54] 我們在看用量的時候,我們都是會有這樣的用量。
[15:57] 它有所謂的週用量跟那個他
[16:08] 有個週用量。
[16:09] 週用量就是說,
[16:11] 你一個禮拜的用量是這麼多。
[16:15] 然後但是你也不能夠說一次就把你週用量用完。
[16:19] 他每一次就是說你一次就是5小時的用量是這麼多。
[16:22] 所以你一次只能夠用5小時。
[16:25] 他5小時的用量是固定的。
[16:27] 然後你用完這5小時的用量之後,
[16:29] 會用掉你部分的週用量。
[16:33] 那你週用量用完之後,你這個禮拜就不能再用。
[16:36] 所以一般人在使用Claude Code工作的時候,
[16:40] 他會這樣子。我現在要工作的話,
