[00:00] 今天來講一下AntiGravity裡面我們把Gem升級。
[00:04] 怎麼把Gem升級呢?
[00:05] 實際上Gem是一個已經落伍的東西了。
[00:09] 為什麼呢?因為Gem實在有太多缺點。
[00:12] 好,那我來講一下Gem的缺點有哪一些。
[00:16] 那這裡的話我已經做好筆記了。
[00:19] 這邊Gem的六大限制VS Agent
[00:23] 的四大殺手級功能在這裡。
[00:26] 那我乾脆我請我的這個AntiGravity
[00:30] 來畫資訊圖表。
[00:31] 好,那我的筆記裡面有這個嘛,
[00:33] 對不對?可是這樣看起來不太好看,
[00:35] 所以我就請問
[00:36] 了。AntiGravity。
[00:37] 好,各位,AntiGravity是支援nano banana 某畫圖。
[00:41] 首先我們先給他一個專案,
[00:43] 所以我們先創立一個新的專案
[00:44] 所以這邊選New Project,
[00:46] 然後創立一個新專案。
[00:48] 大家還記得嗎?
[00:49] 我們使用agent,都是先從本地資料夾,
[00:53] 然後來創立一個新的專
[00:55] 案。所以我在這裡我創立一個資料夾叫做
[00:57] 2026的Gems to Skills。
[00:59] 創立專案之後選擇,然後Create。
[01:02] 這時候我要跟大家講,Antigravity2,
[01:05] 支援Nano Banana生圖。
[01:07] 好,這時候我來畫一下圖。
[01:09] 到我的Obsidian筆記本裡面,
[01:12] 將Gems的六大限制畫成一張資訊圖表,
[01:16] 用繁體中文。
[01:17] Engine的四大殺手系功能,
[01:20] 畫成一張資訊圖,使用繁體中文。
[01:23] 畫成的圖片存在這個專案資料夾。
[01:26] 好,我們請到畫圖。
[01:27] 畫圖的話就跟我們平常使用畫圖一樣。
[01:29] 那我來講一下,它實際上我查完官方應該是,
[01:34] 在AntiGravity裡面可以使用Nano Banana
[01:37] Pro來生圖。
[01:38] 那Nano Banana Pro生圖的話會扣使用額度。
[01:41] 使用額度的話官方是說,
[01:44] 生圖的額度就歸生圖額度。
[01:46] 它會有一個生圖的額度詞去扣。
[01:50] 但我不確定啦,因為我,
[01:52] 我,我,我,我,我,我,我,我,我,我,
[01:53] 我,我,我,我,我,我,我也沒有畫到這個圖。
[01:56] 他跟我講說沒有額度的,
[01:59] 所以我也沒有試過這件事。
[02:01] 那沒關係,我們今天就來試試看。
[02:02] 所以實際上他是能畫圖的。
[02:04] 那畫的圖的話,中文也蠻準的。
[02:09] 因為上你一張圖片在50個中文字以內,
[02:12] 都控制的挺好的。
[02:13] 所以我之前有試過是沒有問題的。
[02:16] 所以你看他就幫我畫成圖片。
[02:18] 那生成圖片的話,我們就到我們的專案資料夾裡面去看。
[02:22] 所以專家資料夾就是到這個Gems to Skills。
[02:26] 所以它就會畫完之後幫我存過來。
[02:29] 大家有看到嗎?
[02:30] 好,所以這個是Nanobanana畫的圖。
[02:32] 那目前的話我改不了它的長寬比啦。
[02:36] 目前都是1024x1024。
[02:38] 我目前只能夠抓這樣。
[02:39] 所以如果大家有人知道怎麼去改的話跟我講一下。
[02:42] 那如果你是使用API去呼叫的話當然就沒有問題了,
[02:45] 要改。好,我們先來看一下Gems的限制。
[02:48] 好,Gems的限制的話就像這樣。
[02:51] 這個是使用AntiGravity2畫的哦。
[02:54] 大家覺得OK嗎?
[02:55] 如果你覺得OK的話,在聊天室打個1好不好?
[02:58] 它是沒有問題的,所以它使用的是Nano Banana
[03:01] Pro來深圖
[03:02] 一樣有一個深圖的額度
[03:04] 那我不確定額度是多少,
[03:06] 但是是可以畫
[03:07] 的大家趕快拿AntiGravity2來畫圖
[03:11] 它支援Nano Banana Pro來畫
[03:13] 圖好,所以Gems的限制在
[03:15] 這裡它就是你每次都要重新跟它對話
[03:19] 輸出的話只能夠輸出文字而已。
[03:22] 你沒辦法做別的事情。
[03:23] 再來它也不能夠執行程式。
[03:25] 因為它只能夠生成對話。
[03:28] 然後只能生成圖片。
[03:29] 只能夠生成程式碼。
[03:31] 只能夠生成限制的那些。
[03:33] 可是如果是在Age裡面的話,
[03:35] 它就能夠支援程式。
[03:36] 再來生圖版網頁。
[03:37] 因為生圖的話當然就是呼叫它的nano banana。
[03:39] 所以所有的圖片都會在網頁上面。
[03:42] 再來知識檔的話,它最多支援上傳10個檔案。
[03:46] 所以實際上,你沒辦法給它很多的
[03:48] 檔案。很大的容量。
[03:50] 因為當你給的參考資料多的時候,
[03:52] 因為它沒有那麼多上下文去支援把所有檔案都讀上來。
[03:56] 所以你就算給它很多檔案,
[03:58] 它也沒有辦法把檔案裡面的內容、
[04:01] 知識做很好的輸出。
[04:03] 再來工具的話一次只能做一件事情。
[04:06] 這個是Gems的限制。
[04:08] 所以Gems其實有很多缺點。
[04:10] 它應該要被淘汰了好不好。
[04:12] 好,那Agent的功能是什麼呢?
[04:14] Agent的功能是這樣的。
[04:15] 來,各位看一下這Agent的功能一樣是
[04:18] Antigreity畫的。
[04:19] 你看畫得又快又好對吧?
[04:21] 所以它可以做什麼?
[04:23] 它可以做一個workflow。
[04:24] 簡單講我們把Gem升級就是Skill。
[04:27] 那今天我就教大家把你自己的Gem升級。
[04:29] 升級成Skill,升級成進階版本的Engine
[04:33] 裡面的超級Gem。
[04:36] 超級Gem就是Skill。
[04:37] 好,那它也可以控制檔案。
[04:39] 你的Gem升級之後就可以控制檔案喔。
[04:42] 它可以批次的去批改考卷、
[04:45] 批改作業。
[04:46] 批次的去生成圖片、生成文件都是沒有問題的。
[04:50] 再來我們生成圖片可以進行工作流什麼意思呢?
[04:52] 也就是說我們生圖不是單純生圖而已。
[04:55] 我們可以把圖片放去網頁。
[04:57] 我們可以把圖片組成一本漫畫。
[05:00] 我們可以把圖片放進word檔裡面。
[05:02] 所以你可以把你的圖片變成是一個工作流。
[05:05] 再來Python裡面內建超級多工具的。
[05:10] 原理上你想得到在你電子上能做的工具。
[05:12] Python通常都有。
[05:13] 簡單說就是什麼工具都有。
[05:15] 所以我們今天就來升級你的
[05:17] Gemini。好,所以這個是首先我們先確認一下。
[05:21] 各位老師,AntiGravity2內建Nano Banana
[05:27] aw的生徒。
[05:28] 好,你覺得這件事對你很有幫助的打一個2。
[05:31] 好,所以你看,我馬上到我們Obsidian筆記本裡面去做
[05:34] 這件事。那再來,今天要幫大家升級Gem是因為,
[05:38] 你們一定是不曉得要從何升級起嘛。
[05:41] 所以我一樣給大家做的懶人包,
[05:43] 我就是這麼貼心。
[05:45] 我給了一個懶人包,叫做
[05:47] 所以你只要這個
[05:51] repo丟到你的anti-gravity2裡面去,
[05:56] 你的anti-gravity2就會引導你,
[05:58] 幫你把你的gen升級。
[06:02] 就是這麼厲害。
[06:03] 那這個懶人包的網址我會放在影片的說明欄。
[06:08] 那現在有在觀看直播老師第一手中有拿到,
[06:11] 我將這個懶人包丟到聊天室,
[06:16] 大家就可以收到
[06:17] 今天這個直播只有在YouTube有,
[06:19] 因為我發現臉書的直播沒有太懂得開,
[06:22] 臉書我就不連結過去,我現在直播我就只開
[06:25] YouTube。好,接下來我們就把這個藍人包網址把它複
[06:28] 製起來,然後開啟你的AntiGravity,
[06:31] 然後在你的AntiGravity裡面新增一個專案,
[06:34] 好,那我已經有一個專案了對不對,
[06:36] 所以我在這個專案裡面我新增一個對話,
[06:38] 我等一下專門來做這件事,
[06:39] 然後將這個藍人包repo網址貼給它,
[06:43] 跟它講,請按照這個repo裡面的內容,
[06:46] 幫我深入,
[06:47] 你先進去的Jem。
[06:49] 跟他講這幾個字的書籍。
[06:51] 好你進去之後它裡面有一些工作流程。
[06:53] 第一個工作流程就是你必須要裝雲端硬碟。
[06:56] 你要裝雲端硬碟的APP。
[06:58] 就是你要去裝雲端硬碟APP。
[07:00] 我這邊我也順便說明一下,
[07:01] 當然你的agents會引導
[07:03] 你去裝。
