[00:00] 所以原則上在Codex裡面是可以使用
[00:03] Image2來去做生圖。
[00:05] Codex基本功第二集。
[00:07] 初學者必裝外掛程式跟技能。
[00:09] 在影片底下有網址可以連到懶人包。
[00:13] 這懶人包會幫你檢查你是不是已經安裝了所有初學者
[00:18] 應該裝的外掛程式還有技能。
[00:21] 有哪些呢?
[00:21] 這邊一般使用者能裝該裝的我都建議給大家我也都幫
[00:26] 大家設定好了。
[00:27] 所以你只要把這個MD檔下載。
[00:32] 所以在右下角的地方選擇這個下載的圖案。
[00:35] 下載完成之後在這個地方我們來試一下。
[00:38] 打開你的Codex,在左邊的地方新增一個新的專案。
[00:42] 建立資料夾之後選擇資料夾。
[00:45] 將這個你下載的懶人包把它拉到這個地方來。
[00:49] 拉進來,放開。
[00:50] 按照懶人包裡面的內容依序幫我檢查還有執行。
[00:55] 接下來按傳送。
[00:56] 所以接下來他會按照我設定的內容去檢查你的
[01:00] Skills外掛設定檔、
[01:03] GitHub的CLI。
[01:04] 幫你做一下檢查你已經安裝了哪些技能跟外掛程式。
[01:08] 接下來檢查完之後會給你一個總表,
[01:11] 像這個樣子。
[01:11] 那因為我已經連接過我的GitHub了,
[01:14] 所以一般來說你們應該是啟用了,
[01:17] 你可以讀,但是你不能夠寫。
[01:19] 那下一集我會教大家怎麼樣去連接你的GitHub,
[01:23] 讓你可以去編寫你的GitHub。
[01:26] 所以如果這邊的話,你啟用了,
[01:28] 但是不能夠寫,是正常的。
[01:30] 最重要的外掛是這個它自己內建的瀏覽器。
[01:34] 可以讓你在背景去執行上網的動作。
[01:38] 完全不會影響到你現在正在進行的工作。
[01:41] 接下來這三個外掛分別就是對應到Word、
[01:45] PowerPoint、Excel跟試算表。
[01:48] 所以你安裝這三個外掛程式的話,
[01:50] 你就可以處理所有的文件資料。
[01:52] 初學者要裝的技能有這些。
[01:54] 第一個技能是生圖。
[01:57] 在Codex裡面你可以使用你原本訂閱帳號額度的
[02:02] 生圖來去生成圖片。
[02:05] 這邊對接就是最新的Image 2。
[02:07] 這個技能是可以讓你安裝新的技能。
[02:10] 這個技能是可以讓你創造新的技能。
[02:12] 所以這幾個都是必裝的。
[02:14] 如果你已經裝過GitHub CLI的話,
[02:17] 恭喜你,你之後設定就會非常簡單。
[02:20] 如果你還沒裝的話也沒關係,
[02:22] 下一集會教大家怎麼裝。
[02:23] 進階的部分,如果你有裝很好,
[02:25] 如果沒裝沒關係。
[02:26] 後面的教學影片都會在教。
[02:28] 接下來我來介紹一下我們的外掛程式在什麼地方。
[02:32] 所以在左邊的地方你會看到有一個外掛程式的選項。
[02:35] 點它。
[02:36] 點進來之後會有分兩種。
[02:38] 第一種是外掛程式。
[02:39] 再來第二種就是我們的Skill、
[02:42] 技能。我們先來看外掛程式。
[02:44] 所以在外掛程式的下方,
[02:46] 你看到這個已經打勾的代表是你已經安裝了。
[02:49] 所以像這個就是內建的瀏覽器已經打勾,
[02:51] 沒有問題。
[02:52] 再來這個就是我們的PowerPoint、
[02:55] PPT。是算表或是Excel。
[02:57] GitHub一定要裝。
[02:58] 你裝這個外掛程式的話可以讓你去讀你的
[03:01] GitHub,但是還無法寫入。
[03:03] 不管怎麼樣你要先裝。
[03:05] 這邊也有Canva,你覺得需要裝就裝。
[03:08] 再來這個Document就是Word也是必裝。
[03:11] Google行事例也是必裝。
[03:13] 因為你才有辦法去讀取跟寫入你的行事例。
[03:16] Gmail的話也是必裝。
[03:18] 其他部分就是你的需求去安裝。
[03:21] 所以原則上外掛程式的話我個人推薦就是裝這幾個
[03:25] 大部分的狀況下,你應該都已經裝好我剛剛推薦的
[03:28] 那些外掛程式。
[03:30] 如果沒有的話,你就記得要把它裝起來。
[03:33] 接下來我們來看技能。
[03:34] 點選技能。
[03:35] 一樣,打勾的部分是已經裝起來了。
[03:37] 在系統的地方有五個技能已經裝起來了。
[03:40] 分別第一個是AI生圖,已經內建在我們的
[03:44] Codex裡面。
[03:45] 你是可以使用你訂閱帳號的Image 2來去生成圖片。
[03:49] 這是安裝外掛的創造器。
[03:52] 這些原則上都是必裝的。
[03:54] 技能產生器。
[03:55] OpenAI的最新的消息。
[03:58] 好,所以你看一下你系統是不是有這五個技能。
[04:01] 個人部分技能都在這個地方。
[04:03] 我剛剛提到的常見的那幾個,
[04:05] 原則上都會出現在這裡。
[04:06] 最重要的是這個,可以讓你的Codex去使用瀏覽器。
[04:10] 其他你新建的技能會在底下會看到。
[04:13] 所以你也可以新建你個人的專屬技能。
[04:15] 在這個地方全部都會列出來。
[04:18] 技能的使用方式跟在Claude裡面是一樣的。
[04:20] 技能是通用的。
[04:22] 不管在哪一個Agent裡面,
[04:24] 技能都是通用的。
[04:25] 那我簡單的做一個範例給大家看。
[04:27] 我在雲端硬碟新建一個資料夾叫數學歷屆試題。
[04:31] 在這邊左邊專案的地方新建一個專案,
[04:35] 選擇使用現有的資料夾。
[04:37] 選擇數學歷屆試題的資料夾。
[04:39] 選擇。我們來試一下它的瀏覽器功能。
[04:43] 我現在要請他開他的瀏覽器功能,
[04:46] 去網路上幫我抓國中教育會考的數學歷屆試題。
[04:50] 請使用Computer Use,去網路上幫我抓
[04:54] 國中教育會考數學歷屆試題。
