[00:00] claude裡面的Skill他本質上就是在做這樣的事情
[00:04] 我跟他講一件事情這件事情他是有一個重複的動作
[00:08] 比如說我告訴他說我要拍影片
[00:10] 然後我有影片腳本的筆記
[00:11] 那我能不能使用claude的這個界面去讀我的筆記
[00:15] 然後從我的筆記內容進行講解
[00:17] 有點類似他來當我的助教
[00:19] 但是助教知道我完全要示範什麼事情
[00:22] 他來協助我他告訴我他是做得到
[00:25] 他從我的腳本裡面讀取之後
[00:27] 會即時去跑程式碼去產生範例
[00:30] 配合我的節奏一段一段去推進
[00:32] 我問他說上面這個功能做成Skill適合嗎
[00:35] 他說非常適合做成Skill
[00:37] 我們可以利用斜線指定的名字來一鍵啟動
[00:41] 因為這件事情我們會重複使用流程固定
[00:44] 所以像這樣的東西就非常適合做成Skill
[00:48] 請幫我建立這個Skill
[00:50] claude有內建Skill Creator來去創作
[00:53] 任何你想要做重複使用固定流程的事情
[00:57] 把它建立成一個Skill技能
[00:59] 提交我個人建議所有你常用的Skill自己創作
[01:03] 因為我是在claude Code裡面操作
[01:06] 會生成一個Skill的檔案
[01:07] 允許他去創作這個資料夾
[01:10] 基本上在claude裡面大部分的事情
[01:12] 他都會自動幫你做好他真的非常聰明
[01:14] 所以他會去創作一個teach.md的markdown檔案
[01:19] 裡面有寫到這個Skill是做什麼的
[01:22] 選擇允許他告訴我已經建立完成了
[01:25] 就是這個teach.md所以我只要在對話裡面
[01:28] 輸入斜線teach啟動之後就會進入助教模式
[01:33] 接下來我們來試試看新增技能
[01:34] 之後你必須要重新開啟claude Code桌面版
[01:38] 這個技能才掛載新增好這個技能之後
[01:41] 我之後只要打斜線teach就會出現
[01:43] 這個即時教學助教模式告訴他
[01:46] Obsidian筆記本裡面claude基本功EP02
[01:50] 一次搞懂Skills按提交
[01:52] 接下來就會去讀取我的腳本內容
[01:55] 化身成我的助教所以腳本裡面總共有六段
[01:59] 可以請他做這些事情準備好之後就說開始
[02:02] 那我們就開始首先我們要先知道
[02:04] 什麼是Skill比如說我有一個國中數學段考出題的Skill
[02:09] 叫JH Math Exam他專門在做一件事情
[02:12] 就是幫我出段考的考題所以他知道
[02:15] 怎麼樣出題怎麼樣排版怎麼樣去分配難度
[02:18] 為什麼他會知道呢因為我事先就教過他了
[02:20] 所以Skill就是你交給claude一套完整的做事方法
[02:25] 遇到相關任務他就會自動套用這個方法
[02:27] 你不需要重複去教他有點類似是
[02:30] 你給他一份SOP他手上有這份SOP
[02:33] 他就知道怎麼做比如說我現在正在使用
[02:37] 助教的這個Skill已經寫好的一個流程
[02:40] 他固定做這樣的事情那我就拿這個JH Math Exam
[02:44] 來拆解一下這個Skill裡面他包含了哪些部分
[02:48] 你在左邊選單列地方選這個Customize
[02:51] 可以看到這邊會有一個Skills點他
[02:53] 你所有的自建技能都會在這個地方
[02:57] 我們來看一下JH Math Exam點他
[03:00] 在右邊的地方會是這個技能的名字
[03:03] 我們可以直接使用技能名字來去呼叫他
[03:06] 接下來這個地方是觸發條件
[03:09] 只要你在對話裡面看到說幫我出數學考題
[03:13] 或是審題雙向細目表檢查題目
[03:17] 國中數學試題段考命題數學考卷格式
[03:21] 他就會按照我交代好的流程
[03:25] 會自動幫我使用這個技能
[03:26] 所以觸發條件意思是說我的claude
[03:29] 接收到這些關鍵字的時候
[03:31] 才會去讀取這一份SOP的說明書
[03:35] 來去幫我出數學段考的考題
[03:37] 那一個Skill裡面有包含好幾個項目
[03:41] 幫我解說JH Math Exam這個Skill裡面的
[03:45] 包含的內容是做什麼用的舉例說明
[03:48] 所有的Skill都是使用Markdown格式
[03:50] 是因為在claude裡面對他而言
[03:53] Markdown格式是他很容易閱讀
[03:55] 很容易理解的格式所以我們在跟AI對話
[03:58] 溝通的時候Markdown格式是最好的格式
[04:00] 所以第一個部分就是名片區有他的名字
[04:05] 還有他的觸發條件當有這些關鍵字的時候
[04:08] 才會觸發這個技能所以他不會佔掉
[04:10] 太多上下文的空間我覺得這是很聰明的設計
[04:14] 這技能可以做出題還有審題
