[00:02] 哈囉 大家好 今天的主題是長出來的技能才是你的技能
[00:08] 以我的觀點來去跟大家分享一下
[00:11] 因為其實我也還在學習啦 所以就用我的經驗跟大家分享
[00:16] 那可能線上有很多已經很有經驗的老師也等一下也不
[00:22] 另分享你的經驗在聊天室的地方
[00:27] 為什麼說長出來的技能才是你的技能呢?
[00:30] 因為我們現在在我們agent 時代,
[00:32] 我們現在都是用技能來去做事情。
[00:36] 那目前技能是一個通用的格式,
[00:39] 所以不管你使用什麼agent,
[00:40] 你都可以去加裝這些技能。
[00:44] 那這個技能其實有點像是我們以前在ChatGPT
[00:47] 裡面,GPTS或者是Google裡面的Gem,
[00:50] 有點像是聊天機器人的進階版。
[00:53] 他能夠做的事情當然是比Google Gem還有GPTs
[00:56] 要多,非常的多。
[00:58] 那等一下我會示範一下。
[00:59] 那為什麼我會說長出來的技能才是你的技能呢?
[01:03] 你要取得技能有非常多種方式。
[01:06] 最簡單的方式就是你上網去找。
[01:08] 上網去找的話你會發現網路上有很多人會推薦技能資
[01:12] 料庫。因為技能資料庫它就是一個地方放了大量所有
[01:16] 人提供的技能。
[01:18] 那在GitHub 上面也有大量的技能。
[01:21] 各式各樣的
[01:21] 技能。那這麼多技能,實際上我害怕的是大家去網
[01:28] 路上找到這麼多技能,然後你看到很多好像很厲害的技
[01:31] 能就全部把它裝起來。
[01:33] 但實際上對我來說,我覺得這是不好的,
[01:35] 是因為你技能太多,有些會重複,
[01:38] 那有些重複的話,你在觸發的時候他有可能會不曉得要
[01:42] 觸發哪一個技能。
[01:43] 所以實際上裝太多技能也是不好的。
[01:46] 所以你應該要裝的是那些真正能夠解決你在工作上或
[01:52] 是你教學上困難的那些技能,
[01:54] 才是真正好的技能。
[01:56] 那再來就是很多技能是它是業界的。
[02:02] 那我覺得這邊大家很容易忽略到一個點是,
[02:05] 比如說我的身份是教師。
[02:07] 那你在教師界的技能跟你在教師界,
[02:12] 你要去找的資料,你應該要找的是
[02:16] 什麼?是一樣在教師界的那些專業人士。
[02:19] 比如說,像做簡報的話,
[02:22] 我就會去推李俊宜老師的簡報,
[02:25] 我就會拿他簡報的那些資料,
[02:28] 然後學習之後用這些資料來做技能。
[02:30] 為什麼?
[02:31] 因為在教學領域裡面做簡報,
[02:34] 李俊宜老師就是第一把交椅。
[02:35] 所以我要跟的是那些在這個教學專業領域的人來
[02:41] 去跟他學習。
[02:42] 我不是說業界不好,是因為在業界他們可能會注重一些
[02:46] 比如說管理,
[02:48] 或者是他們在業界裡面或在商務裡面做
[02:53] 了一些事情。
[02:54] 他們把這些東西去做成技能。
[02:57] 你下載下載用在你的教學現場,
[03:00] 對你來講是幫助不大,是因為你教學現場你是用不到業
[03:05] 界這些技能。
[03:06] 所以實際上很多技能是,
[03:09] 他如果不是你這個專業領域的人去開發的,
[03:13] 那實際上這些技能對你來講也沒有太大的用處。
[03:15] 所以大家千萬不要說遇到人家推薦,
[03:18] 這個是人家業界的什麼技能可以幫助你,
[03:22] 等於是請了多少員工去幫助你。
[03:25] 我跟你講那些技能對於我教師領域的我來說是完全沒有
[03:29] 任何幫助的。
[03:32] 所以你在學技能或是學這些AI
[03:36] 的知識的時候,你應該去跟你相同領域的專
[03:41] 業人士學習。
[03:43] 那不同領域的你可以完完全去參考他們的做法。
[03:46] 比如說,我去參考業界的人或是很專業的人,
[03:50] 他們在使用Agen是怎麼做的。
[03:52] 可是參考畢竟是只能夠參考,
[03:54] 是指很多東西我參考完之後還是需要經過一定的轉化
[03:59] 跟簡化,我
