[00:00] claude_AI基本功第一集
[00:02] 你知道claude的總共有四種模式嗎
[00:06] 這四種分別是claude chat
[00:08] 也就是我們常用的大型語言模型的對話介面
[00:13] 第二種的話是cowork
[00:14] 可以去操控你的電腦檔案
[00:17] 以及你的瀏覽器做到自動化的功能
[00:20] 第三種claude Code桌面版
[00:22] 他可以讓你做到視覺化寫程式
[00:25] 這個寫程式是進階的寫程式哦
[00:27] 再來第四種終端機版本
[00:30] 也就是claude Code CLI
[00:32] CLI是Command Line Interface的意思
[00:36] 命令行操作介面
[00:38] 當然按照難度是由簡單到難
[00:41] 所以一般使用者的話學習應該會像這樣子
[00:43] 我們會先從聊天開始逐一去學習
[00:46] 所以你要先學會怎麼樣去跟AI對話
[00:49] 接下來再學怎麼樣跟AI去協作
[00:52] 在協作的過程裡面如果你有需要解決問題的話
[00:57] 你可以使用claude Code來去寫程式解決你的問題
[01:00] 而如果你是一個專業的工程師背景AI大神
[01:04] 你可以直接使用claude Code CLI來去跟AI做溝通
[01:09] 我們就針對他能做跟不能做的事情
[01:12] 簡單做一下介紹
[01:14] 首先第一種claude Chat
[01:15] 就是我們熟悉常用的大型語言模型
[01:18] 他是對話為主
[01:19] 對話的過程裡面
[01:21] 都會在一個虛擬的雲端空間裡面去做對話
[01:25] 所以你必須要先知道他能做什麼
[01:27] 不能做什麼你的基本技能有哪些
[01:29] 你可以輸出哪些類型的檔案
[01:32] 所以在聊天視窗裡面
[01:34] 你必須要知道他能做什麼
[01:35] 不能做什麼
[01:36] 你可以問他
[01:37] 你的基本技能有哪些
[01:41] 他的基本能力分成Skills跟Connectors
[01:44] 這個Skills就是由他會的事情去組合而成的
[01:48] 這個叫做技能
[01:49] Connector的話就是可以讓你去連接其他的應用程式
[01:53] 基本能力就是一般我們常見大型語言的能力
[01:57] 他很聰明其實都做的非常好
[01:59] 這是他可以輸出的檔案類型
[02:01] 所以你會發現說他比較偏向的是Microsoft Office
[02:06] 包含像Word、PPT、Excel、PDF、網頁
[02:10] 還有這個SVG檔是我最近很常用
[02:13] 因為我常常拿他來畫圖表幾何圖
[02:16] 他畫圖很準而且非常漂亮
[02:18] 他做好之後會讓你去下載到你的電腦裡面去
[02:22] 所以本質上他還是在雲端工作
[02:24] 所以他沒有辦法去讀取你電腦檔案
[02:26] 也沒辦法去控制你的電腦
[02:28] 這是他的缺點
[02:29] 這個是他內建的技能
[02:30] 當你需要用到這些技能的時候
[02:32] 他就會自動呼叫處理Office文件上面
[02:35] 他是完全沒有問題的
[02:37] 我覺得很好用
[02:38] 以上就是第一種我們常用的claude Chat
[02:41] 大型語言的對話聊天功能
[02:44] 接下來第二種第三種第四種
[02:46] 你就不能在這邊使用
[02:48] 你必須要在左下角這邊有個下載的符號
[02:51] 去下載桌面版的應用程式
[02:53] 下載完安裝之後開出來會長這樣
[02:56] 在上方的話就會有三個可以切換的功能
[02:59] 第一個就是我們剛剛講的聊天功能
[03:02] 接下來我們要介紹的是第二種cowork
[03:04] 我們把滑鼠點到cowork
[03:06] cowork能夠做的是我大概把它分成三類型
[03:10] 第一類型去控制你電腦檔案
[03:13] 這邊有一個限制是他能夠控制的檔案
[03:15] 只有在你的使用者user裡面這個目錄的資料夾
[03:20] 他才可以去操控
[03:21] 所以我在這個資料夾裡面放了一個目錄叫chatbot
[03:25] 我把在我課程裡面學生跟AI的對話記錄
[03:30] 全部下載下來總共有30幾個檔案
[03:33] 放在這個資料夾這裡面有很多word檔
[03:36] 我要請他去幫我做整理
[03:38] 在工作的時候你必須要先選擇資料夾
[03:41] 選好資料夾之後告訴他你要做什麼
[03:44] 他都會自動幫你去讀檔案直接幫你工作
[03:47] 他幫我整理好之後還幫我寫一份報告
[03:49] 根據互動的高中低去幫我分類
[03:54] 接下來產生一個分類報告的word檔
[03:58] 相同方式你可以不斷的去跟他對話
[04:01] 分析檔案控制檔案
[04:03] 移動檔案讀完檔案之後產出報告也是沒有問題
[04:07] 所以如果同時你有很多學生資料要處理的話
[04:10] 可以使用cowork的這個功能來去做操作
[04:13] cowork的第二個功能叫做排程
[04:16] 所以在左側會有一個scheduled
[04:18] 你可以告訴他每天要做什麼事情
[04:20] 那我這邊我告訴他說每天早上7點
[04:23] 幫我整理了gmail跟我的行事曆
[04:25] 整理好之後會直接在行事的地方會建立一個通知
[04:30] 我每天早上起來
[04:31] 我就會看到他整理好通知
[04:34] 這邊的話你設定的事情
[04:35] 是所有你在網頁或是你電腦
[04:38] 可以做的事情他都能夠設定
[04:40] 所以看看你有沒有每天需要
[04:41] 執行的事項你可以在這邊設定好
[04:44] 他就會自動幫你執行
[04:45] 第三種功能是dispatch
[04:47] dispatch的話在我之前影片
[04:49] 有介紹過他可以利用一個
[04:52] 對話視窗直接操控這臺電腦
[04:55] 操控電腦的時候你必須要
[04:57] 保持這臺電腦是開機的狀態
[04:59] 我這邊我也允許他去操控
[05:01] 我們的網頁視窗所以當他需要
[05:03] 上網的時候他也可以去操控你的網頁
[05:06] 你要讓他操控網頁的話
[05:08] 你必須要在外掛程式去安裝
[05:11] claude外掛裝好之後他就有
[05:14] 權限可以去控制你的瀏覽器
[05:15] 所以當他需要上網的時候
[05:17] 他就會自動開啟瀏覽器在後臺執行
[05:20] 我們大部分事情可能都需要用到瀏覽器
[05:23] 這個功能就相當方便
[05:24] 好以上就是claude第二種類型的功能
[05:29] cowork接下來我們介紹第三種
[05:32] claude code圖形介面版也就是桌面版
[05:35] 點選這邊你要工作要先選一個目錄
[05:38] 因為我要製作數學遊戲所以我選
[05:40] 一個數學遊戲的目錄這邊跟cowork
[05:43] 不一樣的是你這個目錄就沒有限定
[05:45] 一定是要在你的使用者帳號之下
[05:48] 你可以在任何地方選好目錄之後
[05:50] 接下來我們所做的任何的程式
[05:54] 任何的操作都會在這個目錄下執行
[05:57] 選好目錄之後這邊有好幾個模式可以選
[06:00] 新手上路的話我建議使用plan mode
[06:04] 計劃模式他會一步一步幫你擬定計劃
[06:08] 按部就班的跟著你一起去打造這個程式
[06:11] 那如果你是老手的話就直接選這個
[06:15] auto accept他會跳過大部分的步驟
[06:18] 自動幫你執行
[06:19] 那如果你是高手的話要選這個
[06:22] bypass permissions就是直接跳過所有的允許
[06:26] 幾乎全自動可是這個功能的話
[06:28] 必須要去設定的地方開啟
[06:30] 寫程式的部分我之後會另外在拍影片
[06:33] 跟大家講詳細的部分
[06:35] 我有做出來
[06:36] 類似typeless的語音輸入軟體
[06:38] 全部用的是本地端的大模型
