[00:00] claude的基本功第八集
[00:02] 用Obsidian打造AI筆記流
[00:05] 在上一集我們裝好一個全新的Obsidian筆記
[00:09] 使用Google雲端硬碟的話是不需要登入的
[00:13] 他就是跟著你的Google帳號
[00:14] 也就是說你可以免費去使用他
[00:17] Google雲端硬碟同步要一些時間
[00:19] 所以在這個地方筆記更新可能會晚個幾秒
[00:23] 那是正常的在影片下方一樣
[00:25] 我有給你懶人包
[00:26] 所以在影片下方點選懶人包網址之後
[00:29] 找到第四個懶人包第二大腦設定指南
[00:33] 一樣在右邊的地方我們點開
[00:36] 第二大腦設定指南在右邊的地方
[00:39] 有一個下載點選
[00:41] 打開你的claude Code
[00:42] 將剛剛下載的懶人包
[00:44] 把它拉到claude Code的對話裡面
[00:46] 跟他講說按這個資料教我設定Obsidian
[00:50] 按提交開始設定
[00:51] 接下來他按照這邊的步驟去幫我一個一個設定
[00:55] 包含建立三層資料結構
[00:57] 建立claude.md建立筆記模板
[01:01] 建立資料庫的Index跟Log引導
[01:04] 設定Web Clipper設定每週知識重整排程
[01:08] 歡迎筆記跟最終驗證
[01:10] 他問一些簡單的問題
[01:11] 如果你上面沒有的話你可以直接打在這邊
[01:13] 那比如說我是國中數學老師
[01:16] 教什麼年級七八九都有
[01:18] 希望他回答簡潔明瞭
[01:20] 先了解我才能夠幫我客製化第二大腦
[01:22] 接下來要幫我建立三層資料結構
[01:25] 他會自動去幫我修改我的筆記本
[01:28] 所以新增了Clipping知識庫創作庫
[01:32] 這個claude.md前幾集有講過
[01:36] 就是我們最外圍的大規則
[01:37] 建立筆記模板這邊教你怎麼樣去安裝
[01:40] Obsidian Web Clipper那我們在上一集
[01:43] 已經安裝好了所以我們設定一下
[01:45] 預設存放的位置按照指示操作
[01:48] 接下來設定Web Clipper選Setting
[01:52] 語言改成繁體中文在這裡新建儲存庫
[01:55] 設定完成如果設定有問題的話
[01:57] 你直接問claude他會幫你解決
[01:59] 接下來要設定每週知識重整的排程
[02:04] 所以他會自動幫我新增一個Schedule Desk
[02:07] 每個禮拜天早上九點十七分會自動執行
[02:10] 接下來歡迎筆記最終驗證
[02:13] 再來他會教你怎麼做資料夾結構
[02:16] 是這樣你在網路上你只要看到好的文章
[02:19] 就按右鍵把Web Clipper起來
[02:23] 所有Clipper的文章全部會寄到這個資料夾裡面來
[02:26] 這個是屬於外部的原始資料
[02:28] 當你累積一段時間之後
[02:31] 禮拜天AI會自動幫你把這些資料消化
[02:34] 消化完之後他會把它消化到知識庫裡面去
[02:38] 這個就是AI幫你去整理的AI知識庫
[02:42] 可是他不會動到你原始的文章
[02:45] 因為這個筆記的作者是卡帕西
[02:47] 他主張原始資料是很重要的
[02:50] 所以一定要保留原始資料
[02:52] 那由AI來管理整理過後的資料
[02:55] 來當作是你的知識庫
[02:56] 你每一次問問題就在知識庫這邊問問題
[02:59] 你問完問題的資料會再重新丟回知識庫
[03:03] 所以你的知識庫的內容會越來越多
[03:06] 越來越多而原始資料永遠都不動
[03:09] 它這邊比較特別的是我新增一個創作庫
[03:13] 這創作庫什麼意思呢
[03:14] 他仍然是原始資料但是這個是屬於你創作的原始資料
[03:19] AI在整理的時候也會連同創作庫
[03:23] 一起整理到知識庫裡面去
[03:25] 然後創作庫的內容也會保留下來
[03:27] 所以等同是你自己創作的資料
[03:30] 網路上抓的資料都屬於原始資料
[03:33] 這兩份原始資料AI都不會動它
[03:36] 所以當你有新的創作或是你在網路上抓到新的資料
[03:40] 每個禮拜他都會幫你把這兩份資料統整進去知識庫裡面
[03:45] 卡帕西使用LLM來去管理筆記的原則
[03:48] 就是他會有一個完全不去更動他的原始資料
[03:52] 在定期成長的知識庫
[03:55] 你跟他對話的內容跟你每週新增的原始資料
[03:59] 都會讓這個資料庫越來越龐大越來越完整
[04:03] 當你使用這樣的筆記方式一段時間之後
[04:07] 你的第二大腦筆記本就會變得超級厲害
[04:11] 現在我們來看一下三師爸的筆記
[04:13] 你們現在看到的是我的筆記
[04:15] 我的筆記已經有非常多的資料
[04:17] 一樣會有知識庫是AI幫我整理的知識庫
[04:22] 再來這個創作庫跟我的clipping就是我的原始資料
[04:25] 我做好的影片或是我寫過的文章內容
[04:30] 我全部會丟到創作庫裡面來
[04:33] 我網路上抓到的東西我會全部丟到clipping裡面來
[04:36] 這兩個整理過後的知識會放到知識庫裡面來
[04:41] 所以原始的資料我都不會去動它
[04:44] 那如果我要問問題的話
[04:45] 我就會在知識庫裡面問問題
[04:47] 我現在來示範一下怎麼去操作
[04:49] 比如說我在李俊儀老師的臉書上面
[04:52] 看到一篇文章
[04:54] 你以為在教學
[04:55] 其實在浪費時間
[04:56] 我覺得這篇文章很讚
[04:58] 我可以將這篇文章選取
[05:00] 之後按右鍵選Obsidian Web Clipper
[05:04] 選Save List Page
[05:05] 就會出現一個視窗
[05:07] 這個視窗就是在Obsidian裡面
[05:09] 新增一個筆記
[05:10] 筆記內容就是我剛剛點選的範圍
[05:13] 接下來選增加
[05:16] 所以你看我的clipping裡面
[05:17] 就有這一篇
[05:19] 第一次的話他只會抓到像網址內容
