[00:02] 哈囉大家晚安
[00:03] 今天來直播聊聊教學應用
[00:07] 那我本科是數學啦
[00:09] 所以我就拿數學來試試看
[00:11] 那其實我也在學習跟摸索啊
[00:14] 因為我覺得同一件事情
[00:17] 能夠做到的方法很多
[00:19] 我常常覺得我的方法
[00:21] 不是最好的方法
[00:22] 所以今天我也是就拋磚引玉啦
[00:25] 如果大家有其他的心得分享的話
[00:27] 也歡迎一起來交流
[00:28] 好那今天我的Padlet的話
[00:32] 一樣我把連結貼在聊天區
[00:37] 大家自行去點選
[00:39] 那如果你是用手機觀看的話
[00:42] 你可以掃描這個QR Code
[00:44] 來去得到今天的Padlet
[00:46] 那今天的Padlet的話
[00:47] 就放了一些我今天會操作
[00:49] 使用到的內容
[00:51] 好來首先第一個部分
[00:54] 參考資料的話大家可以去看一下
[00:57] 我上個禮拜直播我有講Skill是什麼
[01:00] 那其實我講得很清楚啦
[01:02] 只是說觀看的人不多
[01:03] 所以如果你對於claude的Skill不清楚的話
[01:06] 你可以去看這支影片
[01:08] 那再來今天有更新了一系列
[01:11] 叫claude AI基本功
[01:13] 那你如果你對於今天我這個claude
[01:15] 你不是很了解的話
[01:16] 你可以去看一下這支影片
[01:17] 好那最新功能的話
[01:21] 也有相關影片你可以去參考
[01:23] 所以第一個參考資料
[01:24] 如果你還沒看過這支影片的話
[01:27] 你可以去觀看這支影片
[01:29] 對今天的內容會有更多的了解
[01:31] 再來我今天以數學科為例的話
[01:33] 我給大家我已經做好的Skill
[01:36] 我做好Skill的話在這個地方
[01:38] 數學科技能所以這邊是我們claude的Skill
[01:42] 所以我稍微重新命名一下
[01:44] 這邊給的是claude的Skill
[01:49] 好下面的話這個怎麼用
[01:52] 如果你有claude的話
[01:53] 你就是把它下載選這個點點點
[01:56] 然後按下載附件就可以得到這個Skill檔案
[02:03] 然後Skill檔案的話
[02:04] 你就可以把它加掛到你的claude裡面去
[02:07] 如果你沒有在使用claude的話
[02:09] 如果沒有的話也沒關係
[02:10] 反正你存了這個padlet連結
[02:12] 日後你可以回來用
[02:13] 所以我今天提供了這邊有一個
[02:17] 根據每個重點製作小遊戲
[02:19] 那這個上禮拜上上禮拜有分享過了
[02:22] 那在圖表產生可能在畫圖表的時候需要用到
[02:27] 再來生成數學圖形
[02:28] 這是今天我講的重點之一
[02:30] 就是我們在數學課裡面
[02:32] 其實數學圖形是比較頭痛的部分
[02:35] 然後段考複習卷的技能
[02:39] 這個在上一次直播也提到了
[02:41] 那我有把它更新
[02:43] 它現在是新版的段考複習卷的技能
[02:46] 所以今天我放的技能
[02:47] 都是我在上次直播後有更新過的技能
[02:50] 如果上次你有下載到這個技能的話
[02:52] 你就可以去更新一下
[02:54] 這個是有更新過的技能是比較強的技能
[02:57] 一樣的內容但是有更新過了
[03:01] 然後數學生活素養題應該是沒更新吧
[03:04] 然後認知科學簡報這個部分的話
[03:08] 我參考李俊儀老師的臉書
[03:10] 去製作了一個技能
[03:12] 他會專門產生認知科學簡報
[03:14] 好這個是今天的skill
[03:16] 那我覺得含金量特別高的是這個
[03:19] 認知科學簡報大家務必要去下載這個附件
[03:22] 這個技能很厲害
[03:24] 如果今天你有來看直播的話
[03:28] 你可以下載回去這個認知科學簡報
[03:31] 我覺得很厲害我覺得很厲害
[03:33] 好那我們來看一下第一個範例
[03:35] 範例的話怎麼樣製作教學簡報
[03:39] 那我相信大家可能在使用Google AI
[03:41] 或者是Notebook LM
[03:43] 你們應該都有過一種經驗
[03:45] 就是我會使用Notebook LM去製作教學簡報
[03:48] 而Notebook LM製作的教學簡報品質也相當的高
[03:51] 但是大家還是都會處心積慮的想辦法
[03:55] 去把Notebook LM的簡報去改成PowerPoint
[03:59] 為什麼因為上課的時候
[04:01] 你使用的習慣可能就是PowerPoint
[04:04] 或者是你需要去改一些文字
[04:06] 做一些動畫的觸發
[04:07] 所以可能有些人還是習慣使用PowerPoint去做簡報
[04:10] 那這件事其實沒有對錯
[04:12] 沒有對錯就是哪個工具好用就去用哪個
[04:16] 所以我也覺得Notebook LM的簡報非常好用
[04:19] 那如果你覺得這東西已經夠用的話
[04:21] 那其實你也不需要去學新的東西
[04:24] 那再來我今天講的內容呢
[04:26] 全部都是以付費付費版本的claude為例
[04:31] 然後今天講的東西也不是給初學者聽的
[04:33] 所以如果你是初學者的話
[04:35] 可能要先去看一下我那個基本功的部分
[04:39] 或者是你可能有一些影片
[04:41] 你要先看過你才知道我今天講的是什麼
[04:43] 所以如果今天你是初學者
[04:45] 聽不懂很多聽不懂是正常的
[04:47] 那如果你沒有付費使用
[04:49] claude AI很多功能你不能用
[04:51] 也是正常那今天就是大家
[04:53] 自己參考一下好那怎麼樣
[04:57] 去製作教學簡報那在製作
[05:00] 教學簡報之前我先做一份
[05:02] 然後我們等一下在一邊講解
[05:04] 好那這個教學簡報我們是
[05:05] 怎麼去操作的呢好我可以這樣子
[05:08] 最簡單最簡單的方式就是
[05:09] 我給一個對話一個新對話
[05:11] 然後這新對話我們最簡單
[05:16] 就是使用大型語言模型
[05:17] 然後給他一個檔案比如說
[05:19] 我現在給他一個檔案那這檔案
[05:21] 叫做呃我給一個三角形的
[05:26] 全等三角形的全等性質好不好
[05:29] 三角形的性質好然後我就點他
[05:34] 然後我只要跟他講說我要製作
[05:38] 教學用的簡報他就會觸發
[05:40] 這個技能還記得我們之前講過嗎
[05:42] 技能是用觸發的所以我只要
[05:45] 上傳我的我的這個備課的教材
[05:48] 給他然後跟他講說請根據
[05:51] 我提供的資料製作教學用的簡報
[05:54] 好所以我只要提供他這個
[06:04] 教學資料然後跟他講說製作
[06:06] 教學簡報那因為觸發條件
[06:08] 就是教學簡報所以這裡的話
[06:11] 我用我用這個這個聰明一點的
[06:14] 模型來做好了然後現在這個時段呢
[06:18] 是熱門時段熱門時段就是大家
[06:20] 都在用AI時段所以等一下AI
[06:23] 他很快就到達上限或者是
[06:26] 他等一下有變笨都是正常的
[06:28] 現在的AI世代就是這樣算力有限
[06:31] 但是用的人太多所以變成是
[06:34] 這個資源大家還是要搶奪
[06:36] 那今天這個時段是比較多人
[06:40] 用AI的所以他等一下可能會偏笨
[06:42] 或是用量用的比較快那都是正常
[06:45] 好那就先讓他製作就讓他去跑
[06:50] 那我來講一下我是怎麼樣去做
[06:53] 這個簡報的那我參考資料的話
[06:55] 我放在這個地方我是參考
[06:57] 李俊儀老師的臉書資料他臉書
[07:00] 有一篇貼文他就是當AI不只
[07:03] 幫你做簡報他有分享一個
[07:05] 叫做土壤心法的一個Workflow
[07:09] 六顆引擎我覺得非常的棒
[07:10] 那我個人不是專家所以如果
[07:13] 你對於認知科學這個SOIL簡報
[07:16] 有興趣的話麻煩可以到李俊儀
[07:18] 老師的臉書去參考他更多文章
[07:21] 他有非常多的文章分享
[07:22] 那我參考他這一篇他這一篇的話
[07:25] 他就是告訴我們說你在做簡報的時候
[07:28] 他的一個工作流他把它定位成
[07:32] 六個六個架構就是概念定位
[07:35] 脈絡定位頁面架構認知典型
[07:38] 風格建構跟簡報總導演
[07:41] 好所以他下面就會去講說
[07:43] 你怎麼樣去做這件事情好
[07:46] 那我就把他這一篇文章當做
[07:48] 是一個參考的知識然後我請claude
[07:53] 去按照這個流程去設計一個
[07:57] 簡報的skill那這簡報skill就是
[07:59] 你剛剛看到的那個認知科學
[08:02] 簡報的skill所以他就會根據
[08:04] 這個這個參考資料裡面也有
[08:07] padlet的寫法那由claude去製作
[08:10] 這個技能好這個技能的話
[08:12] 他會幫你製作一個符合教學流程
[08:18] 一個認知科學的一個簡報
[08:20] 所以前面可能就是會有一些東西
[08:23] 後面會有一些東西然後中間
[08:24] 會有一些東西是有別於他自動
[08:26] 生成的簡報那我個人試用了幾次
[08:29] 我覺得非常的好所以參考資料的話
[08:32] 大家可以去參考一下這個俊儀老師的部分
[08:37] 那我也把連結放在這個地方
[08:39] 大家可以自行點選連結好然後
[08:42] 做出來的話我先給大家看一下
[08:44] 做出來樣子是什麼樣子我這邊
[08:47] 有先做好了來所以呢一樣這邊
[08:52] 我就先做了這是教學簡報
[08:55] 然後他就會問我問題問我問題
[08:57] 有沒有看到已讀完教材內容
[09:00] 非常完整問我問題他會問我問題
[09:03] 問完問題之後才做所以我給他
[09:05] 設定是這樣我們看一下這個還在跑
[09:08] 我就是怕跑太久所以我先做好了
[09:11] 先做好所以他在問我問題
[09:15] 那我就會有一個選項可以去回答
[09:17] 九年級學生然後一整個單元
[09:20] 三節以上然後接下來他就會
[09:22] 開始去跑全流程跑完六顆引擎
[09:25] 輸出簡報先讀技術文件然後
[09:28] 再去執行流程最後你有沒有看到
[09:31] 先裝套件生成幾何圖形然後
[09:35] 再輸出PPTX那中間的話他就會
[09:38] 做一些摘要比如說他他做一些摘要
[09:41] 比如說總概念是什麼然後帶走的一句話
[09:45] 是什麼常見的誤解是什麼然後
[09:47] 三段節奏是什麼所以他這個地方
[09:49] 都是根據這個認知科學簡報去做設計
[09:52] 引起動機三頁維持注意力三頁
[09:54] 喚起行動四頁總共二十頁所以
[09:57] 他全部都已經做好了在這裡面
[09:59] 然後在幾何圖形全部正確轉背
[10:03] 16次真正簡報那因為用量到達上限
[10:07] 這邊我還是要按一下好所以他會
[10:11] 有問題會自動去修正然後接下來
[10:13] 架構總覽他就會把這個架構總覽
[10:15] 全部幫我把它整理好然後再來設計
[10:19] 亮點每個核心公式右頁
[10:22] 都內嵌對應幾何圖形
[10:24] 那你有看到嗎
[10:25] 這邊有一個Geometry Renderer
[10:30] 去生成的我有一個技能
[10:32] 是專門去畫幾何圖形的技能
[10:34] 所以他就在我使用簡報技能的時候
[10:39] 有去呼叫生成幾何圖形的技能
[10:42] 好最後帶走的一句話
[10:45] 說在最後圓周角是他所對弧的一半
[10:49] 然後就做好了
[10:50] 做好先不開給大家看
[10:53] 但是我做好之後我就會跟他講
[10:54] 說這個數學的表示式如上
[10:57] 標的次方下標的足碼分數形式
[11:00] 直線圓弧符號都用數學形式來表示
[11:03] 因為如果你不這麼寫的話
[11:06] 他的符號的表示會很醜
[11:08] 因為我們在數學裡面
[11:10] 我們利用那些像分數的話
[11:13] 他就是會有一個分子分母嘛對不對
[11:15] 然後上標嘛足碼
[11:17] 比如說足碼就是index
[11:18] 像這種的話我們在數學裡面
[11:20] 如果你沒有跟他講這些事情的話
[11:22] 他就是會亂標
[11:24] 然後做出來的簡報就會很醜
[11:26] 這數學科是這樣
[11:27] 其他科比較沒有這個困擾
[11:31] 所以我就跟他講要去更動
[11:35] 他就幫我更動
[11:36] 更動完之後像這些東西
[11:38] 有沒有全部用正確的疊加分數線
[11:41] 然後弧的符號也正確的嵌入
[11:45] 然後我做完之後我會告訴他
[11:50] 我會告訴他說這個這個這個
[11:54] 三個字母上方符號不正確
[11:56] 跑到左邊去
[11:57] 然後符號跟英文字母不要重疊
[11:58] 注意一下等號位置會跑掉
[12:00] 反正就是你看到什麼地方不對
[12:02] 你就跟他修正他
[12:04] 一樣就去找修正
[12:05] 好全部都修正完了
[12:07] 然後第19頁修正了
[12:09] 那我就跟他講說
[12:10] 不是只有第19頁啊
[12:12] 你全部整個整份簡報都要修正
[12:15] 而且你的skill要更新
[12:17] 這邊很重要一點
[12:18] 我叫他更新skill是因為
[12:20] 他做好了第一份
[12:21] 我覺得他做的東西是不好的
[12:23] 我要他去修正嘛
[12:25] 修正完之後我要他更新skill
[12:28] 也就是說他下次再做同樣事情的時候
[12:31] 他就不會犯相同的錯誤
[12:33] 所以很多時候你做完
[12:35] 你做你做一個東西
[12:36] 你不需要要求完美
[12:38] 你就先把第一份先做出來
[12:39] 然後你適用的效果怎麼樣
[12:41] 你就邊修邊改
[12:42] 然後邊改同時你就叫他更新skills
[12:45] 他就會把這個技能也順便一起升級
[12:48] 然後等到你改的差不多的時候
[12:50] 技能其實就差不多了
[12:51] 那下次再做的時候
[12:52] 技能就會知道說
[12:53] 哦上次你要我改這些東西
[12:55] 他也都會把他寫進去
[12:56] 所以下次再做的時候
[12:57] 你的技能就會越修越好
[12:59] 我自己是這樣做的
[13:00] 自己這樣做
[13:02] 所以實際上skills也需要
[13:04] 你花時間去嘗試錯誤
[13:07] 然後去打磨這個技能
[13:09] 然後打磨完的技能都是可以分享給別人的
[13:11] 哦好然後接下來他會自己去做QA
[13:18] 做QA然後更新技能
[13:21] 反正他很聰明的
[13:22] 什麼都幫你做好了
[13:23] 所以內容修正整份21
[13:25] 他告訴我修了哪些東西
[13:27] 好skills也更新了
[13:29] 更新了更新這些東西
[13:32] 然後做完之後這份簡報在這裡
[13:34] 那那簡報這裡的話
[13:36] 他是放在雲端
[13:37] 所以我可以在雲端下載
[13:39] 那那這個話就是在我們的claude chat裡面的對話
[13:44] 他是可以做這些事情
[13:45] 這個是最基本的
[13:47] 就是你連免費版本都是可以用
[13:49] 只是說你免費版本對話額度
[13:52] 可能很快就用完的
[13:53] 做這個東西還好
[13:55] 蠻多蠻多蠻多點數的
[13:57] 蠻多點數蠻多額度的
[13:59] 好來大家來看一下claude AI做出來的簡報
[14:06] 你們覺得如何啊
[14:08] 我們就來看一下吧哈哈
[14:09] 啊我看一下目前投影片
[14:15] 好大家看一下簡報如何好不好啊
[14:20] 就是就算你不是數學老師
[14:22] 你也看一下吧
[14:24] 來這個是claude AI做出來的powerpoint的簡報
[14:29] 大家來好這個像這個圖形的話
[14:33] 沒有那麼好這個圖形我忘記要修了
[14:35] 所以他一開始就引起動機
[14:37] 用海盜船這個圖是應該要修
[14:40] 引起動機你看右上角一個動機
[14:42] 有看到嗎來再來弧的三種意義
[14:46] 複習加延伸右上有一個基礎
[14:49] 來你看一下這邊的話
[14:51] 這個符號是ok的
[14:54] 符號是ok的你有看到嗎
[14:56] 符號數學符號是ok的是沒有問題的
[14:59] 當然排版上面可能可能沒有對很準
[15:01] 來再來大家看到嗎
[15:04] 分數是ok的弧長這個公式
[15:07] 各位這個是powerpoint這是powerpoint
[15:11] 好來再來然後在主題一嘛
[15:20] 圓心角跟弧的各位
[15:21] 你看這邊有一張圖片
[15:24] 這張圖片是我請claude先畫好之後
[15:29] 然後他在生成簡報的時候再把它插進來
[15:31] 圖片各位我可以先用claude畫好圖片
[15:36] 他做簡報的同時將圖片插進來
[15:40] 來你們覺得畫了正確的圖
[15:43] 然後把圖片插進來
[15:45] 做成這樣的一個數學上課用簡報
[15:48] 很厲害的請在聊天室刷一排666
[15:52] 我覺得很
[15:53] 厲害啊我覺得很厲害
[15:54] 我覺得很厲害好
[15:57] 所以這個是自動生成
[15:58] 他就是生成然後
[16:00] 然後你看說弧的弧的度數的定義有什麼
[16:03] 所以他就弧的度數
[16:04] 然後整圓的弧度數
[16:06] 半圓弧度數
[16:06] 所以下面有一個keypoint
[16:08] 你有看到嗎keypoint
[16:10] 他這整個排版我覺得是很好的
[16:13] 各位這個是AI自動生成的
[16:16] powerpoint的簡報
[16:17] 所以大家看一下這個品質如何
[16:20] 好好然後再來
[16:26] 來你看弧長公式跟等弧一
[16:29] 那右上角這邊有個主題
[16:30] 來弧長公式大家看一下
[16:32] 有沒有看到這個公式是準的
[16:37] 這個公式準的
[16:38] 然後在度數相同弧長相同
[16:42] 度數較大弧長較長
[16:44] 他的重點整理是這樣
[16:47] 跟那個其他家生成的powerpoint簡報
[16:50] 是不是不一樣
[16:51] 好來再來例題
[16:54] 你看例題所以弧ABR等於8
[16:58] 然後求弧的度數這邊例題
[17:00] 然後弧CDR等於10
[17:03] 然後下面有一個結論
[17:07] 來你看這個簡報的品質
[17:09] 然後再來你看這張圖
[17:11] 這張圖也是等弧對等弦
[17:15] 等弦對等弧
[17:16] 他這邊就是有給了一個圖
[17:18] 那這個圖的話我覺得圖沒有很適合
[17:21] 但是也我覺得ok了
[17:23] 那你看下面也是有證明
[17:24] 這個證明各位這個證明
[17:27] 全部你都得用方程式編輯器
[17:29] 你才能打他打的是對的
[17:32] 他打出來是對的這個是正確的
[17:36] 你有看到嗎
[17:38] 所以在claude裡面我跟你講
[17:40] 數學的式子完全不是問題
[17:45] 你使用claude去產生數學的算式
[17:48] 完全都沒有問題
[17:49] 你用講的就好
[17:50] 你都不用打
[17:51] 所以他這個式子都是正確的
[17:54] 哦這是沒有問題的
[17:56] 哦再來你看一下等弧等弦的應用
[17:59] 這邊有個例題正五邊形
[18:00] 這邊應該要一個正五邊形的圖
[18:02] 然後所以你也可以口說
[18:04] 說哎在第九頁地方
[18:08] 幫我加一個正五邊形的圖
[18:09] 他就幫你加進去
[18:10] 直接嵌在簡報裡面去
[18:12] 所以我們在調整的時候
[18:14] 我就是用嘴巴講
[18:15] 然後他就直接幫我改簡報
[18:17] 我簡報我都不用開
[18:18] 我就跟他說那個第九頁
[18:21] 你幫我加一個正五邊形
[18:22] 他就幫你加了
[18:23] 各位你看一下主題2
[18:27] 來圓周角的定義
[18:30] 有沒有看到這張圖
[18:31] 圓周角的定義圖是正確的
[18:34] 圖是正確的
[18:36] 當然這邊圖應該要去背
[18:37] 那我來不及去改
[18:39] 這應該去背一下
[18:41] 因為你看這邊被擋到了
[18:42] 所以圓心角頂點在圓O
[18:45] 然後圓周角頂點在圓周上
[18:47] 所以他這邊也都講的很清楚
[18:49] 然後在圓周角上的狀況
[18:51] 你有看到嗎三種
[18:52] 這裡的話他應該要給三個圖形
[18:55] 這邊應該123
[18:56] 應該各給一個圖形
[18:58] 那像比如說你在檢查
[18:59] 你跟他講說12頁的話
[19:01] 123必須要三個圖形
[19:02] 請他補上去他都會幫你補
[19:05] 像你人工還是要檢查
[19:06] 但是他三種狀況的這個
[19:09] 我覺得是設定的相當好
[19:13] 來在圓周角圓周角來
[19:16] 這個圖也是正確的
[19:17] 就是圓周角的話同弧所對的
[19:20] 圓周角相等
[19:21] 然後圓周角會是圓心角的一半
[19:24] 所以這個圖是正確的
[19:27] 然後下方的話應該是有這個
[19:28] 來你看圖是正確的
[19:32] 所以同圓裡面同一段弧
[19:36] 可以對應到無數個圓周角
[19:38] 所以這邊一樣也給了一個隨堂練習
[19:41] 然後你看一下這個講義的編排
[19:44] 哇然後你看來圖直角
[19:48] 來這邊應用大家看一下
[19:51] 這個是數學裡面我舉的例子
[19:54] 是國中數學裡面有幾何圖形
[19:58] 然後符號又很複雜的單元
[20:00] 做出來的簡報
[20:01] 你可以這樣去理解
[20:04] 就是在國中數學裡面
[20:06] 最難做的簡報就是這幾個單元
[20:08] 我拿最難做的來做他都OK了
[20:11] 你更不要說那些簡單的
[20:13] 這個是難做的喔
[20:15] 各位這是難做的簡報
[20:16] 好所以圓周角圓心角
[20:19] 這邊也是一樣有給一個例題
[20:21] 然後平行弦截等弧
[20:25] 這邊也是一樣喔
[20:26] 所有的證明也都在這邊
[20:28] 大家看一下有沒有看到
[20:30] 寫得多整齊啊
[20:31] 我覺得寫得非常的好
[20:34] 好你看哇這個對角互補
[20:38] 對角互補也是圖也是非常的準
[20:42] 然後一樣也是這邊有給一個證明
[20:45] 來你看字又大又清楚
[20:47] 你有看到嗎這個是PowerPoint的簡報
[20:51] 然後重點整理
[20:53] 你有沒有看到重點整理
[20:54] 然後下面有一個帶走一句話
[20:56] 帶走一句話帶走一句話
[21:00] 圓周角是他所對弧度數的一半
[21:05] 因為這個單元裡面
[21:06] 這個地方算是這個觀念算是考最多啦
[21:10] 考最多的地方
[21:11] 然後自我評量這邊自我評量
[21:15] 對照課本126頁確認理解程度
[21:18] 好簡報播映完畢
[21:21] 來你覺得這邊簡報
[21:23] 你覺得OK的請打888
[21:25] 不要說OK啦棒
[21:27] 我覺得很棒
[21:28] 這個是PowerPoint
[21:31] 所以你可以完完全全的在這個地方
[21:34] 去做修改每一個字每一個圖都是可以改
[21:36] 大家看一下
[21:38] 有沒有看到這個圖
[21:39] 我就可以拿來做去背
[21:41] 去做調整方向
[21:42] 然後每一個字都是可以改的
[21:44] 這字都是可以改的
[21:46] 每一個字都是可以改的
[21:47] 真的很讚真的很讚
[21:51] 好來每一個字都是可以改的
[21:55] 直接做數學圓的簡報
[21:59] 包含了幾何的圖形
[22:01] 包含了很難去打的算數學的式子
[22:05] 你看這些數學式子都是很難打的
[22:07] 其實都是不好打的
[22:08] 像這個角這個角
[22:11] 都要另外用一個符號去打它
[22:13] 這個都是不好打的
[22:15] 所以各位你只要拿到我這個技能
[22:21] 參考李俊儀老師的這個技能
[22:23] 你就可以做出符合我們教學
[22:26] 認知科學的簡報
[22:28] 就這一個大家可以下載來試試看
[22:35] 當然我們人類還是要做最後的檢核
[22:38] 因為畢竟專業的人是你
[22:42] 不是別人
[22:44] 所以像我做完簡報之後
[22:45] 我判斷它夠不夠好
[22:47] 符合我需求
[22:48] 我還是會用我的專業
[22:49] 去做最後的修改跟判斷
[22:51] 但是就教學而言
[22:54] 真的是省了我非常多的時間跟心力
[22:57] 好來接下來我們來看一下
[22:59] 你看喔這是我剛剛做的
[23:02] 它會出現這樣一個問題
[23:03] 先問你選擇題
[23:06] 先問你所以這個的話
[23:08] 應該是要三節課
[23:10] 然後來簡報的風格偏好
[23:14] 你也可以自己給風格
[23:16] 那我就用活潑明亮好了
[23:19] 這樣這樣然後因為它已經讀完了嘛
[23:24] 所以它就會開始去做生成
[23:26] 那我用的已經是最聰明的模型了
[23:28] 原則上應該是不用到最聰明的
[23:30] 也是可以做的不錯了
[23:32] 所以它做起來的話就像這樣
[23:33] 你有沒有看到它會幫你概念定稿
[23:36] 你看到嗎引擎一概念定位稿
[23:40] 你看它會跑引擎一三個詞概念
[23:43] 然後三個常見誤解
[23:45] 三個詞概念三個常見誤解
[23:49] 然後帶走一句話
[23:52] 它就用一句話來去總結
[23:55] 這個單元最重要的內容
[23:57] 然後最小事實包有沒有
[24:00] 就是都是非常的非常的讚
[24:06] 然後再來投影片跟講稿的分配
[24:11] 你看然後再來引擎二脈絡定位稿
[24:19] 所以第一段引起動機約四五分鐘
[24:24] 然後再來第二段維持注意
[24:28] 五到十八頁九十分鐘
[24:31] 然後第三段喚起行動
[24:34] 十九到二十二頁三十分鐘
[24:37] 引擎三頁面角色表
[24:41] 所以你看喔這份教材
[24:44] 涉及大量幾何圖形
[24:45] 我會標記需要的geometric
[24:48] 就是它會標記
[24:49] 它會先標記說我需要哪些圖
[24:52] 然後它會呼叫另外一個skill去做這個圖
[24:58] 然後再來直接進入引擎四到六
[25:01] 開始生成簡報
[25:02] 所以你看喔規劃了九種三角形
[25:07] 全等判斷的幾何圖形
[25:09] 它真的很聰明真的很聰明
[25:12] 但是點數真的是claude
[25:16] 點數真的是不便宜啦
[25:18] 點數在噴也是很快
[25:20] 好你看完成幾何圖形了
[25:25] 開始著手製作反力圖表
[25:28] 我們就邊等待
[25:31] 大家有什麼問題的話可以在那個聊天室講
[25:37] 如果要使用cowork功能的話
[25:38] cowork很傷點數
[25:41] 所以如果說你有大量需求的話
[25:43] 真的可以幫你節省大量時間的話
[25:46] 至少都要買到max版本
[25:50] 那max版本的話有分五倍跟二十倍
[25:53] 現在就是它的付費方案
[25:55] 總共有四個等級
[25:58] 就是免費版本pro版本
[26:00] 然後max版本有兩種
[26:02] 就是max五倍跟max二十倍
[26:04] 那一般正常狀況下
[26:06] max五倍就符合大部分人的重度需求
[26:11] 然後pro的話一般來說
[26:13] 如果你用量多一點的話
[26:15] 應該蠻快就用完
[26:17] 那用完的話就是要等
[26:18] 就等五個小時等四個小時到五個小時
[26:21] 你再接著用就好
[26:23] 比如說做一做他就跟你說
[26:24] 用量已經結束了請你什麼時候再來
[26:27] 你就等五個小時後
[26:28] 然後再按繼續他就會幫你做了
[26:30] 所以實際上如果你用量不大的話
[26:33] 我覺得pro也很夠用了
[26:35] 只是cowork他比較傷那個用量
[26:39] 用量比較多他是比較沒效率的AI
[26:43] 為什麼呢因為cowork他最有彈性嘛
[26:47] 你知道越有彈性就越沒效率
[26:49] 他會他就是有點像是模擬我們人
[26:51] 在操作這個電腦就是用頁面啊
[26:55] 有沒有或是瀏覽器啊
[26:57] 所以在做的時候他就會比較花點數
[27:01] 我現在是我現在幫大家試的話
[27:03] 我是使用max然後5倍版本
[27:06] 所以我現在是用max沒有錯
