[00:00] 他的額度、他的用量幾乎是免費。
[00:03] 他可以一直去幫你生產內容的時候。
[00:07] 這件事是很可怕的,你知道嗎?
[00:11] 所以各位,這個就是OpenCode的go方案的最大價值。
[00:15] 他可以不斷地去生成影片,
[00:18] 不斷地去生成所有你設計、
[00:21] 規劃好的內容。
[00:23] 它可以幫你處理一切的雜物還有工作,
[00:27] 而不消耗掉你昂貴的token費用。
[00:31] 先來講一下我用了一段時間的OpenCode
[00:34] 的 Go 方案的心得。
[00:37] 我覺得目前CP值最低、
[00:40] 用最少錢,你能夠做到最大量工作應該就是
[00:44] OpenCode方案。
[00:46] 我覺得是目前的CP值首選。
[00:49] 當然在開始之前還是有些話先講清楚。
[00:54] OpenCode方案的話,目前只能夠使用陸版模型。
[00:57] 陸版模型的話,目前伺服器都是加在美國。
[01:01] 或是新加坡、歐洲的一些國家。
[01:04] 所以如果你對於陸版模型不是很熟悉,
[01:07] 或是你對於陸版的模型不是很信任的話,
[01:10] 那你就可以選擇另外一個方案就是OpenCode
[01:14] 的Zen方案。
[01:15] Zen方案就可以使用所有頂尖的大型模型。
[01:19] 那就是用多少算多少。
[01:21] 那今天以我使用一段時間去跟大家分享一下
[01:25] OpenCode 的 Go 方案。
[01:26] 我給他一個標題叫做近乎無限的用量。
[01:31] 近乎無限的用量不是最頂級的模型,
[01:34] 但是它仍然是一個agent。
[01:36] 大家要有一個觀念就是agent就是agent。
[01:38] 跟你生成式AI是不一樣的。
[01:40] 它跟生成式AI就是不同的等級。
[01:43] 你只要是agent。
[01:44] 你只要有這個Harness的平台架構好所有我們
[01:50] AI的旁邊所有的工具,它就能夠幫你處理非常多的事情。
[01:55] 跟我們現在在使用的生成式AI是不一樣的。
[01:58] 所以就算它不是頂尖的模型,
[02:02] 它仍然相當好用。
[02:03] 所以你只要在乎的是說它的用量是多少?
[02:06] 不管怎麼樣,它仍然是一個Agent。
[02:08] 所以當它是一個Agent的狀況下,
[02:12] 我如果擁有近乎無限的用量,
