[00:00] AI Agent基本功 第三集
[00:03] 今天要來聊一下就是你的AI Agent本身的基本能力有
[00:08] 哪一些這個是大家開始最不能夠理解的部分
[00:13] 尤其是它跟生成式AI有什麼
[00:16] 所以實際上它跟我們以前使用的生成式AI
[00:18] 是完全是不一樣的東西
[00:20] 是因為生成式AI就是會動嘴巴
[00:24] 不管怎麼樣它都是只告訴你文字的答案
[00:27] 所以它沒辦法幫你動
[00:29] 而AI Agent的話,它可以幫你動,
[00:31] 是有手腳的,它可以幫你做事情。
[00:34] 那它本身能做的事情呢?
[00:36] 按照我的經驗,我幫大家分成四個種類。
[00:40] 分別就是,第一個,讀檔案。
[00:42] 它可以讀你電腦上面的基本上所有的檔案。
[00:46] 所以你只要提供給它檔案,
[00:48] 提供給它內容,它都是讀得到的。
[00:49] 再來,它可以寫程式。
[00:51] 寫程式的話,基本上就是,
[00:52] 這個就是它內建的能力。
[00:54] 它可以寫程式來去做很多很多的事情。
[00:58] 再來它可以上網。
[01:00] 你能夠上網。
[01:01] 它也能夠上網。
[01:02] 所以實際上它也可以上網去抓資料。
[01:04] 可以去上網幫你做一些事情。
[01:06] 再來當然也可以去產出檔案。
[01:09] 產出成品來。
[01:10] 比如說我們最常見的Office三件套分別就是
[01:15] Word、Excel、跟PowerPoint。
[01:17] 除此之外像其他我們常見的檔案。
[01:20] 純文字檔啊、Markdown的格式啊、
[01:24] 影片啊、音訊啊、網頁啊。
[01:27] 你想得到的原則上它都可以去喊出檔案只不過我們常
[01:32] 用的就是文書Office三件套是我們比較常用
[01:35] 的所以實際上它可以在你的電腦上面按照它本身的能
[01:39] 力它可以做到這些事情那它除了這些事以外它還有其
[01:44] 他的能力其
[01:45] 他的能力我們下意再說今天我們最主要就是談當你裝
[01:49] 好AI Agent之後它本身能夠做的有哪一些?
[01:53] 好 所以我們來看一下今天的內
[01:57] 容那今天的內容的話因為上午我已經有幫大家做好簡
[02:00] 報了這個
[02:01] 簡報的部分在這個地方
[02:03] 所以你等一下呢你可以拿到今天課程的所有資料
[02:08] 只要你就是在這個影片直播或者是在這個影片下方
[02:12] 我都會放課程所有的資料
[02:14] 所以是非常佛心的不管你是直播觀看
[02:18] 還是你課後複習使
[02:19] 用你都可以完全拿到所有的資料
[02:22] 完全免費!
[02:24] 不用留言、不用加一,你直接在影片的下方就可以拿到了。
[02:28] 好,所以呢,我們常常在講Agent的手腳,
[02:31] 就是他能夠幫你做事。
[02:33] 所以今天我們來聊一下,
[02:34] 在電腦上能夠做什麼事情?
[02:36] 可以讀寫檔案、執行程式上網下載出成品。
[02:39] 這是今天他能夠做的所有事情。
[02:40] 好,我們先把簡報的部分,
[02:42] 先講了一遍,然後等一下我會示範給大家看這些事情是
[02:46] 怎麼做的。所以前兩集的話,
[02:48] 我們講到的是觀念,包含就是,
[02:50] 我們甚至是AI跟
[02:52] Agent,Agent最大不同有哪一些?
[02:54] 然後有關於四大工具我也做個介紹。
[02:57] 然後第二集我講了使用前的觀念。
[03:00] 所以今天這一集的話我們就來看看你的Agent
[03:03] 本身能夠動手指的是什麼意思呢?
[03:07] 好所以甚至是AI的話你在網頁上他只能夠給你文字而已。
[03:11] 他沒辦法去做其他的事情。
