[00:00] 今天我們來教大家
[00:01] 怎麼樣去在AI時代裡面
[00:04] 去建立你的個人倉庫
[00:06] 有個人倉庫是很重要一件事情
[00:08] 因為你需要把一些
[00:10] 你要發布的程式或是
[00:12] 你需要放的一些文件
[00:14] 有一個網頁的空間可以去放置
[00:17] 而目前最主流的個人倉庫就是GitHub
[00:20] 那我知道在我們教育界
[00:22] 在我的受眾裡面
[00:24] 可能大家對GitHub是比較陌生的
[00:26] 那不管如何你在使用AI工具
[00:28] 你多多少少遲早都會遇到
[00:30] 那我今天就教大家
[00:32] 怎麼樣去註冊GitHub
[00:33] 怎麼樣去在claude桌面板裡面
[00:36] 去連接你的GitHub
[00:37] 所以之後你不用自己再手動上線GitHub
[00:39] 你直接在AI工具裡面跟AI聊天
[00:42] 它就會自動幫你把所有
[00:43] 該做的事情都做好
[00:45] 好那為什麼要使用GitHub呢
[00:47] 這件事情問AI最清楚
[00:48] 請上網搜尋目前大家在使用claude
[00:52] 連接GitHub所有的用途
[00:55] 給我幾個主要的理由
[00:57] 為什麼我們在AI時代需要使用GitHub
[01:00] 所以如果你有什麼問題
[01:01] 你就問它它其實都會幫你解答這些問題
[01:05] 那大原則是AI給你的答案
[01:07] 你還是要保留不要都信
[01:09] 但是通常都極具參考價值
[01:12] 所以我都會請它上網搜尋
[01:14] 那因為claude裡面它已經內建
[01:16] Web Search的工具
[01:17] 所以實際上它也真的會去網路上找一些資料
[01:20] 那找完資料之後再彙整給你
[01:22] 所以這些資料都是網路上找到資料
[01:25] 然後再整理出來的
[01:27] 所以原則上是可信度是蠻高的
[01:29] 好那因為我不是專業工程師
[01:31] 所以我在使用GitHub最常用的方式
[01:33] 就是我把我一些資料放在GitHub
[01:35] 或是我自己在教學的時候
[01:37] 我有些網頁我需要把它放到網路上面去
[01:40] 我就使用GitHub
[01:41] 所以一方面它也是免費
[01:43] 也有給我一定額度的空間
[01:44] 我記得是1G吧
[01:45] 好所以我們來看一下
[01:46] 那個claude找到的資料怎麼說
[01:49] 那我覺得最重要應該是這個版本控制吧
[01:52] 我們之後寫程式的時候
[01:53] 版本控制我覺得是很重要的
[01:55] 打個星號再來可以跨裝置跨團隊
[01:59] 再來Skill對我也會把我的本地端Skill
[02:02] 把它傳到我的GitHub上面去
[02:04] 所以很多時候我也把它當成是
[02:07] 我的一個個人倉庫
[02:08] 所以一句話總結
[02:10] 它不只是程式碼的倉庫
[02:12] 然後它也是人類跟AI協作的
[02:15] 共同工作平台人負責決策
[02:17] AI負責執行而GitHub負責記錄一切
[02:20] 所以用這樣的方式
[02:22] 我們就可以知道為什麼
[02:23] 我們要註冊一個GitHub帳號
[02:25] 為什麼我們在claude裡面
[02:27] 要去設定連接我們的GitHub帳號
[02:30] 好那底下是參考資料
[02:32] 接下來那我就帶大家
[02:34] 怎麼樣去註冊
[02:35] 那註冊我這邊有給一個叫做懶人包
[02:37] 那懶人包在這個地方
[02:39] 懶人包的話之前如果你們有看影片的話
