[00:00] 今天來講簡報。
[00:02] 在AI Agents時代下,
[00:05] 我認為教學簡報的
[00:07] 完全體應該就是HTML簡報。
[00:10] 為什麼我會這樣說呢?
[00:12] 是因為以前我們在做HTML
[00:15] 簡報可能沒有辦法很方便的
[00:19] 去做一些事情。
[00:20] 但是在AI Agents時代,
[00:24] 很多事情都能做了。
[00:25] 所以我們慢慢的可以把那些以前做不到的
[00:29] 事情。發揮你的想像力,
[00:32] 來去把這件事情做到極致。
[00:36] 好,那這件事情呢,
[00:38] 其實我只是一個想法。
[00:40] 我並沒有真的把它做到極致過。
[00:43] 那我以前有發過一個影片是關於簡報有三種。
[00:48] 所以其中一種就是HTML簡報。
[00:51] 可是實際上我並沒有詳細的講HTML簡報。
[00:54] 那HTML簡報是有非常多優點的。
[00:57] 導致我覺得在教學的
[01:01] 場景裡面,反而HTML
[01:03] 簡報會是一個非常好用的格式。
[01:08] 好,在開始之前,
[01:10] 我們就先做一下簡單的搜尋。
[01:13] 那等一下我們在邊做的簡報的同時,
[01:15] 大家可以在聊天室去發問。
[01:19] 有回音是嗎?
[01:20] 我檢查一下,等我一下。
[01:22] 應該是沒有問題的。
[01:23] 我只有一個麥克風應該是沒有回音才對。
[01:27] 所以其他人有回應嗎?
[01:29] 其他人聽到我的聲音是OK的
[01:32] 嗎?好,
[01:36] 那我就繼續了
[01:38] 那為什麼說HTML簡報會是教學簡報的完全體呢?
[01:41] 是因為HTML簡報可以做到最大程度的
[01:45] 客製化也會做到最大程度的
[01:49] 就是你想要做什麼功能上去都可以你在
[01:55] AI AGENTS時代下又可以很快速去修改你的
[01:58] 簡報。不用像我們在做傳統簡報一樣。
[02:01] 你要做修改的時候,傳統簡報需要一些時間的。
[02:04] 尤其是圖片式的簡報。
[02:06] 那我知道大家前一陣子是有流行
[02:09] NotebookLM的簡報。
[02:10] 但我覺得NotebookLM的
[02:11] 簡報還是存在非常多缺點。
[02:14] 因為圖片式簡報你在增加某些功能的時候實際上是有困難。
[02:20] 好,在講之前呢,有幾件事情可以先
[02:24] 跟大家分享。我先跟大家分享一下。
[02:25] 我不確定大家有沒有聽過有人說要用
[02:28] HTML來去取代Markdown
[02:31] 有錯字嗎?
[02:33] 我看一下,現在這樣,實在下教學簡報完全體,
[02:37] 沒有吧?
[02:38] 應該沒有錯字吧?
[02:39] 好,請你上網幫我搜尋一下有工程師提出使用
[02:45] HTML格式來去取代Markdown
[02:48] 格式的這樣一個事件相關的
[02:51] 資料那這個話題其實在前陣子有發酵啦
[02:58] 那我們的發酵的用意是在說可是我們不是說
[03:02] Markdown格式是AI最喜歡的格式嗎?
[03:05] 為什麼要用HTML簡報來取代Markdown呢?
[03:09] 實際上我覺得大家可能去誤解這個意思那誤解意思是說我們在使用這個
[03:15] HTML跟Markdown
[03:18] 我覺得你要看對象是誰如果說今天你是給程式看的話
[03:22] 我覺得應該是要用Markdown。
[03:24] 如果今天是要給人看的話,
[03:28] 要用HTML。
[03:29] 好,為什麼會這樣說呢?
[03:31] 我現在找到這一篇嘛,對不對?
[03:33] 接下來我就是把這個內容做成HTML簡報。
[03:37] 你幫我盤點一下我有一個HTML
[03:40] 簡報的技能。
[03:41] 使用這個HTML簡報的技能。
[03:44] 將上述你查到的內容做成HTML
[03:47] 簡報。將這份簡報掛到我的GitHub上面去。
[03:51] 公開,並備用
[03:52] HTML的內並且給我GitHub的網址。
[03:54] 好,所以你看我現在查到了這篇資料,
[03:57] 來各位,資料在這邊。
[03:59] 那事件起源是這樣啦,Anthopic
[04:01] 的團隊工學師發表了一篇文章,
[04:05] The Unreasonable Effectiveness of
[04:09] TML。公開主張應停止使用
[04:12] Markdown改用HTML,作為AI agent
[04:15] 的輸出格式。
[04:16] 好,那這件事的討論其實是非常多的。
[04:19] 那這邊就會大家有提出各式各式各
[04:22] 式各式各式各式各式各式各式各式各式各式各式各式各式各式
[04:23] 各式各式各式各式各式各式各式各式各式各式各式各式各式各
[04:24] 各式各式各式各式各式各式各我會非常討論說為什麼
[04:24] HTML比較好。
[04:24] 資訊密度更高、視覺更豐富、
[04:26] 分享更方便。
[04:27] 超過100行文件可讀性遠優於Markdown。
[04:31] 再來說明如果是Markdown的話,
[04:35] 這個應該是HTML的。
[04:36] HTML可以插入SVG圖表、
[04:40] 可以插入表格、可以插入錶點的連結、
[04:43] 可以插入BASe64圖片。
[04:45] 可用CSS排版JavaScript做互動元件。
[04:50] 但以HTML檔案即可在瀏覽器開啟。
[04:52] 完整呈現。
[04:53] 長文件在Mark當中難以導覽。
[04:56] 好,各位,你們現在看完這個畫面之後,
[04:59] 你們感覺怎麼樣?
[05:01] 你們現在看完我講解之後,
[05:02] 你感覺怎麼樣?
[05:02] 是不是不好讀?
[05:07] 沒有錯。
[05:09] 所以這邊有一個東西就是超過100行。
[05:13] 超過100行。
[05:13] 好,可是呢,你HTML文件,
[05:16] 我們是有缺點的。
[05:19] 所以就是說HTML它在AI
[05:21] 裡面它實際上會用掉比較多的上下文。
[05:25] 那為什麼還是要用
[05:28] HTML呢?
[05:29] 特別注意這邊有沒有看到超過100
[05:32] 行文件可讀信遠優於Markdown。
[05:36] 好,這麼多優點OK。
[05:39] 來,像這樣。
[05:40] 好,我們現在先讓它自己做。
[05:42] 我看到我的技能 我這台電腦沒有裝這個技能沒關係
[05:47] 我們就來做所以為什麼說HTML
[05:50] 簡報會比較好?
[05:51] 你看我現在馬上做示範給大家看說
[05:54] 我剛剛讀了這篇文字給大家看 大家看一下你們覺得這個可讀性好嗎?
[06:01] 可讀性是不好的所以HTML
[06:04] 是要讓可讀性增加讓誰的
[06:09] 可讀性增加?
[06:11] 讓我們人類的可讀性增加?
[06:13] 好,再比如說我現在開我的Obsidian
[06:16] 筆記給大家看。
[06:17] 那我的Obsidian筆記裡面全部都是用
[06:20] Markdown格式去寫的。
[06:21] 所以我開我幾篇筆記給大家看一下,
[06:24] 讓大家見識一下說Markdown格式是這樣。
[06:27] 所以我來看一下,比如說像這一篇好了。
[06:31] 我有一個Anti-Gravity的
[06:34] 專案工作流程在這邊。
[06:36] 所以大家看一下這是我Anti-Gravity
[06:38] 的專案工作流程。
[06:39] 是Markdown格式。
[06:40] 來大家看一下。
[06:43] 你讀讀看啊。
[06:45] 你讀讀看嘛。
[06:46] 這時候你也講說,哦,老師,
[06:49] 這個不是給我們人類讀的啦,
[06:52] 這是給AI讀的。
[06:53] 你只說對了一半。
[06:56] 沒有錯,這是給AI讀的。
[06:58] 那為什麼不給人類讀呢?
[07:00] 因為人類讀起來是非常吃力的。
[07:02] 大家看到嗎?
[07:04] 人類讀起來是很吃力的。
[07:06] 那接下來你就會問說那為什麼要給人類讀?
[07:08] 有沒有人知道答案?
[07:10] 為什麼要給人類讀?
[07:13] 好我現在將剛剛那一份資料啊
[07:16] 我把它做成HTML簡報把它掛在網路上面那我掛在網路上面呢
[07:21] 為了是給大家方便傳播或是給大家觀
[07:25] 看所以現在我請他幫我掛到GitHub
[07:28] 上面去公開推送所以掛完之後我等一下給大家來
[07:34] 大家有沒有人有這個答案說為什麼要給人類讀?
[07:37] 有沒有人有答案?
[07:39] 或是有人有想法說為什麼?
[07:41] 為什麼會有人提出這個觀點來?
[07:43] HTML除了好讀以外沒有其他的優點啊?
[07:46] 可是為什麼要給人類讀呢?
[07:48] 為什麼?
[07:49] 大家有沒有想過這個問題?
[07:51] 好!
[07:52] 這一位A1011AD1999沒錯!
[07:56] 為什麼給人類讀?
[07:58] 我們在使用AI-Agent
[07:59] 的時候你想像一下我們使用AI-Agent
[08:01] 的場景是什麼場景?
[08:02] 我們是什麼事情都叫Agent做,
[08:05] 對不對?
[08:06] 所以Agent是做了很多的事情,
[08:08] 但是Agent最後是不是會告訴你說我做了
[08:11] 什麼事情?
[08:12] 接下來,你應該要做什麼決策?
[08:15] 那我們人類在使用AI Agent的時候,
[08:18] 我會去讀剛剛我的Agent做了什麼事情,
[08:23] 我來決定我應該做什麼決策。
[08:26] 所以我們人類是需要有專注力跟我們的
[08:32] 上下文也就是我們人類的
[08:34] 記憶體來去判斷AI
[08:37] agent給我們做的內容對不對所以我判斷對不對的話我必須要去讀
[08:42] 它回報給我的內容而我讀它的
[08:45] 內容這件事情會取決於人類用掉多少腦力所以
[08:50] AIAGENT在做事的時候會用掉算力他在讀那些文字內容的時候,
[08:56] 他是讀Markdown,會用掉他的上下文。
[08:59] 所以AI用掉算力,用掉上下文來去做事情。
[09:03] 二呢,我們人類也會用掉我們的注意力,
[09:06] 用掉我們的腦力、腦容量,
[09:09] 來去判斷AI做完之後,
[09:12] 給我們的內容對或不對。
[09:15] 請問你有多少注意力去做這些事情。
[09:20] 所以當你給了很多的agent
