[00:00] OpenCode基本功第四集。
[00:05] 用免費的agent來去組裝你的agent
[00:09] 大軍。
[00:10] 無限解放你昂貴的token。
[00:13] 好,今天這一集要教大家來使用免費的agent。
[00:17] 那目前免費agent的話,
[00:19] 我覺得不外乎兩種。
[00:21] 一種就是本地端的agent。
[00:23] 另外一種就是我們使用其他廠商提供的免費
[00:28] API Key來
[00:29] 使用。來去使用Agin。
[00:31] 那目前為止的話,能夠做到這件事情的就是
[00:34] OpenCode。
[00:35] 那我今天就,就一個面向來去跟大家做分享。
[00:38] 首先第一個,本地端。
[00:39] 本地端的話做得到嗎?
[00:41] 好,本地端的話,讓大家看一下。
[00:43] 我在本地端裝了目前最新的Gemma
[00:47] 4 12B,是本地的模型。
[00:50] 那本地模型的話,它有一些限制。
[00:52] 那我覺得並不是任何人都能夠裝得起或玩得起。
[00:56] 所以我這邊的話,大家看一下。
[00:58] 那現在給大家看的是我
[01:00] OpenCode 最近有改版。
[01:02] 改版的話一樣。
[01:05] 改版後新的版面是會比較好看。
[01:07] 在這裡是繁體中文。
[01:10] 自動接受權限。
[01:12] 下方這邊有一個新的。
[01:16] 所以我們可以透過這個新的介面來去更新。
[01:20] 這樣比較好看一點點。
[01:23] 但是就覺得用起來沒有差很多。
[01:26] 所以這是新的介面。
[01:27] 好,來再來。
[01:28] 本地模型的話可能大家。
[01:30] 它對於本地模型非常的深疏。
[01:31] 本地模型一直是指說跑在你電腦上面的AI。
[01:35] 但是呢,它雖然是要跑在你電腦上面,
[01:38] 它還是有一些限
[01:39] 制。來,這是新的介面,
[01:41] 你可以把它打開。我沒有很習慣了,
[01:42] 但是就大家可以試試看。
[01:44] 我把它切回去原來。
[01:45] 舊的是這樣的。
[01:46] 好,所以今天我來新建一個專案。
[01:49] 在我的資料夾面,新增一個資料夾。
[01:52] 當作是我們專案資料夾2026OpenCode。
[01:55] 今天是0607。
[01:56] 好,我等一下所有做的事情都在這一個專
[01:59] 案面。所以大家有看到嗎?
[02:02] 我現在已經有裝了我的ollama Gemma 4 12B
[02:05] 12B模型。
[02:06] 那這個的話它限制蠻多的啦。
