[00:00] 所以不管換任何的agent,
[00:02] 你都可以接著你的專案繼續工作。
[00:05] 所以當你看到這一集的設定完成之後,
[00:08] 恭喜你!你的Codex已經具備完整的能力
[00:11] 接下來就可以去實作任何你想要做的任何工具還有網站。
[00:15] Codex 基本功第四集,我們現在把資料庫建好之後,
[00:20] 所有的準備工作就緒。
[00:21] 接下來就可以開啟所有新的專案。
[00:25] 打開Codex,新功能會幫你串電子郵件、
[00:29] 聊天跟文件。
[00:29] 讓你的agent工作的話,
[00:31] 原則上這個都是必須要串的功能。
[00:34] 在開始之前,先建立一個新的資料夾。
[00:37] 一般的工作,我會習慣使用Google 雲端硬碟。
[00:41] 建立一個資料夾叫2026 database。
[00:44] 建好之後在左上角的地方選擇這個圖案。
[00:49] 選擇使用現有資料夾。
[00:51] 選好之後接下來到這個影片的下方有兩個懶人包。
[00:55] 我們今天一次把它設定完成。
[00:58] 點進來之後我們今天來做這個4.5
[01:02] 連接Firebase資料庫的懶人包。
[01:05] 還有第七個初始化工具工作模式的懶人包。
[01:10] 我們下載這兩個懶人包到我們的電腦裡面來。
[01:13] 先從4.5的
[01:14] 開始。先開始。點它。
[01:15] 在右邊的地方選這個。
[01:17] Download Raw File。
[01:18] 接下來選第七個。
[01:20] 一樣把它Download下來。
[01:21] 在開始4.5懶人包之前。
[01:24] 你要邊做邊參考另外一個影片。
[01:28] 去我頻道找到這個播放清單。
[01:30] Claude AI 的教學應用。
[01:32] 去看這一集。
[01:34] Claude基本功095去串你的Firebase資料庫。
[01:38] 所以這個懶人包是搭配這個影片使用的。
[01:41] 所以你在安裝的過程裡面,
[01:43] 有遇到任何任何困難
[01:45] 你不懂的就先去看這個影片你要先註冊
[01:48] Firebase看完影片之後將這個懶人包拉到我們的對話
[01:53] 視窗裡面來按按照我給定的資料幫我設定
[01:57] Firebase資料庫提交它就會在Codex裡面幫你去連接你的
[02:02] Firebase資料庫所以當你在製作一些需要後端的網頁
[02:07] 工具互動平台的時候就會幫你連接你的Firebase
[02:11] 安裝完成之後你請它測試一下
[02:14] 幫我測試一下你能夠成功的去操控資料庫,
[02:19] 並且讀取資料庫的資料。
[02:21] 讓他去做一個小型的安全測試。
[02:24] 測試完成是沒有問題的。
[02:26] 把這個過程有踩到的坑,
[02:29] 幫我寫回去我GitHub的Codex懶人包裡面。
[02:33] 裝完了之後,接下來要安裝下一個懶人包。
[02:36] 但回到影片的播放清單,
[02:38] 請大家去看第10集。
[02:41] 第10集的話長度差不多是一個小時。
[02:45] 這是一個直播影片。
[02:47] 那我會建議大家真的要找個時間好好地把它看一遍。
[02:50] 因為我們在使用agent的時候,
[02:52] 你在做這些事情,有一些觀念是你要把它建立起來的。
[02:55] 所以這一集非常重要。
[02:58] 你一定要從頭到尾看一遍。
[03:00] 看完之後我們再去執行我們的懶人包。
[03:02] 所以在我們剛剛下載的第七個初始化工具工作模式
[03:08] 的懶人包。
[03:09] 把它拉進來。
[03:10] 對話視窗。
[03:11] 按照我提供資料來去幫我設定。
[03:15] 接下來他就會按照我影片裡面的方式去幫你設定好我們
[03:19] 在做專案的工作模式。
[03:21] 如果你的工作模式跟我不一樣的話,
[03:23] 你可以在設定的中間或是設定完之後,
[03:27] 跟他講你要怎麼樣去設定你的工作模式。
[03:31] 大原則是這樣,但是你可以微調成你自己習慣的工作模式。
[03:36] 所以大家設定完之後你會發現,
[03:38] 實際上用什麼工具不重要。
[03:40] 因為任何一家的agent,
[03:43] 都可以替代你現在原本的工作流。
[03:45] 你的Obsidian筆記的內容是不會變的。
[03:48] 你的GitHub,你的Firebase資料都是不會動的。
[03:51] 你不管換哪一家的agent,
[03:53] 你都可以去接續你原本的工作。
[03:56] 所以當你做完這件事之後,
[03:58] 你可以做到利用Claude Code跟Codex
[04:02] 去接續同一個專案做事情。
[04:05] 如果今天你額度用完之後,
[04:07] 你可以換另外一家來去繼續工作。
[04:10] 或者是你可以使用Claude Code寫程式,
[04:14] 然後由Codex來去幫忙審程式碼,
[04:17] 給改進的建議也是沒有問題的。
[04:20] 因為我們所有專案的工作模式流都已經建立下來了。
[04:24] 所以我們只要根據雲端硬碟的檔案,
[04:27] 我們只要根據Obsidian裡面的筆記的詳細資料。
[04:31] 再對照我們GitHub的資料、
[04:34] 資料庫的資料。
[04:35] 實際上你不管用任何的agent,
[04:37] 你都可以去接替合作同一份專案。
[04:42] 所以AI時代大家要把這些觀點把建立起來。
[04:45] 之後就是哪一家便宜、
[04:47] 哪一家好用,我們就改用那一家Agent。
[04:50] 工作流本身的邏輯思考模式是不變的。
[04:54] 所以這個懶人包真的很厲害,
[04:56] 他會幫你確認一下我們的技能,
[04:58] 就是開工跟收工的技能。
[05:00] 還有專案初始化的技能。
[05:03] 才把你確認你的GitHub CLI登入、
[05:06] Node可用、Obsidian駕駛艙存在。
[05:08] 也會檢查Firebase的設定檔。
[05:11] 補上這些我們做的專案需要做的資料。
[05:14] 提交部署。
[05:16] 所以之後我們說收工就會做好所有的事情。
[05:19] 將這個懶人包踩到了坑。
[05:22] 更新回GitHub的懶人包。
[05:25] 我每次做完之後就會把做不好的地方再回去更新。
[05:29] 事情全部做完之後呢,我們只要打收工。
[05:32] 所以你會看到每一次收工的時候,
[05:34] 他就會幫你做好這些事情。
[05:37] 自動幫你做好這些事情。
[05:39] 再來,開工跟專案初始化要怎麼做呢?
[05:42] 開工的意思是說,我們在同一個專案裡面,
[05:45] 我們已經有做過事情了。
[05:47] 那我開一個新的對話的時候,
[05:49] 我講開工,他就會延續這個專案要做的事情。
[05:52] 但是是會開一個新的Session。
[05:54] 新的對話,但是做同一個專案。
[05:56] 他會知道我們之前做過什麼事情。
[05:59] 那專案初始化的話,就是你做一個新專案的時候,
[06:03] 你就先打專案初始化。
[06:05] 他就會幫你把所有該建立的東西全部建立好。
[06:08] 比如說我新建一個資料夾,
[06:10] 叫2026 Public Game。
[06:12] 然後我在Codex的地方,
[06:15] 再新增一個新的專案,使用現有的資料夾。
[06:18] 選擇這個資料夾之後,會是一個全新的Session。
[06:22] 你只要打專案初始化。
[06:24] 接下來他就會在這個目錄裡面將我們所有的檔案都把它建好。
[06:29] GHub repo的話要等到我們真的做事情的時候才
[06:32] 會幫我們建立。
[06:33] 第一次建立的話,他的位置沒有對,
[06:35] 所以我請他更新一下。
[06:37] 我們專案駕駛艙的話應該是要在Obsidian
[06:40] 裡面去建立這個筆記本。
[06:42] 所以在我的Obsidian筆記本裡面就會建立一個筆記,
[06:46] 會去記錄
[06:47] 我的在這個專案工作的比較細節的部分。
[06:50] 藍圖跟基本設定檔的話都會放在agents.md
[06:54] 這個檔案。
[06:55] 接下來你只要在你的專案裡面新的專案你就
[06:59] 打專案初始化。
[07:00] 它會自動幫你把所有的東西都建好。
[07:03] 在同一個專案裡面,如果你開新的對話。
[07:06] 新的Session,你只要打開工,
[07:09] 它會自動去讀取所有該讀取的內容,
[07:12] 會接著往下工作。
[07:14] 在每一次對話完之後,你打收工,
[07:17] 它就會幫你把所有該記錄的、
[07:19] 該Commit的、該部署的,
[07:22] 全部都會幫你一次搞定。
[07:23] 所以在我們工作上就會變得非常輕鬆。
[07:26] 截至到這一集為止,你已經把你所有Codex
[07:31] 的設定都已經設定好了。
[07:32] 不管用Claude Code還是Codex,
[07:36] 你都可以在同一個專案的資料夾裡面去合作工作或者
[07:42] 是接續工作。
[07:43] 因為他們用的是同一個資料夾,
[07:45] 他們用的是同一份筆記本,
[07:48] 他們用的是同一個GitHub跟資料庫。
[08:06] 那如果你想要知道更多關於Codex在教學上應用的話,
[08:10] 訂閱、按讚還有分享哦!
[08:11] 我們下集再見!
[08:12] 拜拜!
