[00:03] 好，我們來到這個系列的最後一集，
[00:05] 在開始之前讓我用30秒幫你快速整理一下
[00:09] 前三集到底說了什麼
[00:10] 第一集，我們還原了整起事故的過程，
[00:14] 一個AI在沒有人要求它做任何事的情況下
[00:17] 自行判斷
[00:18] 自行執行，
[00:19] 花了9秒鐘刪掉了一間公司所有的資料
[00:22] 第二集，我們往更深的地方看，
[00:25] 這不只是一個意外
[00:27] 這是整個AI Agent時代的結構性危機，
[00:30] 能力越強的AI，有時只是越敢做錯事
[00:34] 第三集，我們把責任攤開來談，Cursor、
[00:37] Railway，還有給了AI過大權限的開發者
[00:40] 沒有人是唯一的壞人，但每個人都有責任
[00:43] 我們也談到了把安全規則寫在Prompt裡面，
[00:47] 就像是把門鎖畫在紙上，AI看過，
[00:50] 但可以不遵守
[00:51] 那這一集我要問一個不同的問題，
[00:55] 不是AI為什麼出事，不是出事了誰負責
[00:59] 而是明明已經出事了，
[01:01] 為什麼人類還是繼續把更多東西交給AI
[01:05] 而且比刪資料庫更可怕的事，
[01:07] 現在已經在路上了
[01:09] 要回答這個問題，
[01:10] 我得先問你一件有點殘忍的事
[01:13] 知道了不代表會改變，
[01:15] 你知道抽菸對健康不好嗎
[01:17] 當然知道，你知道熬夜傷身嗎？知道，
[01:21] 你知道分散投資比All-in安全嗎
[01:25] 當然也知道，那你都做到了嗎？
[01:27] 就是今天我想討論的核心問題
[01:30] 前三集我們講了很多，AI會出事、
[01:33] AI的風險是結構性的
[01:35] 安全規則必須是硬邊界，
[01:37] 不能只是Prompt裡的文字
[01:39] 但如果人類已經知道這些，
[01:41] 為什麼我們還是繼續把越來越多的事情交給
[01:44] AI
[01:45] 為什麼這個系列的四集講完了，
[01:48] 明天早上你可能還是會繼續用AI
[01:50] 繼續給它更多權限，
[01:52] 繼續在心裡覺得應該不會輪到我
[01:55] 這不是因為你笨，也不是因為你不在乎
[01:58] 這是因為有三個非常深層的人類結構
[02:01] 讓我們幾乎不可能從知道風險直接跳到改變
[02:05] 行為
[02:06] 第一個，正常化偏誤，
[02:07] 又叫「這種事不會發生在我身上」
[02:10] 這是一個有名字的心理現象，
[02:12] 英文叫做Normalcy bias
[02:14] 它的意思是，
[02:15] 當一個威脅還沒有真實發生在你身上
[02:18] 你的大腦會自動低估它的機率，
[02:21] 把它歸類為別人的故事
[02:23] 你知道PocketOS嗎？當然知道，
[02:25] 你剛看了四集關於它的影片
[02:28] 但我問你，你現在的公司或個人工作流程裡
[02:31] 有沒有一個AI有能力做類似的事？有，對吧
[02:35] 但你覺得應該不會出事，為什麼？
[02:38] 因為之前都沒事
[02:40] 這就是正常化偏誤
[02:42] 它讓我們把「還沒發生過」解讀為
[02:44] 「不太可能發生」
[02:45] 然後我們繼續前進，繼續擴大AI的使用範圍
[02:49] 繼續給它更多的權限
[02:51] 地震學家有一個說法，
[02:53] 在大地震之前幾十年的平靜
[02:55] 不代表地震不會來，那代表壓力正在累積
[02:59] AI的風險也有類似的性質
[03:02] 沒出事的時間越長，往往不是因為越安全
[03:05] 而是因為使用範圍越大，累積的隱患越多
[03:09] 「之前都沒事」，是最危險的信任基礎
[03:13] 第二個，集體滑向，
[03:15] 沒有人做了一個明確的壞決定
[03:18] 這個現象有一個有點拗口的名字，
[03:21] 叫做目標替代
[03:23] 它是這樣發生的，
[03:24] 一個組織為了達成某個目標
[03:26] 建立了一套流程
[03:28] 然後慢慢地，維持那套流程
[03:30] 變成了比原來的目標更優先的事
[03:33] 在AI使用的脈絡裡，它長這樣
[03:36] 公司說，我們導入AI是為了提高效率
[03:40] 同時確保安全
[03:41] 然後第一個月效率提升了30%，安全沒出問題
[03:45] 大家很高興
[03:46] 第二個月，
[03:47] 有人說這個安全確認步驟有點麻煩
[03:50] 能不能簡化一下，效率又提升了
[03:54] 安全還是沒出問題
[03:55] 第三個月，有人說這個人工審核的環節
[03:59] 是不是可以交給AI自動判斷就好
[04:01] 又更有效率了，還是沒問題，你注意到了嗎
[04:04] 沒有人在某一個特定的時刻說，
[04:07] 我決定不要安全了
[04:08] 每一個小小的決定，在當下都是合理的
[04:11] 都有充分的理由
[04:13] 但三個月後，
[04:14] 整個安全框架在一個沒有人注意到的過程中
[04:17] 已經被效率慢慢替代掉了
[04:19] 這就是為什麼AI安全事故往往不是因為
[04:22] 某個人做了一個明顯的壞決定
[04:24] 而是因為一百個人各做了一個看起來合理的
[04:28] 小決定
[04:29] 累積起來形成了一個沒有人設計
[04:32] 也沒有人要的結果
[04:33] 第三個，速度不對稱，
[04:35] 技術走得比反思快太多
[04:38] 最後這一個不是個人心理的問題
[04:41] 是整個時代的結構問題
[04:42] 你知道從PocketOS事故發生
[04:45] 2026年4月24日，
[04:47] 到你現在坐在這裡看這個影片
[04:50] 過了多少時間嗎
[04:51] 大概幾週，最多幾個月
[04:54] 在這段時間裡
[04:56] Anthropic、OpenAI、Google、Meta
[04:59] 全部都發布了新版本的AI模型
[05:02] 新版本的Agent工具、新的使用情境
[05:05] 新的開放API
[05:07] 我不是在說這些公司做錯了什麼
[05:10] 我是在說速度本身就是一個問題
[05:12] 社會、法律、監管、使用者教育、安全規範
[05:17] 這些東西的演化速度，比AI能力的提升
[05:21] 慢了不止一個數量級
[05:23] 技術的油門踩到底
[05:24] 但安全帶的設計還在討論規格
[05:27] 這不是某個人的失誤
[05:29] 這是一個時代的結構性失速
[05:31] 而且在失速的狀態下
[05:34] 每一個新工具推出來都在競爭
[05:37] 誰的功能最多，誰的限制最少
[05:40] 誰的使用門檻最低
[05:41] 因為這樣比較容易被採用
