[00:00] Codex基本功第五集。
[00:02] 目前的話好像很久沒有更新了。
[00:06] 所以想到就來更新一下。
[00:08] 那Codex的話一直都是我很喜歡用的AI Age
[00:12] nt。那我蠻常使用的只是我沒有更新。
[00:14] 那今天就來簡單的分享一下我覺得它很好用的五個功
[00:19] 能。好打開我的Codex。
[00:21] 那我不曉得大家有使用Codex。
[00:23] 你有使用Codex來聊天室。
[00:24] 好所以我的Codex最近送很多額度啊。
[00:28] 都有送這個。
[00:29] 你有可用的新速率限制重設額度。
[00:33] 有點Delay。
[00:33] 好,最近蠻常送額度的喔。
[00:36] 所以送到我都用不完。
[00:38] 不知道為什麼最近都很常送喔。
[00:40] 看一下我現在剩多少呢?
[00:42] 好,還可以重設三次。
[00:44] 大家看到嗎?
[00:44] 最近送蠻多額度的啦,所以我覺得買Codex
[00:48] 算是蠻划算的。
[00:50] 好,今天我來講它超好用5的功能。
[00:52] 第一個就是它連接外部程式是很簡單的。
[00:55] 所以呢,你只要在左上角的地方,
[00:57] 這邊有沒有看到一個外掛程
[00:59] 式?你點它。
[01:00] 所以你在連接外掛程式是很簡單的,
[01:02] 它應該是最簡單的。
[01:03] 所以你就往下看這些外掛程式如果你已經連接的話它
[01:07] 就會出現這個Try InCat。
[01:09] 就是代表你已經連好那這些基本的都會點那我就隨便
[01:12] 找一個單可能比較少的比如說Vercel。
[01:14] 好那你要在連接這個應用程式前啊你要先確保說你有
[01:19] 註冊登錄。
[01:20] 好比如說Vercel我沒有註冊沒有登錄。
[01:22] 所以我就先註冊跟登錄。
[01:24] 好那照理說應該是搜尋Vercel的第一個網站應該就是
[01:29] 了。然後你要先註冊。
[01:31] 所以我就先註冊Vercel。
[01:33] 用我的Google帳號註冊。
[01:34] 註冊完成。
[01:36] 然後繼續。
[01:36] 這時候你先註冊好。
[01:38] 登錄完之後。
[01:39] 再回到你的Codex。
[01:41] 這裡的話。I'm a person.
[01:42] 好。所以這裡的話我是個人使用啦。
[01:46] 暫時先這樣嘛。
[01:47] 我也沒用過。
[01:48] 好。那完成之後啊。
[01:50] 接下來就是來去連接你的外部程式。
[01:53] 所以回到Codex裡面來。
[01:55] 接下來你就去選這個Vercel安裝。
[01:58] 點它。好。
[01:59] 所以他就會問說要跟他連線嗎?
[02:02] 這時候如果你已經登錄過的話,
[02:04] 他就會出現畫面。
[02:06] Conver好,
[02:15] 所以就這樣連好了,大家看到嗎?
[02:17] 他連接這麼簡單,那如果他沒有這麼簡單的話,
[02:20] 實際上我們在連的時候會有點麻煩。
[02:23] 那不管怎麼樣,你要連接外部程式都是有點麻
[02:25] 煩的。但我覺得在Codex裡面應該最簡單連接外部程式
[02:29] 是因為它都幫你寫好這些通道
[02:31] 了所以你只要去註冊帳號然後登錄的話我們就可以快
[02:35] 速的去連接這些外
[02:36] 部好所以我們簡單的來看一下那到底這個能不能使用
[02:40] 呢?幫我寫一個測試網站
[02:44] 然後掛到Vercel上面去回傳網址給我測試一下是不是
[02:47] 真的可以透過Codex連接V
[02:50] ercel好就來看嘛那Vercel的話它有點像是
[02:52] Netlify一樣
[02:54] 就是可以把你寫好的網頁掛到上面去,
[02:57] 然後得到網址。
[02:58] 擅長的部分跟Netlify太一樣了,
[03:01] 但原則上我們一般正常使用應該是沒有問題。
[03:04] 所以先試試看說真的可以由Codex面具連接
[03:09] Vercel嗎?
[03:09] 我不知道我今天也是第一次哦。
[03:11] 好,所以我覺得第一個好用的功能是,
[03:15] 它應該是說Agent裡面連外部應用程式應該是最簡單的。
[03:19] 那像Claude Code的話也有類似的
[03:21] 功能。可是像AntiGravity或者是像OpenCode
[03:24] 的話再連就沒那麼容易。
[03:26] 所以我覺得我自己使用Codex到現在我覺得連外部程式。
[03:30] 這是它的第一個我覺得好用的功能是連外部
[03:33] 程式。當然你看到它還可以連你的Gmail啊連你的行事
[03:36] 例啊連很多你只要看到上面有列的都是可以連的。
[03:39] 所以你要確保說你有帳號然後你有登錄了大概都沒有
[03:43] 什麼問題。
[03:43] 有點太慢了跟大家講可以加速。
