[00:00] 來各位我們來看一下他整理好的好不好。
[00:03] 來各位你看我的下載資料夾各位。
[00:05] 我的下載資料夾就變這樣子了。
[00:07] 只剩五個了。
[00:08] 好嗎?
[00:09] 你覺得很厲害的打999好不好?
[00:13] 所以這邊幫我有個待刪除
[00:16] 好,Antigravity基本功第二集,
[00:20] 極速處理教學檔案。
[00:23] 那今天就是來測試一下Antigravity處理教學檔案的
[00:28] 速度如何,可以做到什麼程度。
[00:31] 好,現在我把我的Antigravity開出來。
[00:36] 設定可能需要設定一下。
[00:39] 在這個地方,我看一下Permission的地方。
[00:43] 有小二哥跟我講說這個地方要調整。
[00:46] 好再來File Permission Open,
[00:50] Read Allow,Allow什麼?
[00:53] Allow,OK好,
[00:56] 這個我看一下喔,
[00:59] 我先新增一個專案好了,
[01:02] 新增一個專案,New Project,
[01:03] 今天的。
[01:04] 我們就來處理一下教學檔案。
[01:07] 那因為會用到很多檔案,
[01:10] 我們就在本地端新增一個資料夾。
[01:14] 今天是0530,
[01:17] 0530Antigravity。
[01:19] 等一下要提這個資料夾來當作是我們的專案目錄。
[01:24] 按Create。
[01:25] 好,所以在這個地方的話,
[01:27] 我們把這個資料夾的權限設定一下。
[01:30] 所以Aging Settings,這邊動。
[01:33] 這裡有Always Proceed。
[01:35] 好,這邊我不曉得這個要怎麼改叻。
[01:39] 沒辦法儲存啊。
[01:42] 再來還有我們的Terminal Command。
[01:46] NPM。
[01:48] 好,我來問他好了,問他好了。
[01:50] 有什麼不懂就問AI嘛。
[01:53] 所以問他。
[01:54] 在這個地方,他是多模態的,
[01:57] 所以你可以截圖問他。
[01:59] 選回Gemini3.5。
[02:00] 我要如何在Antigravity裡面去做到自動
[02:06] 化。我現在截圖給你的內容,
[02:08] 我要怎麼設定才可以讓自動化最佳的最大的自動化。
[02:13] 我們就請他去解釋啦好不好。
[02:16] 那因為每一次這個地方都還是要按確認確認。
[02:20] 所以試一下。
[02:23] 好,哇真的是非常快。
[02:25] 所以設定為Always Proceed,
[02:28] 沒錯。
[02:29] 檔案存取規則。
[02:31] 當前的專案工作目錄加進來。
[02:36] 這個可以。
[02:37] 必須要把當前的專案目錄加進來。
[02:40] 我們就OK照他的。
[02:42] 在我們專案目錄裡面的這一個。
[02:46] File Access Rule,Open。
[02:48] 檔案的讀就直接給他。
[02:51] 檔案的寫就直接給他。
[02:54] 專案目錄。
[02:55] 好!
[02:55] 這個設定完成。
[02:58] 所以看一下這邊有Get。
[03:01] 再來,下一個的話網路存取的話點擊
[03:06] Open。
[03:07] 所以經常做的事情。
[03:09] 我們就把這幾個加進來NPMJS
[03:13] 換用資源。
[03:15] 專案最多啦。
[03:16] 所以我們就一個一個加。
[03:18] 這個專案目錄應該是選這個。
[03:22] 這些都允許。
[03:23] 再來下一個終端機命令。
[03:26] 這個應該是這個啦。
[03:29] AutoProof設定。
[03:31] 所以終端機命令在這裡。
[03:32] 加一下這些。
[03:34] 好再來什麼呢?
[03:36] Sahe MCP使用Go指令。
[03:40] Go指令你給它Go指令的話它會一直做到完成為止。
[03:44] 所以這邊還有schedule指令。
[03:47] 好,schedule指令的話定期任務定時啟動。
[03:50] 好,Go指令就是直接做到完成。
[03:54] 但是通常你的額度會不允許你這麼做。
[03:57] 因為,透過指定的話,如果你的專案是非常龐大的話,
[04:00] 原則上他就一直都會做到你的額度使用完了。
[04:04] 好,所以現在這兩個暫時先不要。
[04:06] 好,那今天我們來測試一下它急速處理教學檔案的功能。
[04:11] 所以我們先來看一下,你有網頁瀏覽器的功能嗎?
[04:16] 你可以上網去找檔案來下載嗎?
[04:18] 請你上網找最近五年國中教育會考數學
[04:24] 歷屆試題。
[04:25] 請將歷屆試題的題本檔案下載到這個專案目錄裡面
[04:31] 來。好,所以我們來看一下它是可以下載檔案的嗎?
[04:37] 所以一般來說我們都會做這個嘗試,
[04:40] 所以接下來它就search web,
[04:42] 所以它確實是可以到網路上去找資料的。
[04:46] 接下來我們就要試試看
[04:47] 他沒有任何辦法在我們的網路上面找到資料之後自動
[04:52] 下載。
[04:52] 好,所以Allow reading this URL。
[04:56] 好,允許。
[04:57] 所以等一下檔案如果可以,
[04:59] 他應該會下載到這邊來。
[05:00] 好,你看一下,好,真的找到啊,
[05:02] 我們看一下速度有多快呢?
[05:04] 所以他是可以處理教學檔案的嗎?
[05:07] 那我們就來試試看,可以處理教學檔案嗎?
[05:12] 好,所以抓題本啊,
[05:15] 可以吧?大原則就是我等一下會嘗試一下我們各種處理
[05:21] 教學檔案的各種狀況。
[05:23] 包含我們能不能下載,能不能上網找資料下載。
[05:27] 這個東西都是很重要的。
[05:30] 如果這些都可以處理的話,
[05:32] 原來我們就可以把我們日常的一些任務自動化。
[05:36] 所以我們要先來測試一下這個Antigravity有沒有處理檔
[05:40] 案的功能。
[05:42] 那再來也會測試一下我們在別的Agent的Skill,
[05:47] 能不能在Antigravity來使用
[05:49] 呢?所以等一下我們會測試它的技能能不能使用。
[05:52] 好,看一下這裡,都要按確認。
[05:56] 在這邊有亂碼的部分,可能也要問他一下,
[05:59] 為什麼這邊會顯示亂碼?
[06:02] 那有沒有人知道的呢?
[06:05] 這邊中文都顯示亂碼,他是多的,
[06:07] 但在這邊顯示都是亂碼,
[06:09] 有很多東西我也不懂。
[06:12] 所以我也在嘗試。
[06:13] 開始在下載囉。
[06:15] 大家看一下這個行嗎?
