[00:00] OpenCode的Zen方案裡面最好的是這個。
[00:01] 最佳方案是這個。
[00:04] 5.4 mini又聰明又便宜。
[00:08] 真的又聰明又便宜。
[00:09] 所以一般來說如果你使用OpenCode的ZEN方案的話,
[00:12] 如果你今天聽了我的介紹,
[00:14] 你去試用的話,你的主力就是使用GPT-5.4
[00:18] mini來去做一般的事情。
[00:20] OpenCode基本功EP02今天來聊一下我最近使用
[00:25] OpenCode的功能好 那目前有四大
[00:31] 家Agents是我個人覺得比較好用的
[00:37] 分別就是這四家啦就是Claude Code、
[00:40] OpenCode、Codex還有AntiGravity這四家所以今天
[00:46] 就來講OpenCode
[00:47] 好 所以這個是Claude Code那今天不講
[00:51] Claude Code因為Claude Code我已經錄過很多集了
[00:55] 那如果有一
[00:56] 開始有使用Agent的人,
[00:58] 你們應該會從Claude Code開始
[01:00] 那如果你以前沒用過Claude Code的話
[01:02] 我個人建議就可以不用再去訂閱它了,
[01:06] 因為它有點貴最近用量有增加啦,
[01:09] 但是我覺得CP值太低但是
[01:12] Claude Code雖然貴歸貴
[01:15] 啦但是品質蠻不錯的。
[01:18] 如果說你有錢的話也不妨可以試用看看。
[01:23] 另外就是Codex。
[01:25] Codex的話應該說是目前我覺得最強的。
[01:31] 所以你看一下我請他幫我做這個會考的
[01:35] PPT。做出來的PPT是很讚的。
[01:38] 所以目前我個人覺得以目前的
[01:43] Agents來說啊,應該說是首選。
[01:47] 但它不是沒有缺點啦。
[01:50] 第一個它用量蠻多的。
[01:52] 在每個月690塊,一般大家的訂閱都是
[01:56] 20美。
[01:57] 都是690。
[01:58] 它包含的生圖。
[02:00] GPT5.5也非常聰明。
[02:03] Codex也非常聰明。
[02:05] 所以在這裡的話,你看這是我請Codex幫我生成的簡報。
[02:08] 大家有看到嗎?
[02:09] 這簡報只是可以改的。
[02:11] 所以它有字,像這個,後面有一張圖。
[02:14] 有字,這個字是可以改的,
[02:16] 可以改的。
[02:18] 所以也是一樣,有字,可以改的。
[02:21] 這是Codex做的簡報,有圖,
[02:23] 有字,這都是可以改的。
[02:25] 所以Codex算是相當不錯,
[02:28] 這是很好用的。
[02:30] 自動畫很強,但是今天也不講Codex。
[02:33] Codex會在Codex基本功另外講。
[02:36] 今天就是介紹一下四大家。
[02:38] 所以Codex是目前,如果說你要花20美元,
[02:41] 一個20美元訂閱的話,我個人推薦
[02:44] 第一優先就是Codex。
[02:46] 好那Codex的缺點是什麼?
[02:47] 它是有缺點的,各位。
[02:49] 它的缺點是動作太慢,它動作真的太慢了。
[02:53] 所以它速度很慢,所以這是我目前我覺得它最大的缺點
[02:57] 是,我沒辦法忍受它速度這麼慢。
[02:59] 尤其是在我急著要東西的時候。
[03:02] 那它有一個選項呢,在這裡,
[03:04] 選項,這個加速的選項。
[03:06] 但是加速選項我有開過,
[03:08] 開了之後這個額度用噴的,
[03:10] 真的是用噴的,一下就噴完了。
[03:12] 比Claude Code還要快
[03:14] 然後他就噴完了。
[03:15] 所以速度慢這是他最大的缺點啦。
[03:18] 所以我也花不了錢去開這個快速。
[03:20] 所以如果說你為了快,開這個快速是兩倍額度在燒。
[03:25] 我個人覺得不建議啦。
[03:27] 可是他標準速度的話我真的是太慢。
[03:29] 那如果你是一個你請他工作完之後就去喝咖啡,
[03:34] 去忙別的事情了,我覺得OK,
[03:37] 20美元訂閱首選就是Codex,
[03:39] 我覺得沒有問題。
[03:40] 來再來最近很夯的這個Anti-Gravity。
[03:45] 我覺得大家對於Antigravity的話,
[03:47] 你應該要重新去看待這個工具。
[03:49] 那Antigravity的話,我目前用到這樣,
[03:52] 我覺得蠻好用的。
[03:53] 那它,因為它是剛出來的agent,
[03:56] 所以我覺得各方面都沒有很成熟,
[03:59] 沒有很穩定。
[03:59] 所以目前為止來講,
[04:02] 我覺得還有進步的空間啊,
[04:05] 開不出來。我的Antigravity開不起來。
[04:08] 開不出來,
[04:11] 怎麼回事。
[04:12] 好,那它現在還不穩。
[04:14] 不穩定時相較於其他家,
[04:15] 我覺得沒有那麼穩定。
[04:17] 所以很多東西你覺得還蠻生疏的。
[04:19] 所以我個人覺得AntiGravity
[04:24] 需要再一點時間。
[04:26] 那如果說你有訂閱Google的話,
[04:28] 仍然是很好用的。
[04:30] 它目前最大的優點是官方在昨天有宣布給
[04:34] 3倍的用量,所以現在大家在使用AntiGravity
[04:37] 不會那麼快就燒完。
[04:39] 所以目前的量是夠用的。
[04:42] 因為你有訂閱Google帳號我覺得用起來還是蠻好用的。
[04:45] 它最大的優點是它非常的快。
[04:48] 非常的快。
[04:50] 好,除了快以外,沒有其他優點。
[04:54] 它很快,它真的很快。
[04:55] 因為我四家都有用,所以速度我是很有感的。
[04:59] 我覺得AntiGravity真的很快。
[05:01] 它速度真的很快。
[05:01] 啪啪啪啪啪就做完了這樣。
[05:03] 但是除了快以外,好像也沒有其他優點。
[05:07] 所以如果說你急著想要做工作的話,
[05:09] AntiGravity是可以
[05:11] 很快。很快速地去完成你的工作。
[05:15] 笨的話,我覺得還好啦,
[05:16] 你不要叫他做太難的事情啦。
[05:18] 太難的事情就是叫他做大型的專案,
[05:21] 他不見得有GPT5.5或是Claude Code那麼好。
[05:25] 那當然他手速是很快的。
[05:27] 所以應該說你想要做一些沒有那麼大型專案的狀況下,
[05:32] 比如說整理檔案或是製作一些教學網站或是製作一些
[05:35] 你教學的資料的時候,我覺得我就是可以考慮使用
[05:39] Antigravity。
[05:40] 就是不難的工作,他是做得蠻快的。
[05:43] 品質是,因為是不難的工作,
[05:45] 所以各家AI做起來都不會太差嘛,
[05:47] 那當然找快的來做啊。
[05:48] 所以目前最大的優點是他很快。
[05:52] 我覺得Antigravity再給他一些時間,
[05:54] 讓這個Google大廠去慢慢的把它更新,
[05:58] 也不能慢慢的快點把它更新,
[06:01] 成理想中的樣子。
[06:02] 那我覺得因為他可能要趕2026 I/O大會的關係,
[06:05] 所以有點倉促推出來。
[06:07] 所以用起來我的感覺是沒有到非常成熟。
[06:11] 所以可以用。
[06:11] 如果你有訂閱Google帳號,
[06:13] 你有想要處理一些日常事務的話,
[06:16] 我覺得是非常快速的。
[06:17] 那今天的主角是OpenCode。
[06:20] 所以Codex關掉。
[06:22] 另外介紹的就是OpenCode。
[06:24] 那OpenCode是第三方開源的一個agent。
[06:29] 那為什麼會介紹OpenCode?
[06:31] 是因為如果你想要便宜、
[06:33] 免費的話,你就是走OpenCode
[06:35] 所以如果說老師們或是你現在在正開觀看直播的
[06:40] 各位觀眾們,如果你想要找那種便宜免費的話,
[06:45] 那就是要找OpenCode。
[06:47] 那如果你有付費官方訂閱付費的話,
[06:50] 第一優先Codex,第二優先是Google。
[06:53] 因為Google它除了Anti-Gravity以外,
[06:56] 那還有其他家可以用。
[06:58] 它還有其他的功能可以用。
[07:00] 我覺得買一套,但是有它全家三個可以用。
[07:02] 我覺得也是相當划
[07:03] 算的。除此之外,第三個選擇。
[07:06] 我個人覺得OpenCode是不錯的選擇。
[07:10] 所以今天就由我來試用給大家看OpenCode。
[07:15] OpenCode的使用方式跟一般的agents的使用方式是沒有
[07:18] 任何差別的。
[07:19] 最大的優勢是可以接任何的供應商。
[07:24] 你可以接你自己的Google的帳號。
[07:28] 你可以接你的OpenAI帳號。
[07:30] 你可以接任何第三方的帳號,
[07:33] 包含本地段的AI。
[07:35] 之後OpenCode的極速發展。
[07:38] 以OpenCode。以OpenCode基本功,
[07:40] 我就是往便宜免費的方向去做教學。
[07:44] 如果說今天你想要用便宜免費的AI,
[07:47] 那原則上我們就是以OpenCode為主。
[07:49] 可是便宜免費仍然會有些限制是它可能沒有具備多模態
[07:54] 它可能免費的額度可能一下子收就收,
[07:58] 是不穩定的。
[07:59] 便宜可能它的效能沒有第一線大廠那麼強。
[08:05] 如果說你並不是一個專業的工程師,
[08:08] 你平常日常有在處理一些雜務,
[08:12] 你需要AGENTS來幫你處理雜務,
[08:14] 但是你又不想要花20美元以上的訂閱費用的話,
[08:18] 也許OpenCode
[08:19] 會是你的首選。
[08:21] 再來OpenCode的速度也蠻快的。
[08:24] 所以看它的模型是什麼模型。
[08:26] 所以OpenCode我覺得是一個大家在主流
[08:30] AI以外的另外一個選擇。
[08:32] 那我個人用到現在我覺得有優點有缺點。
[08:35] 那我今天就來跟大家說說OpenCode。
[08:39] 那今天這一集就是專門講OpenCode
[08:41] OpenCode的話,它一樣也會有所謂的
[08:45] Computer Use 跟Browser,
[08:49] 就是我們的瀏覽器跟我們的電腦操控。
[08:53] 所以你得要去裝。
[08:55] 所以我這邊幫大家準備了我們的懶人包,
[08:59] OpenCode懶人包。
[09:00] 所以懶人包我會放在這支影片的影片說明欄。
[09:03] 大家可以在這個影片說明欄去找到
[09:07] OpenCode的懶人包。
[09:09] 我幫大家建置好懶人包,
[09:11] 在這個地方我也將懶人包放到通話訊息來讓大家
[09:17] 去領取。
[09:19] 稍等我一下,OpenCode懶人包,
[09:21] 看一下。
[09:23] 懶人包的話,這個概念我很早就提出來了。
[09:27] 那陸續續有人學習我這個概念懶人包的概念是我這個
[09:31] 懶人包是給AI看的不是給人看的
[09:33] 所以我們現在開始在做AI看的懶人包
[09:37] OK 好OpenCode懶人包在這兒沒有像我這麼佛心的啦來
[09:44] 在這兒OpenCode懶人包的GitHub在這裡
[09:49] OK好所有的懶人包設定全部在這邊
[09:52] 包含環境建置連接NotebookLM、
[09:55] GitHub、Obsidian、第二大腦的設定、
[09:59] 連接Firebase。
[10:00] 最重要的是安裝瀏覽器控制。
[10:04] 我們可以去裝Computer Use跟Browser,
[10:08] 就是它的電腦操控跟我們的瀏覽器控制。
[10:12] 所以你要去裝這個懶人包,
[10:14] 你的OpenCode就有可以控制瀏覽器也可以控制你的電腦
[10:18] 所以你必須要去裝這個Computer Use
[10:21] 的懶人包在這個地方。
[10:24] 那我將懶人報網址丟到我們的直播的訊息。
[10:28] 明天晚上還是有直播啊。
[10:30] 好,我來回答一下凱西的問題。
[10:33] 為什麼我會開直播呢?
[10:35] 是因為我懶得錄影片啊。
[10:39] 我懶得錄影片,所以明天直播還是會開直播,
[10:42] 那我就是開直播當錄影片。
[10:44] 因為我實在是沒有空錄影片,
[10:46] 所以我就說算了算了,我直接開直播來教學,
[10:49] 我就不錄影片了,這樣懂嗎?
[10:51] 我就不錄影片
[10:51] 反正我錄影片我也是開直播題的錄影片,
[10:55] 所以我就沒有差,算了直接開直播好了。
[10:58] 好,來,大家會拿到OpenCode的懶人包在這裡。
[11:01] 所以你會拿OpenCode懶人包在這地方。
[11:04] 沒有啦,星期天還是有星期天的直播啦,
[11:07] 看大家有沒有想聽什麼,
[11:08] 可以點菜,因為反正我也都是直播前幾個小時才準備
[11:12] 直播內容。
[11:13] 好,來,這裡。
[11:15] 所以你可以去安裝這個瀏覽器控制,
[11:18] 所以懶人包的話你就看你需要什麼,
[11:20] 你就裝什麼。在OpenCode
[11:21] 裡面。這邊的生圖是有連接OpenAI的API
[11:25] Key去連接Image 2去做生圖。
[11:27] 所以我的OpenCode裡面的生圖功能也是連接
[11:31] OpenAI的Image 2做生圖。
[11:33] 所以你必須要設定Image 2的API Key給它,
[11:36] 你就可以去做生圖。
[11:38] 那生圖的話成本就是一張0.3塊台幣,
[11:40] 那大家自行斟酌啦。
[11:42] 那我上次儲值的這個錢還沒用完,
[11:46] 原來上你不太可能一個月生到2000張啦。
[11:50] 所以我覺得Image 2的生圖是很便宜的,
[11:53] 一張0.3塊。
[11:55] 好懶人包在這裡。
