[00:00] GPT CodeX 基本功EP01,
[00:03] 從這裡開始你的agent之旅。
[00:05] 為什麼這麼說呢?
[00:07] 我們現在市面上有兩家很厲害的agent。
[00:10] 其中一家就是Claude Code
[00:13] 另外一家的話就是GPT的CodeX。
[00:16] 兩者的能力差不多,但是CodeX便宜很多。
[00:20] 從現在開始,我們來學習使用GPT-CodeX
[00:24] 來完成我們的教學應用。
[00:26] 在Google搜尋的地方搜尋CodeX桌面版。
[00:30] 出現第一個CodeX App,
[00:32] 點它,往下滑,它會自動偵測你的系統。
[00:36] 有Mac版也有Windows版。
[00:38] 那我現在示範的是Windows版。
[00:40] Mac版的功能比較齊全。
[00:42] 下載之後,它會跟你說,
[00:45] 這個是未經驗證的下載內容
[00:47] 我們點它,告訴它說,對,
[00:49] 我要下載未經驗證的檔案。
[00:51] 下載完成之後,我們執行,
[00:54] 它就會開始安裝CodeX。
[00:56] 完成之後,會到這個頁面來。
[00:59] 接下來,我建議這邊登入你的GPT帳號來去使用。
[01:04] 下面這個的話,是給比較專業的工程師去接
[01:07] API Key來使用的。
[01:08] 可是我個人建議,如果是新手的話,
[01:11] 用你的ChatGPT帳號來使用。
[01:13] 20美金的就很夠用,所以要付費。
[01:16] 登錄,會跳轉到你的GPT帳號的登錄頁面。
[01:21] 用你註冊的帳號登錄,出現確認畫面按繼續。
[01:26] 第一次使用會幫你建議個人化任務。
[01:29] 我們先跳過,接下來就會到達這個CodeX的頁面。
[01:35] 選擇立即試用GPT5.5。
[01:37] 第一次的話會有一個設定代理程式沙箱以繼續。
[01:41] 按設定。
[01:42] 允許它變更你的裝置按示。
[01:45] 好,設定好之後,它就可以安全地編輯檔案並且執行命令
[01:48] 這是第一次進來都要跑的。
[01:50] 完成之後它就消失了。
[01:52] 接下來我們先來做一下基本的設定。
[01:54] 在左下角的地方有一個設定。
[01:56] 我們點它。
[01:57] 在這個地方。
[01:58] 選設定。
[01:59] 我們一個一個來。
[02:00] 來這邊的話,工作模式。
[02:02] 一個是技術性的回應比較多。
[02:05] 一個是技術性的回應比較少。
[02:07] 那我們選日常工作。
[02:08] 預設權限的話。
[02:11] 完整存取權比較危險
[02:12] 因為它有可能在未經你同意的狀況下,
[02:16] 執行可聯網的指令。
[02:18] 所以為了保險起見的話,
[02:19] 這個你可以先關掉。
[02:20] 預設開啟目的地的話,選DefaultApp。
[02:24] 意思就是說,你任何程式該用什麼工具去開,
[02:28] 它就會用什麼工具去開。
[02:29] 所以一般使用者最佳方案是這個DefaultApp。
[02:33] 那如果你是工程師的話,
[02:35] 很有可能會用比較進階的像Terminal或是
[02:38] GitBash去開。
[02:39] 但是這個一般使用者的話用不到,
[02:41] 我們都會選DefaultApp。
[02:43] 整合終端的話是PowerShell有沒有錯。
[02:46] 語言自動偵測。
[02:47] 多行提示詞的話要按Shift加Enter,
[02:51] 才能夠傳送。
[02:52] 這邊把它打開。
[02:53] 這個速度很重要,我們在CodeX裡面是可以加速的,
[02:57] 但是加速會花兩倍的Token用量。
[03:00] 所以如果說今天你有東西要急著趕工的話,
[03:04] 你可以選擇快速,但是會花更多的Token,
[03:07] 不趕時間的話選標準。
[03:08] 後續跟進行為的話,意思是指說,
[03:11] Agent在工作的時候,如果你傳訊給他,
[03:14] 是要排在當前的任務之後還是要打斷他。
[03:19] 所以我個人建議選排入序列會比較好。
[03:23] 當他做完當前的事情之後,
[03:25] 排到下一個訊息去。
[03:27] 程式碼審查的話選獨立。
[03:29] 不同任務會在不同的上下文裡面獨立去執行。
[03:33] 新手的話你可以把建議提示詞把它打開。
[03:36] 剩下的部分都不用調整。
[03:38] 接下來選擇組態。
[03:39] 我們先來看一下第一個政策。
[03:41] 核准政策有四種等級,我建議這邊是on request。
[03:45] 需要的時候才問你。
[03:46] 第四個是從來不問你,全部自動執行。
[03:49] 這比較危險。
[03:50] 在自動跟危險之間,這個是相對安全。
[03:53] 再來沙盒的設定的話,
[03:55] 原則上是要選Workspace write。
[03:58] 它還是可以去寫你的檔案。
[04:00] 如果你沒有開的話,在你的專案裡面,
[04:03] 它就不可以新增檔案來去完成你的工作。
[04:05] 所以一般來說,這個都是要開的。
[04:08] 設定的時候,我們這邊允許網路寫入,
[04:10] 一樣把它打開。
[04:11] 再來,匯入外部代理程式設定。
[04:14] 這邊就是所謂的Skill技能。
[04:17] 技能在Claude裡面跟在Codex裡面是通用的。
[04:21] 技能的話全部會放在這個資料夾裡面。
[04:23] 那Claude的資料夾
[04:25] 它會轉一份到Agents裡面的資料夾
[04:29] 相同的道理
[04:30] 在Claude裡面的ClaudeMD也會轉一份變成
[04:34] Agents.md。
[04:35] 這個Agents.md就是記錄這個專案目前的工作狀態,
[04:40] 包含它的藍圖還有一些設定。
[04:42] 如果你不懂沒關係,這邊就不用動它,
[04:45] 照這個設定就可以了。
[04:46] Claude X 的話這邊要把它打開,
[04:49] 讓它去安裝需要的工具。
[04:50] 接下來選擇個人化,性格的話我選務實,
[04:54] 可以不用講那麼多話。
[04:56] 自訂指令的話就是你的背景知識,
[04:59] 有需要就放。
[04:59] 再來這邊實驗功能的話,
[05:02] 啟用記憶把它打開。
[05:03] 這個功能目前暫時無法使用。
[05:06] 如果可以用的話,它變成是我們在使用MCP
[05:10] 工具或是網路搜尋聊天的時候,
[05:12] 不要建立記憶。
[05:14] 因為這些事情可能是無關緊要的。
[05:16] 接下來選擇瀏覽器使用。
[05:18] 這個Agent的話,它是有內建一個瀏覽器。
[05:21] 這是它自己的瀏覽器。
[05:22] 厲害的地方在於說
[05:24] 它會自己使用這個瀏覽器去幫你工作。
[05:27] 這個是Agent的必備技能。
[05:30] 那目前這個東西是最厲害的。
[05:33] 在所有Agent裡面,目前這個是最厲害的。
[05:35] 比Claude還厲害。
[05:37] 當你要重新做一件事的時候可以去
[05:40] 清除瀏覽器中的Cookie。
[05:41] 開網站前是否要請求核准。
[05:44] 這邊的話先選一律詢問。
[05:47] 在下面會有白名單跟黑名單。
[05:50] 黑名單就是哪些不能去,
[05:51] 比如說比較敏感的資料。
[05:53] 學校的個人帳號或者是銀行帳號。
[05:57] 學校的網域或是銀行的網域。
[06:00] 白名單哪些是你常去的。
[06:02] 你常去的網站就不用問,
[06:05] 連過去自動就可以連。
[06:06] 所以我們在這邊使用選一律詢問。
[06:10] 不能去的就設黑名單,常去的就設白名單。
[06:13] 接下來使用狀況就是你目前的用量。
[06:16] 那如果說以20美金、Plus版本的話,
[06:19] 原則上額度會比Claude還要多很多。
[06:23] 但是它的能力跟Claude沒有相差很多。
[06:25] 所以如果你覺得Claude太貴的話,
[06:28] 不妨使用GPT的CodeX。
[06:30] 在一般正常使用狀況下,
[06:32] 應該都是沒有問題的。
[06:34] 他們都很聰明。
[06:36] 現在沒有很多人用,所以算力蠻夠的。
[06:39] 也常常會重置使用限額。
[06:41] 完成之後,接下來我們就回到這個頁面來。
[06:46] 這個頁面的話,大家看一下。
[06:48] 這個頁面的話,就像我們ChatGPT的聊天視窗。
[06:52] 所以在這裡的話,你可以選擇模型。
[06:54] 你可以選用最新的5.5模型。
[06:57] 智能的話,意思是說,你在這個5.5模型裡面,
[07:00] 你要用多思考多久去做這件事情。
[07:04] 你選擇智能越高,
[07:05] 他就想越久。
[07:07] 需要比較複雜工作的人才需要調這個模型。
[07:10] 一般正常來講調中就可以了。
[07:11] 速度的話,趕時間就花Token。
[07:15] 在我們看一下左邊,現在是聊天視窗,
[07:18] 跟你使用ChatGPT是一樣的。
[07:20] 幫我生成一張資訊圖表來顯示Codex最主要的特色
[07:26] 以及功能。
[07:27] 所以你可以完全像你在GPT裡面去使用它。
[07:30] 但是特別注意是這個地方是雲端的生成式AI。
[07:35] 所有的事情都是在雲端完成。
[07:38] 這個不是Agent。
[07:39] 如果Agent的話,你要使用專案的功能。
[07:41] 所以你會看到左側這邊會有一個聊天視窗。
[07:45] 這個就是ChatGPT。
[07:47] 那如果你要使用Agent的話,
[07:49] 應該要使用這個專案功能。
[07:50] 專案功能就是我們在本地端去做事情。
[07:53] 如果你有看過Claude基本功能的話,
[07:55] 你大概知道是怎麼一回事。
[07:57] 那如果你沒看過也沒關係。
[07:59] 你就跟著這個系列一步一步去照作,
[08:01] 你也可以學到很多東西。
[08:02] 它在使用的時候,在右下角有一個小圈圈。
[08:05] 來,大家看一下。
[08:06] 這邊會有一個上下文視窗。
[08:08] 這裡的已使用7%。
[08:11] 所以它的上下文是25萬的上下文。
[08:14] 當上下文用完的時候,AI就會變笨。
[08:16] 所以大家要特別關注一下你上下文它有多少空間。
[08:20] 差不多用完的時候,它會自動去壓縮對話。
[08:23] 所以正常使用也不太需要擔心啦。
[08:25] 偶爾關注一下就好。
[08:27] 好,完成!
[08:27] 我們來看一下圖片。
[08:29] 所以使用專案的時候,它是可以操作檔案工具的。
[08:32] 也可以去讀檔案、寫程式、
[08:35] 除措、生成檔案、協作式工作流程。
[08:39] 這些特色呢,都要使用這個專案功能才會有。
[08:43] 那你在這邊聊天的話,就是一般的生成式AI。
[08:46] 怎麼建立專案呢?
[08:48] 我個人的習慣是,我會將一般我們普通專案,
[08:53] 我們在做事情的時候,
[08:54] 我會把專案檔案的資料夾放到雲端硬碟去
[08:58] 我會先下載雲端硬碟的應用程式,
[09:00] 裝好之後到我的雲端硬碟去,
[09:03] 再建立資料夾。
[09:05] 建一個資料夾,我先建一個2026Codex,
[09:09] 建好之後回到我的Codex界面,
[09:12] 然後選專案,選擇使用現有資料夾。
[09:15] 點它,從這裡點進去剛剛創立的資料夾,
[09:19] 然後選擇資料夾。
[09:20] 所以你會發現左側的專案就會有一個2026Codex。
[09:25] 接下來我要做的事情就會全部都在這個資料夾工作。
[09:29] 第一步的話很簡單,專案初始化。
[09:31] 空白的資料夾通常它會先建一個檔案叫做
[09:35] agents.md來去記錄這個專案是做什麼的。
[09:39] 那你會發現下方會出現資料夾的名稱。
[09:42] 傳送。
[09:42] 接下來在這邊工作就是Codex的agents工作。
[09:46] 它可以做到GPT聊天的所有的事情,
[09:50] 加其他所有你想得到的事情。
[09:53] 都能夠在這邊做。
[09:55] 所以你看他會告訴我說資料夾是空的。
[09:58] 他會建立通用的專案骨架。
[10:00] 比如說ReadMe,忽略清單。
[10:02] 就是那些不能夠公開的資訊。
[10:06] 比如說API Key。
[10:07] 接下來他會問你說要不要把資料夾初始化為
[10:10] Git專案。
[10:11] 是的。
[10:12] 或者是你選說以後不要再詢問以下形式的命令。
[10:17] 在對話的地方啊,我們變更一下權限。
[10:19] 我們選自動審核。
[10:21] 那之前我已經設定過了。
[10:23] 所以它會自動執行指令,
[10:25] 需要提授權的時候才會請求。
[10:27] 點它。這個加號的話就是新增檔案或更多功能。
[10:31] 你隨時可以在本機作業的地方去看一下你剩餘的額度
[10:35] 有多少。
[10:36] 好,到這個地方恭喜你!
[10:38] 你已經成功的把GPT Codex這個AI Agent
[10:42] 設定好了。
[10:43] 如果想要知道更多關於Codex在教學上應用的話,
[10:46] 訂閱按讚還有分享哦!
[10:48] 我們下集再見,拜拜!
