[00:00] 各位~~~AI時代啊
[00:03] 我2,000多個檔案
[00:05] 全部幫我整理的好好的
[00:07] 在這邊真是太可怕了
[00:10] 我就一句提示詞而已
[00:12] 全部幫我做好了
[00:14] 首先找到claude這個AI工具
[00:17] 接下來註冊claude
[00:19] 需要電話驗證
[00:21] 驗證之後註冊成功
[00:22] 個人使用
[00:23] 特別注意是你這邊必須要訂閱claude
[00:27] 才會有這個cowork的功能
[00:29] 我建議大家不要用一年訂閱
[00:32] 為什麼呢
[00:32] 因為AI工具汰換的太快了
[00:35] 付費使用
[00:36] 在它的網頁版的地方
[00:38] 左下角會有個下載
[00:40] 點選
[00:41] 接下來安裝桌面版
[00:43] 安裝cowork桌面版 安裝完成之後
[00:47] 會得到這個桌面的應用程式
[00:49] 接下來登錄你的帳號
[00:51] 接下來在上方的話它有三種功能
[00:54] 分別是我們一般使用的大型語言模型
[00:57] 另外一種就是cowork以及claude code
[01:00] 那我今天介紹cowork的一個功能
[01:03] 點它之後需要進行安裝
[01:05] 告訴你必須要安裝這個程式
[01:07] 才能夠使用
[01:08] 安裝完成之後會重新開機
[01:11] 接下來開始下載安裝Cowork
[01:13] 中間如果你安裝遇到任何困難的話
[01:16] 你就是截圖問AI要怎麼解決
[01:19] 完成安裝
[01:19] 重新開機之後就可以使用claude的Cowork
[01:23] 點開之後先選擇你要工作的資料夾
[01:27] 這邊的話
[01:28] 我要他幫忙清理我下載的資料夾
[01:31] 給大家看一下我下載的資料夾
[01:33] 因為所有東西我都會下載
[01:35] 放在這個地方
[01:36] 所以我下載的資料夾非常的亂
[01:38] 各位看一下
[01:39] 非常多資料
[01:41] 總共有2,260個項目
[01:44] 非常雜亂
[01:45] 現在我請claude cowork
[01:47] 幫我整理這個下載的資料夾
[01:50] 所以我選擇到選擇資料夾的目的
[01:54] 有可能有移動刪除的話都會讓你確認
[01:57] 變更完資料夾之後
[01:59] 告訴他你要做什麼
[02:00] 幫我將這個資料夾全部重新分類整理
[02:04] 有一些可能重複需要刪除的專案
[02:07] 你幫我整理成一個資料夾
[02:09] 接下來只要按下let's go
[02:12] 它就開始整理
[02:13] 在右邊的話你會看到它有一個進度
[02:15] 每個任務做什麼事情會顯示在這裡
[02:18] 他看完資料夾
[02:19] 裡面有2,261個檔案
[02:21] 他先分析檔案分佈跟內容概況
[02:25] 整理出來了
[02:26] 這邊有這麼多種類型影片的話 61G
[02:29] 他竟然說最占空間
[02:32] 有349個疑似重複的檔案
[02:34] 接下來他問我確認幾個方向
[02:37] 希望怎麼處理重複的349個檔案呢
[02:41] 告訴他直接幫我刪除重複的
[02:43] 接下來問我第二個問題
[02:44] 希望檔案怎麼分類
[02:46] 按照他推薦的用內容主題來分類
[02:49] 安裝程式的話
[02:51] 我覺得應該是不用保留
[02:53] 全部刪除
[02:54] 刪除之前還是再三讓我確認
[02:58] 確認
[02:59] 右上角你會看到
[03:00] 他持續所有正在執行操作的過程
[03:04] 還有步驟
[03:05] 你就看到他自己在那邊一直跑一直跑
[03:07] 他真的會幫你把檔案刪掉哦
[03:10] 事情全部做完之後
[03:11] 他最後會產出一份報告來
[03:13] 幫你總結一下他做了什麼事情
[03:15] 整理完成
[03:17] 刪除了132個檔案
[03:19] 釋放了35.1G的空間
[03:22] 幫我將所有檔案分類成13個資料夾
[03:26] 所以資料夾所有的細節都在這裡看吧
[03:30] 看完這份報告之後
[03:31] 我們來看一下我的下載資料夾
[03:48] 這個claude cowork
[03:50] 就是可以讓你的AI去操控你的電腦
[03:54] 協助你工作
[03:55] 如果你對claude AI有興趣
[03:57] 想要知道相關應用的話
[03:59] 訂閱按讚還有分享哦
[04:01] 我們下期再見
