[00:02] 哈囉今天要來講第十集
[00:05] 你要怎麼樣從零開始打造你的專案
[00:09] 其實我們一開始都是這樣
[00:10] 我們是新手我們什麼事情都不知道
[00:13] 我什麼事情都不會
[00:15] 所以一開始的時候
[00:16] 別人是怎麼寫程式的
[00:18] 那我在使用claude Code的時候
[00:20] 我要怎麼樣從零開始去寫一個程式
[00:24] 我需要注意哪些事情
[00:26] 我的筆記要怎麼用
[00:28] 我的GitHub要怎麼用
[00:29] 我的Firebase資料庫要怎麼用
[00:31] 我怎麼去結合我的claude Code
[00:33] 去把這些東西全部放在一起
[00:36] 我跟你講這是大部分我們新手
[00:38] 在學寫程式做專案的時候
[00:41] 所有不知道的東西
[00:43] 我今天嘗試把我這段時間做過的事情
[00:47] 分享給大家
[00:48] 今天東西很多很多很多
[00:51] 然後如果說你沒有看過我之前影片的話
[00:55] 我會建議你先去看我之前影片
[00:57] 因為如果你沒有看過我之前claude基本功的話
[01:00] 今天很多內容你都會聽不懂
[01:02] 然後影片的今天影片跟直播的最後
[01:06] 我會示範一下claude Design
[01:08] 然後claude Design的話
[01:09] 我覺得它的額度太坑了
[01:11] 隨便做個東西額度就差不多用完了
[01:13] 那我也做一下示範說
[01:16] 我們怎麼使用claude Design來去美化
[01:18] 我們做出來的網站或是應用程式
[01:21] 這個在最後的時候我會試著做給大家看
[01:25] 好所以前言的話就是
[01:27] 你必須要先看過我們claude基本功
[01:30] 那claude基本功的話
[01:31] 你們要去我的頻道去看這個系列
[01:35] 這系列的話是這樣
[01:36] 它會有一個claude基本功
[01:38] 然後今天的話你必須要看過這幾集
[01:41] 我把這個分享連結放在聊天室
[01:45] 那大家如果你沒有看過這幾集的話
[01:48] 你現在正在看這個直播影片沒關係
[01:51] 你先回過頭去把那幾集看完
[01:54] 之後再來看這個直播影片
[01:56] 如果你想要寫很多很多
[02:00] 在你教學在你生活在你工作上
[02:02] 能夠應用程式的話
[02:04] 今天這一集你一定要看
[02:07] 因為從這一集開始就是
[02:10] 邁入進階的分水嶺
[02:12] 就是從這一集開始基礎功的話
[02:13] 就是到這一集往下的話
[02:15] 就全部都是進階的
[02:18] 好所以你怎麼樣從零開始打造你的專案
[02:22] 那我們在專案開始之前
[02:24] 你一定要先去看過這幾集
[02:25] 包含我們使用的是FirebaseFirebase的話這一集你一定要去看
[02:31] 然後請你務必要建好你的Firebase
[02:35] 因為我們所有在做網頁的時候
[02:38] 使用者去輸入或是互動的資料
[02:42] 全部都要存在Firebase
[02:44] 你如果沒有資料庫的話
[02:46] 你只能夠做前端網頁
[02:47] 基本上你網頁你的應用程式的功能
[02:50] 會嚴重的受限
[02:51] 所以我強力推薦大家
[02:53] 一定要去把Firebase裝起來
[02:56] 請去看這一集
[02:57] 然後再來你一定要去裝你的第二大腦Obsidian
[03:03] 這個東西實在是太好用了
[03:05] 尤其跟claude Code結合在一起
[03:07] 這東西真的超級無敵好用
[03:10] 大家一定要把Obsidian裝起來
[03:15] 所以請你務必去看第七集把它裝起來
[03:18] 第八集怎麼使用
[03:19] 我今天會大量的使用到Obsidian的筆記本
[03:22] 好再來你要寫程式
[03:24] 我們需要有一個地方去放我們的程式碼
[03:27] 所以請你去看第四集第五集
[03:30] 把你的GitHub去連接起來
[03:32] 很多人在一個地方卡關
[03:34] 就是在註冊GitHub的時候
[03:36] 你可能會在驗證身份的那個圖形上面
[03:39] 你會沒辦法完成
[03:41] 你就把那圖形截圖問claude
[03:43] 他會幫你指出來說這個要怎麼解答
[03:46] 想辦法註冊GitHub
[03:48] 然後你去看第五集怎麼樣去使用GitHub
[03:51] 你必須要去連接你GitHub
[03:54] 因為我們所有寫完的程式應用程式
[03:56] 全部都放到GitHub上面去
[03:59] 所以今天這個直播影片要教大家
[04:03] 我們怎麼樣使用GitHub
[04:04] 我們怎樣使用Obsidian
[04:06] 我們怎麼樣去使用Firebase
[04:08] 來去從零開始打造你的專案
[04:13] 所以當你這些東西全部建起來之後
[04:16] 你從這一集開始
[04:17] 你會邁向一個全新的世界
[04:20] 從現在開始你這一集看完之後
[04:22] 你就可以打造任何你工作上
[04:25] 你教學上你個人使用的任何的應用程式APP
[04:29] 我跟你保證從現在開始
[04:32] 你這一集看完你就會進入進階
[04:34] 你就會進入高手就從這一集開始
[04:37] 那當然我也不可否認的是
[04:39] 今天這一集的內容有點難
[04:41] 真的有點難
[04:42] 那如果你有心想要變強
[04:44] 有心想要弄懂這一次怎麼一回事的話
[04:46] 今天這一集你一定要從頭把它看到尾
[04:49] 好所以今天在看這一集之前
[04:51] 你一定要先去看完
[04:53] 這一系列影片
[04:54] 我所有的影片的規劃
[04:56] 都是為了後面這些事情
[04:58] 去做規劃
[04:59] 所以你一定要按部就班
[05:01] 一集一集的往下看
[05:03] 最好是都能夠照做
[05:04] 那如果你是高手的話
[05:05] 你一定比我還要厲害
[05:07] 你就按照你的方式來做就好了
[05:09] 我的方式就是適合新手
[05:11] 我自己新手的做法
[05:13] 如果你高手的話
[05:14] 你就是按照你的方式來做就好
[05:16] 你可以不用做照我的方法
[05:17] 如果大家跟我一樣都是新手的話
[05:19] 你照我的方式來做
[05:20] 你也可以有一個不錯的成果
[05:22] 好那我們就開始囉
[05:25] 來今天我們要講的是
[05:27] 我們怎麼樣從零開始
[05:29] 打造你的專案
[05:30] 那我把我的專案拿出來
[05:33] 給大家看
[05:34] 就是這是我的obsidian筆記本
[05:37] 那我的obsidian筆記本的話
[05:39] 左邊會有專案
[05:40] 專案就是我們在寫一個程式
