[00:02] 好 那接下來
[00:04] 我們要講這個作業五
[00:06] 大家會用上的Transformer
[00:09] 那我們在之前已經提了Transformer
[00:11] 提了不下N次
[00:13] 那如果你們還不知道
[00:14] Transformer是什麼的話
[00:15] Transformer其實就是變形金剛知道嗎
[00:18] 變形金剛的英文就是Transformer
[00:22] 那Transformer也跟我們之後會
[00:24] 提到的BERT有非常強烈的關係
[00:28] 所以這邊有一個BERT探出頭來
[00:31] 代表說Transformer跟BERT
[00:33] 是很有關係的
[00:35] 那Transformer是什麼呢
[00:37] Transformer就是一個
[00:39] Sequence-to-sequence的model
[00:42] 那Sequence-to-sequence的model
[00:44] 他的縮寫
[00:45] 我們會寫做Seq2seq
[00:49] 又是什麼呢
[00:50] 我們之前在講input a sequence的
[00:53] case的時候
[00:54] 我們說input是一個sequence
[00:56] 那output有幾種可能
[00:58] 一種是input跟output的長度一樣
[01:01] 這個是在作業二的時候做的
[01:04] 有一個case是output指
[01:06] output一個東西
[01:07] 這個是在作業四的時候做的
[01:09] 那接來作業五的case是
[01:11] 我們不知道應該要output多長
[01:15] 由機器自己決定output的長度
[01:20] 那有什麼樣的例子
[01:21] 有什麼樣的應用
[01:22] 是我們需要用到這種
[01:26] 也就是input是一個sequence
[01:27] output是一個sequence
[01:28] 但是我們不知道output應該有的長度
[01:31] 應該要由機器來自己決定
[01:33] output的長度
[01:34] 有什麼樣的應用呢
[01:35] 舉例來說
[01:36] 一個很好的應用就是 語音辨識
[01:39] 在做語音辨識的時候
[01:40] 輸入是聲音訊號
[01:42] 我們在這一門課裡面
[01:44] 已經看過好多次
[01:44] 輸入的聲音訊號其實就是
[01:47] 一串的vector
[01:49] 輸出是什麼
[01:50] 輸出是語音辨識的結果
[01:53] 也就是輸入的這段聲音訊號
[01:55] 所對應的文字
[01:56] 我們這邊用圈圈來代表文字
[02:00] 每一個圈圈就代表
[02:02] 比如說中文裡面的一個方塊子
[02:05] 今天輸入跟輸出的長度
[02:08] 當然是有一些關係
