[00:00] 我來示範一下如何寫年度的領域課程計畫。
[00:04] 我這邊以竹光國中為例。
[00:06] 這是一份竹光國中的領域課程計畫的範本。
[00:11] 下面提供了需要填寫的各個項目。
[00:16] 各個領域的範本，
[00:17] 有分上學期跟下學期。
[00:20] 兩份都在硬碟裡面，新建一個資料夾，
[00:23] 我這邊就叫 2026課程計畫。
[00:26] 我們將相關的檔案準備好，
[00:28] 包含你們學校課程計畫書寫的範本。
[00:32] 這邊以翰林提供的課程計畫範本為例。
[00:36] 假設你們學校八年級、
[00:38] 九年級都是用翰林版本的數學教材。
[00:42] 那我需要將翰林版本的數學教材填入我們學校的
[00:46] 課程計畫範本。
[00:47] 填完之後才去做修改跟微調。
[00:51] 那要怎麼做呢？
[00:52] 打開你的 Agent，我這邊以 Claude 為例。
[00:54] 開一個新的對話，去選
[00:57] 這個課程計畫的資料夾。
[00:59] 直接跟他講說：讀一下資料夾中的檔案。
[01:01] 他會詢問你要信任這個資料夾嗎？
[01:05] 選信任。
[01:06] 確認之後，我們來看一下要怎麼做呢？
[01:10] 我告訴他將我提供的四個課程計畫填入我提供的範本，
[01:14] 按年段另存新檔提交。
[01:17] 好，完成了。
[01:18] 我們來看一下這兩個檔案。
[01:20] 好，八年級的話，
[01:22] 我看一下。
[01:23] 全部填完了。
[01:24] 完全沒有任何的問題。
[01:25] 九年級的也填完了。
[01:28] 好，接下來填完之後，
[01:29] 根據你們學校的需求，
[01:31] 如果要做任何更動的話，
[01:32] 你只要在 Claude 裡面跟他講，
[01:34] 他就會馬上幫你把檔案改好。
[01:36] 就是這麼簡單。
[01:37] 好，以上是今天我們使用 AI Agent 來幫助寫年度領域課程
[01:42] 計畫的影片全部內容。
