[00:00] claude基本功第四集串接Notebook LM進階應用五大情境
[00:06] 上一集我們已經把Notebook LM跟claude接起來了
[00:10] 但是大家一定會有個疑惑說
[00:13] 我直接打開Notebook LM的網頁不就好了
[00:16] 為什麼要多串一個claude呢
[00:18] 所以實際上我們在做一件事情
[00:20] 就是我們直接打開Notebook LM做不到的事情
[00:24] 所以今天來介紹五個應用
[00:26] 也就是Notebook LM的五個化
[00:29] 看完這集你就知道
[00:30] 為什麼我們要使用claude去串Notebook LM
[00:33] 這五個化分別是自動化定時化
[00:36] 行動化串聯化還有規模化
[00:40] 我們先來看第一個自動化
[00:42] 簡單說就是利用我們在第二集講過的Skill
[00:46] 一次觸發多個步驟
[00:48] 我們來試試看
[00:49] 還記得我們在第三集有沒有講過
[00:52] 我有新增一個資料夾嗎
[00:54] 我們所有要操作的資料
[00:56] 就放到這個資料夾裡面去
[00:58] 他可以直接去讀取本地資料夾的檔案
[01:01] 將我們要使用的檔案
[01:03] 貼到Notebook LM的資料夾裡面來
[01:05] 這個是claude目前的檔案路徑
[01:08] 然後我將所有的備課資料
[01:10] 全部貼到這個地方來
[01:12] 將我這份備課資料上傳到Notebook LM
[01:16] 當做來源並且根據這個來源
[01:18] 生成授課用的簡報
[01:20] 簡報的風格使用粉筆黑版風格
[01:24] 簡報的頁數至少要有20頁
[01:26] 另外生成影片概覽
[01:29] 影片是要拿來讓學生自學用的
[01:33] 影片需包含課程的重點資料
[01:35] 接下來也要生成音訊總覽
[01:37] 再來還要生成資訊圖表
[01:39] 資訊圖表的每一個重點一個資訊圖表
[01:43] 所有的資訊圖表的風格一律使用粉筆黑版的風格
[01:47] 資訊圖表使用16比9橫式格式選詳細
[01:51] 再來根據這個內容
[01:54] 幫我產生差異化教學的教材
[01:57] 分別是根據Bloom認知層次裡面的記憶理解
[02:01] 一份應用一份分析一份
[02:04] 根據這三份教材也幫我生成測驗用的題目
[02:08] 每一種難度10題幫我下載成試算表
[02:12] 我一次提了這麼多要求
[02:15] 包含了差異化教學的教材
[02:17] 然後還有測驗的題目接下來按提交
[02:20] 所以你會看到他已經抓到我們這個資料
[02:22] 這是一個複雜的多步驟任務
[02:25] 所以要建立一個to do list
[02:28] 所以建立好之後他就逐項去生成筆記本
[02:31] 成功建立上傳 pdf上傳完成
[02:35] 接下來要去產出後續的內容
[02:39] 你看他做完了就會把它畫掉
[02:41] 重點也抓到了有六個核心重點
[02:43] 平行產生所有作品簡報影片音訊
[02:46] 三份報告還有測驗六個重點
[02:49] 就會有六個資訊圖表資訊圖表啟動
[02:52] 接下來三份認知層次的差異化教材
[02:55] 還有三份測驗全部都啟動了
[02:59] 接下來他會不斷的查詢
[03:00] 是不是已經生成完成了
[03:02] 所以這邊他會開始不斷的去查
[03:04] 那我們打開筆記本來看一下
