[00:00] Hello，大家好啊！
[00:01] 我统计了一下，
[00:02] 我最近做AIAgent开发的
[00:04] 时间，
[00:04] 结果发现了
[00:05] 一件不太对劲的事情。
[00:07] 我真正花在写代码、
[00:08] 做设计上的
[00:09] 时间只有百分之十，
[00:11] 剩下的百分之九十全都耗在了
[00:13] 同样一件事情上，
[00:14] 手动测试。
[00:15] 我得点开网页，
[00:17] 输入想要测的数据集，
[00:18] 盯着Agent，
[00:19] 一步一步地跑，
[00:20] 然后用人脑去判断这次它到底是变好了
[00:22] 还是变坏了，
[00:24] 而且这还不是最麻烦的呢。
[00:26] 最麻烦的是，
[00:27] AIAgent这个系统本身就不确定，
[00:29] 是吧？
[00:29] 我有的时候只想改一个很小的
[00:31] 行为，
[00:32] 结果改了一句prompt，
[00:34] 它就崩掉了。
[00:35] 更让人没底的是，
[00:36] 很多时候我连它到底有没有真的
[00:39] 坏都没有办法一眼看出来，
[00:41] 那我只能再跑一遍，
[00:42] 再跑一遍，
[00:43] 再跑一遍。
[00:44] 然后感觉它到底是不是对的。
[00:47] 到这一步，
[00:48] 我得工作其实已经不是在写代码，
[00:50] 而是反复地手动地
[00:52] 去验证一个连我自己都有点快看不懂的
[00:54] 系统，
[00:55] 这正常吗？
[00:57] 啊，
[00:58] 有没有一种办法能够把这百分之九十的
[01:01] 时间变成一套可重复，
[01:03] 不需要我守在屏幕前一遍一遍点的
[01:06] 自动化体系？
[01:07] 来，
[01:07] 今天我们就来聊一聊，
[01:09] 到底是如何让AIAgent的
[01:11] 开发省去这百分之九十的
[01:13] 时间的。
[01:14] 欢迎大家收看我们今天新一期的视频。
[01:16] 那在聊我们怎么改进它之前，
[01:19] 其实我首先确认了
[01:20] 一件事情，啊，
[01:20] 这到底是不是我一个人的痛点，
[01:22] 是不是我一个人碰到的问题？
[01:24] 啊，其实不是啊。
[01:25] 在二零二五年，
[01:26] OpenAIMeta的
[01:28] 研究员JasonWei就提出了
[01:29] 一个概念啊，
[01:30] 他观察到一件事情，
[01:31] 叫做验证的不对称性，
[01:33] 意思是有很多任务做出来很难，
[01:36] 但是验证它做得
[01:37] 对不对却很容易。
[01:38] 那顺着这个他给出了
[01:39] 一条定律，
[01:40] 叫做verifier's'rule，
[01:42] 就是任何可解且易于验证的
[01:44] 任务终将被AI解决。
[01:47] 那这件事情跟我的
[01:48] 那个百分之九十到底有什么关系啊？
[01:51] 我之所以百分之九十的
[01:53] 时间在验证，
[01:54] 恰恰就是因为对于我们所构建的
[01:56] 这个AIAgent来说，
[01:58] 生成变得很便宜，
[01:59] 但是验证还很贵，
[02:01] 这就是那个不对称。
[02:03] 也就是说，
[02:04] 如果我能把判断这个Agent做得
[02:07] 对不对这件事情，
[02:08] 从一个靠肉眼靠感觉的难题，
[02:10] 变成一道自动的
[02:11] 可重复的验证体系，
[02:12] 那我其实就是把一个难验证的
[02:14] 问题亲手改造成一个容易验证的
[02:17] 问题。
[02:17] 一旦它变得容易验证，
[02:19] 按照这条定律，
[02:20] 剩下的就应该交给AI了，
[02:22] 那我的角色就变成了
[02:24] 如何去制造这个可验证的架构。
[02:27] 这个话听起来其实很抽象啊，
[02:29] 但其实在另外一个行业，
[02:31] 三十年前就做过
[02:32] 同样的事情了。
[02:34] 而这个行业就是我现在正在从事的
[02:37] 行业，
[02:37] 芯片的设计与验证。
[02:39] 我先讲一个你可能没有想到过的冷知识啊。
[02:43] 写芯片代码的
[02:44] 人往往比验证芯片代码的
[02:46] 人要少。
[02:47] 在芯片真正流片之前，
[02:49] 花在验证上的人力，
[02:52] 经常是设计的两倍、
[02:54] 三倍或者更多。
[02:56] 为什么会这样？
[02:57] 因为芯片一旦流片，
[02:59] 啊，如果出错，
[03:00] 那就是几百万美金直接打水漂，
[03:02] 没有改一个Bug，
[03:03] 重新部署一下这种好事儿，
[03:05] 呃，
[03:05] 所以整个行业被现实倒逼着，
[03:08] 把大部分的精力压在了
[03:11] 就是想尽一切办法把所有可能的
[03:13] Bug全部都找出来。
[03:15] 而干这件事情的核心，
[03:17] 其实不是说你会写芯片代码就行了，
[03:19] 你是要去会设计、
[03:21] 验证的体系，
[03:22] 你怎么样去设计一套回归测试，
[03:25] 主动把Bug暴露出来，
[03:27] 在哪些地方埋下检查点，
[03:29] 又怎么样去衡量自己到底测得
[03:31] 够不够全。
[03:32] 讲到这儿，
[03:33] 你大概已经发现，
[03:34] 这跟我们今天做AIAgent的
[03:36] 开发几乎是同样一个形状。
[03:38] 当AI把写代码变得越来越便宜，
[03:41] 就像当年的EDA工具，
[03:43] 让写Verilog这件事情变容易了
[03:45] 一样，
[03:45] 你的价值就不仅仅在设计上面了，
[03:48] 它出现了一套新的价值点，
[03:50] 你能不能设计出来一套体系，
[03:52] 让AI的
[03:53] 每一次改动都可以被验证？
[03:56] 那么我具体是怎么给予我们自己的
[03:59] AIAgent，
[03:59] 把这件事情做出来的呢？
[04:01] 第一步可能跟你想的
[04:02] 有点不太一样啊，
[04:04] 我要做的第一件事儿，
[04:05] 不是写测试，
[04:06] 而是把我们的
[04:08] AIAgent改造成一个对别的
[04:11] AIAgent友好的系统。
[04:13] 我解释一下啊，
[04:14] 我手上其实有两套里统，
[04:16] 一个是我们自己写的
[04:17] 那个AIAgent，
[04:19] 另一套呢，
[04:19] 是我用来写代码的
[04:21] Coding工具，
[04:22] 比如说Codex啊。
[04:24] 那我之前测试为什么那么痛苦？
[04:27] 因为我那套系统的
[04:28] 入口是一个网页，
[04:30] 是一个UI，
[04:31] 是给人用的，
[04:32] 要测它，
[04:33] 就得有个人在那儿点一下，
[04:35] 输一下，是吧？
[04:36] 那从第一天起，
[04:37] 它就是为人的
[04:38] 眼睛和手去设计的。
[04:41] 现在大家都在讲面向AIAgent的
[04:43] 开发，
[04:44] 这件事情的
[04:45] 真正核心在于三个问题啊。
[04:47] 第一，
[04:48] 你的系统在脱离了人的
[04:50] 眼睛和UI之后，
[04:52] 它还能跑得起来吗？
[04:53] 第二，
[04:54] 它运行的过程中，
[04:55] 那些中间状态有没有留下足够的
[04:58] 信息，
[04:59] 让另外一个AIAgent能看懂？
[05:01] 第三，
[05:02] 你有没有专门设计接口，
[05:04] 让AI能够自主地
[05:05] 去拿到这些信息？
[05:07] 举一个具体的例子啊，
[05:09] 我们在运行一个AIAgent的
[05:10] 时候啊，
[05:11] 我需要让Codex能够看到整条
[05:14] workflow长什么样，
[05:15] 中间调用了哪些工具，
[05:17] 每一步拿回了什么数据。
[05:19] 如果这些信息一旦离开UI就消失，
[05:22] 或者说整个workflow离开UI，
[05:25] 它就停止，
[05:26] 后端就瘫了。
[05:27] 那只能说明我们这方设计的
[05:30] 接口到现在为止还是为人去设计的，
[05:33] 不是为了AI去设计的。
[05:37] 啊，那么怎么改啊？
[05:38] 其实有两条比较现成的路，
[05:41] 一条呢就是说，
[05:42] 那我们调用MCP是吧，
[05:43] 模拟网页的操作，
[05:44] 模拟人的操作，
[05:46] 让AIAgent直接去读你的
[05:47] 网页啊，
[05:48] 靠多模态去进行一个观察。
[05:51] 那另一条呢，
[05:51] 就是把前后端彻底拆开啊，
[05:54] 后端变成一个能独立运行的
[05:56] AIAgent。
[05:57] 所有的调用都能做成命令行的控制形式。
[06:00] 前端的退到一边，
[06:01] 只负责把后端的信息这个监控
[06:04] 出来给人们去看啊，
[06:06] 让人进行操作。
[06:07] 我选的其实就是第二条路啊。
[06:09] 前后端分离。
[06:11] 啊，原因是在于，
[06:12] 我用MCP，
[06:13] 我的确能够看到网页上面的
[06:15] 一些操作，
[06:16] 但是呢，
[06:17] 在这个authorization呢，
[06:18] 或者在一些具体的
[06:20] cornercase，
[06:20] 包括效率上面，
[06:22] 没有前后端分离来得这么直接，
[06:24] 来得这么快。
[06:25] 而且说实话啊，
[06:26] 就是做前后端这一步啊，
[06:28] 我们也花了不少力气。
[06:30] 原因在于我们之前其实是重度使用了
[06:33] 这个Vercel的
[06:34] AISDK，
[06:36] 它在最开始用的
[06:37] 时候的确很好用，
[06:38] 但是在前后端分离这件事情上，
[06:41] 你的确是需要花一些工夫才能
[06:42] 把它做到一个比较好的程度。
[06:44] 我们把它变成了
[06:45] 一个能脱离前端，
[06:46] 然后自己在后台长时间稳定跑下去的
[06:49] 这样的一个系统，
[06:51] 而做完这一步，
[06:52] 我们再回过头去看是吧，
[06:54] 有没有人跟我们踩了
[06:55] 一样的坑呢？
[06:57] 普林斯顿的
[06:58] 这个SWEAgent，
[06:59] 那篇论文里面提到过
[07:01] 一个概念叫做Agent
[07:02] ComputerInterface，
[07:04] ACI啊，
[07:05] 他们的观点就是说，
[07:06] AIagent是一类全新的
[07:08] 用户，
[07:09] 他和人不一样，
[07:09] 所以你得专门给它设计接口，
[07:11] 而且呃，
[07:12] 这个实验的结果发现，
[07:14] 接口设计得好不好，
[07:16] 对于agent的
[07:16] 表现影响甚至大过
[07:18] 你换一个更强的模型。
[07:20] 所以我们每天听到面向AIagent的
[07:23] 编程，
[07:24] 面向AIagent的服务，
[07:25] 它的核心从来不是某一个具体的
[07:27] 技术啊，
[07:28] 其实是在于你所做的
[07:30] 这样的一个东西，
[07:32] 能不能被另外一个AI，
[07:34] 或者说是简单一点，
[07:35] 能不能够被Codex快速地
[07:38] 主动地拿到它需要的信息。
[07:41] 做完了前面那步，
[07:42] 接下来就很直接了，
[07:43] 我们要开始构建测试。
[07:46] 说穿了，
[07:46] 它就是一个回归测试啊，
[07:48] regressiontest。
[07:49] 概念不复杂，
[07:50] 复杂的是怎么样为一个不确定的
[07:53] 系统去构建它。
[07:55] 啊，在这里方，
[07:56] 我就拿我们给AIagent加功能来举例。
[07:59] 当我想要给AIagent新加一个工具的
[08:02] 时候，
[08:02] 我心里其实是有一个明确的
[08:04] 预期的，
[08:05] 比如在什么条件下，
[08:07] 这个工具会被触发。
[08:08] 触发之后，啊，
[08:09] 整个AI的
[08:10] 工作流又应该怎么走。
[08:12] 那这个我期待它怎么走的路径，
[08:15] 我们把它叫做快乐路径啊，
[08:17] Happypath，
[08:18] 它就是一个新功能的
[08:20] 验收标准。
[08:21] 从架构上来说，
[08:22] 我们要先解决一个棘手的问题，
[08:25] 谁来当裁判？
[08:26] agent的
[08:27] 输出是一大段自然语言，
[08:29] 是一条运行的路径，
[08:31] 它不是一个直接相减的数字，
[08:33] 所以传统那种过
[08:34] 或者不过啊，
[08:36] 这种分类的
[08:36] 系统其实是不够用的。
[08:38] 我的办法是把这个裁判呐，
[08:41] 拆成两层，
[08:42] 能确定地交给确定性的
[08:44] 裁判啊，
[08:45] 那些模糊的交给AI裁判。
[08:47] 那这个第一层呢，
[08:48] 就是确定性的
[08:49] 断言assertion。
[08:51] 这一层其实就是一组硬性的检查，
[08:53] 比如说跑这个测试的时候，
[08:55] 工具是否触发呀，
[08:57] 跑到某一步的时候，
[08:58] 这个中间状态啊，
[08:59] 有多少条记录呀，
[09:00] 覆盖到那些情况呀。
[09:02] 这层的特点就是它绝对可靠啊，
[09:05] 然后确定性并且零成本。
[09:07] 第二层呢，
[09:08] 就是一个LLM的裁判啊，
[09:10] 我把它叫做Supervisor，
[09:11] 它是专门处理第一层那些卡不住模糊的
[09:15] 部分。
[09:16] 那这方有几个关键细节啊，
[09:18] 这个大语言模型的
[09:19] 上下文必须是干净的啊，
[09:21] 它不参与任何的开发，
[09:22] 它不知道你代码的
[09:23] 来龙去脉，
[09:24] 它的这个眼睛里面只有对正确的
[09:26] 预期啊。
[09:28] 而第二点呢，
[09:29] 然后面对那些没有标准答案的
[09:32] 输出，
[09:33] 我们不让它去判断对和错，
[09:35] 而是让它去做一个量化的打分，
[09:37] 通过分数去判断最终的
[09:39] 结果是好了多少，
[09:41] 差了多少。
[09:42] 那如果你做过芯片的验证，
[09:44] 其实你觉得整套系统还是比较眼熟的，
[09:47] 比如说，呃，
[09:48] 我们借用了
[09:48] 这个assertion的概念，
[09:49] 借用了coverage的
[09:50] 概念啊，借用了
[09:51] Scoreboard的概念，
[09:52] 只不过相比于硬件来说，
[09:55] 这个AIagent它本身就存在一定的
[09:57] 模糊替代，
[09:58] 存在一定的不确定性，
[09:59] 所以它对于这种不确定性的
[10:01] 容忍程度要更高一点。
[10:03] 那解决了谁来当裁判的
[10:05] 问题之后呢，
[10:06] 第二步啊，
[10:07] 就是不停地攒案例。
[10:10] 上面我们做的
[10:11] 事情是基于这个Happypath，
[10:13] 快乐路径进行的开发。
[10:14] 那我开发的功能越多，
[10:16] 是吧，
[10:16] 我就慢慢慢慢把这些Happy
[10:18] path能够一条一条地
[10:19] 固化除此之外呢，
[10:21] 我们可以从真实的用户，
[10:22] 从测试里面去捞那些我们自己
[10:24] 根本就没有设计过的，
[10:26] 五花八门的输入，
[10:27] 把它们放到我们的这样的
[10:28] 一个测试机里面。
[10:30] 那么，
[10:30] 这两类回归测试啊，
[10:31] 能够保证我们的
[10:32] 系统在不停更改的状态下，
[10:35] 依旧没有退步，
[10:36] 同时保证尽量地没有盲区。
[10:39] 还有一个我自己觉得特别关键的
[10:41] 实践就是，
[10:42] 每加一个新功能，
[10:43] 我都会给它配一个开关，
[10:45] 一个flag，
[10:46] 有了开关我就有这个开和关的
[10:48] 两个版本，
[10:49] 当它们去跑同样一套回归测试的
[10:51] 我就能够清楚地
[10:53] 看到新功能到底带来了
[10:54] 什么东西，
[10:55] 哪些变好了，
[10:56] 哪些被悄悄地弄坏了。
[10:59] 那有了上面这一套架构之后，
[11:01] 最妙的一步来了，
[11:02] 我们如何把这一切形成一个闭环？
[11:06] 我们可以在Codex
[11:07] 里面去做这样一件事情，
[11:09] 就是当它需要开发新的
[11:11] 功能的时候，
[11:12] 它不仅仅考虑这个代码怎么写，
[11:14] 它需要首先先去设计回归测试，
[11:19] 其次去设计这样的
[11:20] 一个开关，
[11:22] 然后呢，
[11:23] 去进行代码的编写，
[11:25] 编写完之后，
[11:26] 再开关开开关关闭的时候，同样地
[11:30] 去跑一遍这样的
[11:30] 一个回归测试，通过回归测试的
[11:34] 结果进行一个反馈，
[11:36] 再去修改代码，直到最终的
[11:39] 代码改成能够符合回归测试要求的
[11:43] 这样的一个版本。
[11:44] 那在整个这样的
[11:46] 一套体系里面，
[11:47] 人是没有参与的
[11:48] ，而Codex这种coding
[11:51] agent通过我们设计的
[11:53] 这种可验证体系，
[11:54] 把这一切都连成了
[11:56] 一个闭环，那到这一步你会
[11:58] 发现我们已经不再写代码，
[12:00] 我们也不再手动测试，
[12:01] 我们做的
[12:02] 就是把什么算对定义清楚，剩下的
[12:05] 就是这个闭环自己在收敛。
[12:07] 而这正好就是我们开头那篇文章所讲到的
[12:10] ，如果你能验证一个结，
[12:13] 就等价于能给AI造就一个环境，
[12:16] 让它去趋近。
[12:18] 百分之九十的手动验证，
[12:20] 到这里就真的变成自动的了。
[12:24] 那最后聊一下，
[12:25] 就是今天我们做的
[12:27] 这套前后端分离回归测试，
[12:29] 其实都是抛砖引玉啊。
[12:31] 我并不是想让大家说，
[12:33] 你照着我这个东西这样做，我更多的
[12:35] 是想让大家看见，为什么我们做出这样的
[12:39] 技术决定。
[12:40] 说实话，
[12:40] 像前后端分离回归测试，在很多的
[12:43] 技术博文里面都有，为什么
[12:45] 我们今天还是要反复去提？
[12:47] 我们想让大家看见的，
[12:48] 是为什么我们做出这样的
[12:50] 技术决定啊？
[12:51] 如果不是那个百分之九十的
[12:53] 效率的浪费，
[12:54] 把我逼到了墙角，
[12:56] 我觉得我可能不会做这样的
[12:59] 所以，这套解法真正想让大家思考的
[13:04] 是，在你自己的
[13:05] 工程里面，有没有类似的瓶颈？
[13:08] 有没有正在悄悄吃掉你的时间，
[13:10] 或者说让你觉得很烦躁很重复的
[13:12] 问题？
[13:13] 如果有，你用你自己的方式去解就好啊。
[13:18] 一年前，
[13:19] 大家都在争，
[13:20] 我要不要用AI写代码？
[13:22] 你如果用了AI写代码，
[13:23] 你可能比别人的效率高。
[13:25] 在今天，没有人争这个问题了，
[13:27] 因为大家都在用。
[13:28] 那这个时候你需要思考的
[13:30] 是，你怎么样使用AI才能比别人的
[13:33] 效率更高啊？
[13:35] 如果说你用这个AI，
[13:36] 原来十分钟做的
[13:37] 事情，你用了AI干了
[13:38] 两个小时，结果是一样的，
[13:40] 那这个地方没有效率的提升，
[13:42] 你用了AI效率反而下降了，
[13:44] 这就是本末倒置啊。
[13:46] 所以，不要把我说的
[13:47] 这样一个解法就当做是，
[13:49] 哦，是很好的一件事情，
[13:51] 它可能对于你来说一文不值。
[13:53] 哦，我想给的只是一种启发。
[13:57] 你看完我们的视频之后，
[13:58] 哎，
[13:59] 你能够回过头去看看你自己的
[14:00] 工程，啊，
[14:01] 去发现有没有类似的问题，
[14:03] 然后你脑子里如果有了
[14:05] 一些新的解法，哦，
[14:06] 我就非常的开心，
[14:07] 好吧。
[14:09] 所以祝大家都能把属于你的
[14:12] 那百分之九十的
[14:13] 效率重新拿回到自己的手里。
[14:16] 那以上就是我们这期视频的
[14:18] 全部内容，
[14:18] 如果你觉得我们的
[14:19] 视频做得还不错的话，
[14:20] 那欢迎点赞收藏转发订阅评论我们的
[14:22] 频道，
[14:22] 这对我们来说非常的重要。
[14:24] 感谢你的收看，祝你学习顺利！
