[00:00] 簡報的字都是可以修改的哦。
[00:01] 所以你只要稍微移動一下,
[00:03] 我們就可以讓整個簡報變得非常有質感。
[00:06] 上級長官叫你改簡報也是沒有問題啦。
[00:09] 改什麼字你就這邊改改就好了。
[00:11] 如果說有圖片需要修的話,
[00:13] 你也是在claude裡面跟它對話。
[00:15] 原本上你跟claude對話就可以修到任何你想
[00:19] 要修的簡報。
[00:20] 它直接幫你進來改。
[00:21] 這才是真正的簡報完全體。
[00:25] Claude基本功第12集使用OpenAI
[00:29] 的GPT-Image 2來做教學應用。
[00:33] 今天我就隨便舉幾個範例給大家看。
[00:36] 我連這張封面的圖我都是用claude加
[00:40] Image 2生成的。
[00:41] 真的超級方便。
[00:43] 將你的claude裝上Image 2之後可以飛天遁地
[00:47] 為什麼說把Image 2裝進claude之後
[00:50] 會全面升級你的技能
[00:51] 是從現在開始你所有的技能都
[00:53] 可以包含圖片。
[00:55] 就以老師的場景來說,我們在之前有做過,
[00:59] 我們可以請claude上網去幫我搜尋
[01:02] 一些生活的情境
[01:03] 然後我們再將這些生活情境把它出
[01:05] 成段考的考卷的非選題
[01:08] 那如果你今天接了Image 2之後,
[01:10] 你可以怎麼做呢?
[01:11] 你可以做到連情境插圖都可以給上去
[01:15] 你也可以做整頁的圖片
[01:19] 包含文字還有我們的題目情境。
[01:22] 你也可以混合在一起包含整張考卷的文字跟插圖
[01:28] 所以簡單的講你可以做的事情就是無限多。
[01:31] 所以我們來看一下這三種範例。
[01:33] 第一種就是我們原本Word考卷加上情境插圖
[01:36] 我現在將我的技能全面升級,
[01:39] 把我的Image 2全部加進我的技能裡面。
[01:42] 所以出出來的題目會像
[01:44] 我將情境插圖放進我的Word考卷裡面去。
[01:48] 所以你現在就有插圖,也有我們的考卷的題目。
[01:51] 這題目就是Word檔,
[01:53] 是沒有問題的。
[01:54] 所以可以將你原本Word檔的考卷
[01:57] 把圖片插進去裡面。
[01:58] 所以像這種跑步的題型也是一樣,
[02:00] 我可以畫一個跑步的情境,
[02:02] 給它跑者路線的示意圖,
[02:05] 然後配上題目。
[02:06] 非常完美。
[02:08] 幾何的部分也是沒有問題的,
[02:10] 我們可以產生像這種幾何情境圖,
[02:12] 然後加上我們三角型全等的兩個幾何圖形。
[02:16] 所以像生活題型然後轉成幾何圖的這種題目
[02:19] 你只要用自然語言,
[02:21] 就可以生成這樣的考卷。
[02:23] 題目裡面有蓮花池,我們就可以給它蓮花池。
[02:26] 非常方便。
[02:28] 這是第一種類型,你可以在你原本的Word裡面
[02:31] 去插入我們的情境圖片。
[02:33] 再來第二種我們就直接將題目把它變成
[02:37] 純圖片檔。
[02:38] 然後存到PPT裡面去。
[02:41] 做出來的成品它本質這樣就是一個PPT。
[02:44] 你不用再經過任何的轉換。
[02:46] 所以像這樣你做出來之後,
[02:48] 這就是一個PPT的每頁。
[02:50] 每頁題目就是用我們的Image 2去生成的。
[02:54] 所以你會發現說上面有題目、
[02:56] 有情境圖,還有我們可以給學生作答的
[03:00] 地方全部一次生好。
[03:02] 是PPT哦。
[03:04] 像這樣的圖形效果就非常好。
[03:06] 尤其是國小學生用這樣的題目非常適合。
[03:09] 純圖片生成的題目也是完全沒有問題。
[03:13] 你要存成Word檔還是要存成PPT?
[03:15] 只要在claude裡面跟他講就可以了。
[03:18] 第三種就是我們用生圖但是模擬考卷的樣子。
[03:24] 這真的很厲害。
[03:26] 所以大家看哦,這個是圖片。
[03:28] 大家可以模擬成考卷的樣子。
[03:31] 包含上面的文字還有圖片全部都放在一起
[03:35] 可是這整張本質上它就像一張圖片。
[03:38] 圖片的好處是我們可以很輕鬆的去在社群或
[03:42] 是在我們的訊息裡面去傳圖片。
[03:46] 不用傳Word檔,因為你Word檔在傳播上是不容易的
[03:50] 圖片檔的傳播就非常容易。
[03:52] 你要傳到什麼社群都可以。
[03:55] 所以我們是很喜歡用圖片出的題
[03:58] 你看用圖片仿造出成Word的形式
[04:01] 也做得非常好。
[04:03] 再來這個是幾何的範例,
[04:05] 你看一下幾何範例全部都是用Image 2去生成圖片。
[04:09] 你看圖片跟文字的
[04:13] 部分都相當的精準。
[04:15] 像這題的話,它的圖形就是錯的。
[04:17] 身為專業老師,我來判斷是錯的。
[04:20] 所以我現在請他生第三版。
[04:22] 第三版是怎麼做的呢?
[04:23] 第三版我們把第二版的圖片和幾何圖形全部
[04:28] 把它融合成一張圖片。
[04:30] 所以它的樣子的話就會是我們的文字是
[04:34] 正確的,圖片是正確的。
[04:36] 幾何圖形也是正確的。
[04:37] 所以給大家看一下,文字這麼清楚,
[04:40] 圖片這麼清楚,幾何圖形也是正確的。
[04:43] 所以你可以做到任何的狀況去完成
[04:47] 你的文件。
[04:48] 任何狀況哦,你需要Word檔裡面去插入圖片。
[04:52] 你需要純圖片的方式,
[04:55] 不管是什麼風格都可以。
[04:57] 或者是你需要仿造我們Word的純圖片。
[05:02] 以及是你先用Word做好正確版的考
[05:06] 卷之後再全部轉成圖片檔。
[05:08] 你想要怎麼做都可以。
[05:11] 在你的claude裡面去更新這個技能。
[05:14] 什麼形式的考卷你都可以出,
[05:16] 完全沒有任何問題。
[05:17] 相同的道理我們應用在簡報上面你也可以
[05:21] 做三種版本。
